I131 - 3.59mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	3.30E-01
0	0	1	6.37E-03
0	0	2	3.27E-04
0	0	3	1.42E-04
0	0	4	7.87E-05
0	0	5	5.06E-05
0	1	0	6.37E-03
0	1	1	8.25E-04
0	1	2	2.60E-04
0	1	3	1.27E-04
0	1	4	7.43E-05
0	1	5	4.86E-05
0	2	0	3.27E-04
0	2	1	2.60E-04
0	2	2	1.60E-04
0	2	3	9.75E-05
0	2	4	6.33E-05
0	2	5	4.36E-05
0	3	0	1.42E-04
0	3	1	1.27E-04
0	3	2	9.75E-05
0	3	3	7.01E-05
0	3	4	5.03E-05
0	3	5	3.70E-05
0	4	0	7.87E-05
0	4	1	7.43E-05
0	4	2	6.33E-05
0	4	3	5.03E-05
0	4	4	3.94E-05
0	4	5	3.06E-05
0	5	0	5.06E-05
0	5	1	4.86E-05
0	5	2	4.36E-05
0	5	3	3.70E-05
0	5	4	3.06E-05
0	5	5	2.53E-05
1	0	0	6.37E-03
1	0	1	8.25E-04
1	0	2	2.60E-04
1	0	3	1.27E-04
1	0	4	7.43E-05
1	0	5	4.86E-05
1	1	0	8.25E-04
1	1	1	4.57E-04
1	1	2	2.16E-04
1	1	3	1.15E-04
1	1	4	6.99E-05
1	1	5	4.65E-05
1	2	0	2.60E-04
1	2	1	2.16E-04
1	2	2	1.42E-04
1	2	3	9.02E-05
1	2	4	6.00E-05
1	2	5	4.20E-05
1	3	0	1.27E-04
1	3	1	1.15E-04
1	3	2	9.02E-05
1	3	3	6.64E-05
1	3	4	4.84E-05
1	3	5	3.60E-05
1	4	0	7.43E-05
1	4	1	6.99E-05
1	4	2	6.00E-05
1	4	3	4.84E-05
1	4	4	3.81E-05
1	4	5	3.00E-05
1	5	0	4.86E-05
1	5	1	4.65E-05
1	5	2	4.20E-05
1	5	3	3.60E-05
1	5	4	3.00E-05
1	5	5	2.47E-05
2	0	0	3.27E-04
2	0	1	2.60E-04
2	0	2	1.60E-04
2	0	3	9.75E-05
2	0	4	6.33E-05
2	0	5	4.36E-05
2	1	0	2.60E-04
2	1	1	2.16E-04
2	1	2	1.42E-04
2	1	3	9.02E-05
2	1	4	6.00E-05
2	1	5	4.20E-05
2	2	0	1.60E-04
2	2	1	1.42E-04
2	2	2	1.06E-04
2	2	3	7.42E-05
2	2	4	5.24E-05
2	2	5	3.81E-05
2	3	0	9.75E-05
2	3	1	9.02E-05
2	3	2	7.42E-05
2	3	3	5.71E-05
2	3	4	4.33E-05
2	3	5	3.31E-05
2	4	0	6.33E-05
2	4	1	6.00E-05
2	4	2	5.24E-05
2	4	3	4.33E-05
2	4	4	3.49E-05
2	4	5	2.80E-05
2	5	0	4.36E-05
2	5	1	4.20E-05
2	5	2	3.81E-05
2	5	3	3.31E-05
2	5	4	2.80E-05
2	5	5	2.34E-05
3	0	0	1.42E-04
3	0	1	1.27E-04
3	0	2	9.75E-05
3	0	3	7.01E-05
3	0	4	5.03E-05
3	0	5	3.70E-05
3	1	0	1.27E-04
3	1	1	1.15E-04
3	1	2	9.02E-05
3	1	3	6.64E-05
3	1	4	4.84E-05
3	1	5	3.60E-05
3	2	0	9.75E-05
3	2	1	9.02E-05
3	2	2	7.42E-05
3	2	3	5.71E-05
3	2	4	4.33E-05
3	2	5	3.31E-05
3	3	0	7.01E-05
3	3	1	6.64E-05
3	3	2	5.71E-05
3	3	3	4.66E-05
3	3	4	3.70E-05
3	3	5	2.93E-05
3	4	0	5.03E-05
3	4	1	4.84E-05
3	4	2	4.33E-05
3	4	3	3.70E-05
3	4	4	3.05E-05
3	4	5	2.51E-05
3	5	0	3.70E-05
3	5	1	3.60E-05
3	5	2	3.31E-05
3	5	3	2.93E-05
3	5	4	2.51E-05
3	5	5	2.13E-05
4	0	0	7.87E-05
4	0	1	7.43E-05
4	0	2	6.33E-05
4	0	3	5.03E-05
4	0	4	3.94E-05
4	0	5	3.06E-05
4	1	0	7.43E-05
4	1	1	6.99E-05
4	1	2	6.00E-05
4	1	3	4.84E-05
4	1	4	3.81E-05
4	1	5	3.00E-05
4	2	0	6.33E-05
4	2	1	6.00E-05
4	2	2	5.24E-05
4	2	3	4.33E-05
4	2	4	3.49E-05
4	2	5	2.80E-05
4	3	0	5.03E-05
4	3	1	4.84E-05
4	3	2	4.33E-05
4	3	3	3.70E-05
4	3	4	3.05E-05
4	3	5	2.51E-05
4	4	0	3.94E-05
4	4	1	3.81E-05
4	4	2	3.49E-05
4	4	3	3.05E-05
4	4	4	2.59E-05
4	4	5	2.20E-05
4	5	0	3.06E-05
4	5	1	3.00E-05
4	5	2	2.80E-05
4	5	3	2.51E-05
4	5	4	2.20E-05
4	5	5	1.90E-05
5	0	0	5.06E-05
5	0	1	4.86E-05
5	0	2	4.36E-05
5	0	3	3.70E-05
5	0	4	3.06E-05
5	0	5	2.53E-05
5	1	0	4.86E-05
5	1	1	4.65E-05
5	1	2	4.20E-05
5	1	3	3.60E-05
5	1	4	3.00E-05
5	1	5	2.47E-05
5	2	0	4.36E-05
5	2	1	4.20E-05
5	2	2	3.81E-05
5	2	3	3.31E-05
5	2	4	2.80E-05
5	2	5	2.34E-05
5	3	0	3.70E-05
5	3	1	3.60E-05
5	3	2	3.31E-05
5	3	3	2.93E-05
5	3	4	2.51E-05
5	3	5	2.13E-05
5	4	0	3.06E-05
5	4	1	3.00E-05
5	4	2	2.80E-05
5	4	3	2.51E-05
5	4	4	2.20E-05
5	4	5	1.90E-05
5	5	0	2.53E-05
5	5	1	2.47E-05
5	5	2	2.34E-05
5	5	3	2.13E-05
5	5	4	1.90E-05
5	5	5	1.65E-05
