I131 - 3mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	5.53E-01
0	0	1	1.19E-02
0	0	2	4.71E-04
0	0	3	2.04E-04
0	0	4	1.13E-04
0	0	5	7.19E-05
0	1	0	1.19E-02
0	1	1	1.29E-03
0	1	2	3.74E-04
0	1	3	1.82E-04
0	1	4	1.06E-04
0	1	5	6.94E-05
0	2	0	4.71E-04
0	2	1	3.74E-04
0	2	2	2.30E-04
0	2	3	1.40E-04
0	2	4	9.00E-05
0	2	5	6.20E-05
0	3	0	2.04E-04
0	3	1	1.82E-04
0	3	2	1.40E-04
0	3	3	1.00E-04
0	3	4	7.21E-05
0	3	5	5.31E-05
0	4	0	1.13E-04
0	4	1	1.06E-04
0	4	2	9.00E-05
0	4	3	7.21E-05
0	4	4	5.59E-05
0	4	5	4.38E-05
0	5	0	7.19E-05
0	5	1	6.94E-05
0	5	2	6.20E-05
0	5	3	5.31E-05
0	5	4	4.38E-05
0	5	5	3.61E-05
1	0	0	1.19E-02
1	0	1	1.29E-03
1	0	2	3.74E-04
1	0	3	1.82E-04
1	0	4	1.06E-04
1	0	5	6.94E-05
1	1	0	1.29E-03
1	1	1	6.61E-04
1	1	2	3.09E-04
1	1	3	1.66E-04
1	1	4	1.00E-04
1	1	5	6.65E-05
1	2	0	3.74E-04
1	2	1	3.09E-04
1	2	2	2.04E-04
1	2	3	1.30E-04
1	2	4	8.59E-05
1	2	5	5.99E-05
1	3	0	1.82E-04
1	3	1	1.66E-04
1	3	2	1.30E-04
1	3	3	9.51E-05
1	3	4	6.92E-05
1	3	5	5.13E-05
1	4	0	1.06E-04
1	4	1	1.00E-04
1	4	2	8.59E-05
1	4	3	6.92E-05
1	4	4	5.44E-05
1	4	5	4.27E-05
1	5	0	6.94E-05
1	5	1	6.65E-05
1	5	2	5.99E-05
1	5	3	5.13E-05
1	5	4	4.27E-05
1	5	5	3.52E-05
2	0	0	4.71E-04
2	0	1	3.74E-04
2	0	2	2.30E-04
2	0	3	1.40E-04
2	0	4	9.00E-05
2	0	5	6.20E-05
2	1	0	3.74E-04
2	1	1	3.09E-04
2	1	2	2.04E-04
2	1	3	1.30E-04
2	1	4	8.59E-05
2	1	5	5.99E-05
2	2	0	2.30E-04
2	2	1	2.04E-04
2	2	2	1.52E-04
2	2	3	1.06E-04
2	2	4	7.54E-05
2	2	5	5.42E-05
2	3	0	1.40E-04
2	3	1	1.30E-04
2	3	2	1.06E-04
2	3	3	8.20E-05
2	3	4	6.20E-05
2	3	5	4.73E-05
2	4	0	9.00E-05
2	4	1	8.59E-05
2	4	2	7.54E-05
2	4	3	6.20E-05
2	4	4	4.97E-05
2	4	5	4.00E-05
2	5	0	6.20E-05
2	5	1	5.99E-05
2	5	2	5.42E-05
2	5	3	4.73E-05
2	5	4	4.00E-05
2	5	5	3.33E-05
3	0	0	2.04E-04
3	0	1	1.82E-04
3	0	2	1.40E-04
3	0	3	1.00E-04
3	0	4	7.21E-05
3	0	5	5.31E-05
3	1	0	1.82E-04
3	1	1	1.66E-04
3	1	2	1.30E-04
3	1	3	9.51E-05
3	1	4	6.92E-05
3	1	5	5.13E-05
3	2	0	1.40E-04
3	2	1	1.30E-04
3	2	2	1.06E-04
3	2	3	8.20E-05
3	2	4	6.20E-05
3	2	5	4.73E-05
3	3	0	1.00E-04
3	3	1	9.51E-05
3	3	2	8.20E-05
3	3	3	6.68E-05
3	3	4	5.28E-05
3	3	5	4.18E-05
3	4	0	7.21E-05
3	4	1	6.92E-05
3	4	2	6.20E-05
3	4	3	5.28E-05
3	4	4	4.40E-05
3	4	5	3.58E-05
3	5	0	5.31E-05
3	5	1	5.13E-05
3	5	2	4.73E-05
3	5	3	4.18E-05
3	5	4	3.58E-05
3	5	5	3.06E-05
4	0	0	1.13E-04
4	0	1	1.06E-04
4	0	2	9.00E-05
4	0	3	7.21E-05
4	0	4	5.59E-05
4	0	5	4.38E-05
4	1	0	1.06E-04
4	1	1	1.00E-04
4	1	2	8.59E-05
4	1	3	6.92E-05
4	1	4	5.44E-05
4	1	5	4.27E-05
4	2	0	9.00E-05
4	2	1	8.59E-05
4	2	2	7.54E-05
4	2	3	6.20E-05
4	2	4	4.97E-05
4	2	5	4.00E-05
4	3	0	7.21E-05
4	3	1	6.92E-05
4	3	2	6.20E-05
4	3	3	5.28E-05
4	3	4	4.40E-05
4	3	5	3.58E-05
4	4	0	5.59E-05
4	4	1	5.44E-05
4	4	2	4.97E-05
4	4	3	4.40E-05
4	4	4	3.69E-05
4	4	5	3.13E-05
4	5	0	4.38E-05
4	5	1	4.27E-05
4	5	2	4.00E-05
4	5	3	3.58E-05
4	5	4	3.13E-05
4	5	5	2.71E-05
5	0	0	7.19E-05
5	0	1	6.94E-05
5	0	2	6.20E-05
5	0	3	5.31E-05
5	0	4	4.38E-05
5	0	5	3.61E-05
5	1	0	6.94E-05
5	1	1	6.65E-05
5	1	2	5.99E-05
5	1	3	5.13E-05
5	1	4	4.27E-05
5	1	5	3.52E-05
5	2	0	6.20E-05
5	2	1	5.99E-05
5	2	2	5.42E-05
5	2	3	4.73E-05
5	2	4	4.00E-05
5	2	5	3.33E-05
5	3	0	5.31E-05
5	3	1	5.13E-05
5	3	2	4.73E-05
5	3	3	4.18E-05
5	3	4	3.58E-05
5	3	5	3.06E-05
5	4	0	4.38E-05
5	4	1	4.27E-05
5	4	2	4.00E-05
5	4	3	3.58E-05
5	4	4	3.13E-05
5	4	5	2.71E-05
5	5	0	3.61E-05
5	5	1	3.52E-05
5	5	2	3.33E-05
5	5	3	3.06E-05
5	5	4	2.71E-05
5	5	5	2.37E-05
