I131 - 4mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	2.41E-01
0	0	1	4.40E-03
0	0	2	2.62E-04
0	0	3	1.14E-04
0	0	4	6.34E-05
0	0	5	4.07E-05
0	1	0	4.40E-03
0	1	1	6.39E-04
0	1	2	2.10E-04
0	1	3	1.03E-04
0	1	4	5.98E-05
0	1	5	3.90E-05
0	2	0	2.62E-04
0	2	1	2.10E-04
0	2	2	1.29E-04
0	2	3	7.84E-05
0	2	4	5.07E-05
0	2	5	3.49E-05
0	3	0	1.14E-04
0	3	1	1.03E-04
0	3	2	7.84E-05
0	3	3	5.66E-05
0	3	4	4.06E-05
0	3	5	2.98E-05
0	4	0	6.34E-05
0	4	1	5.98E-05
0	4	2	5.07E-05
0	4	3	4.06E-05
0	4	4	3.16E-05
0	4	5	2.48E-05
0	5	0	4.07E-05
0	5	1	3.90E-05
0	5	2	3.49E-05
0	5	3	2.98E-05
0	5	4	2.48E-05
0	5	5	2.01E-05
1	0	0	4.40E-03
1	0	1	6.39E-04
1	0	2	2.10E-04
1	0	3	1.03E-04
1	0	4	5.98E-05
1	0	5	3.90E-05
1	1	0	6.39E-04
1	1	1	3.67E-04
1	1	2	1.74E-04
1	1	3	9.33E-05
1	1	4	5.66E-05
1	1	5	3.77E-05
1	2	0	2.10E-04
1	2	1	1.74E-04
1	2	2	1.14E-04
1	2	3	7.29E-05
1	2	4	4.83E-05
1	2	5	3.38E-05
1	3	0	1.03E-04
1	3	1	9.33E-05
1	3	2	7.29E-05
1	3	3	5.34E-05
1	3	4	3.90E-05
1	3	5	2.91E-05
1	4	0	5.98E-05
1	4	1	5.66E-05
1	4	2	4.83E-05
1	4	3	3.90E-05
1	4	4	3.06E-05
1	4	5	2.41E-05
1	5	0	3.90E-05
1	5	1	3.77E-05
1	5	2	3.38E-05
1	5	3	2.91E-05
1	5	4	2.41E-05
1	5	5	1.99E-05
2	0	0	2.62E-04
2	0	1	2.10E-04
2	0	2	1.29E-04
2	0	3	7.84E-05
2	0	4	5.07E-05
2	0	5	3.49E-05
2	1	0	2.10E-04
2	1	1	1.74E-04
2	1	2	1.14E-04
