I131 - 5mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.11E-01
0	0	1	4.70E-03
0	0	2	1.68E-04
0	0	3	7.34E-05
0	0	4	4.08E-05
0	0	5	2.61E-05
0	1	0	4.70E-03
0	1	1	4.77E-04
0	1	2	1.34E-04
0	1	3	6.58E-05
0	1	4	3.86E-05
0	1	5	2.51E-05
0	2	0	1.68E-04
0	2	1	1.34E-04
0	2	2	8.27E-05
0	2	3	5.04E-05
0	2	4	3.27E-05
0	2	5	2.25E-05
0	3	0	7.34E-05
0	3	1	6.58E-05
0	3	2	5.04E-05
0	3	3	3.63E-05
0	3	4	2.60E-05
0	3	5	1.90E-05
0	4	0	4.08E-05
0	4	1	3.86E-05
0	4	2	3.27E-05
0	4	3	2.60E-05
0	4	4	2.03E-05
0	4	5	1.57E-05
0	5	0	2.61E-05
0	5	1	2.51E-05
0	5	2	2.25E-05
0	5	3	1.90E-05
0	5	4	1.57E-05
0	5	5	1.28E-05
1	0	0	4.70E-03
1	0	1	4.77E-04
1	0	2	1.34E-04
1	0	3	6.58E-05
1	0	4	3.86E-05
1	0	5	2.51E-05
1	1	0	4.77E-04
1	1	1	2.35E-04
1	1	2	1.11E-04
1	1	3	6.00E-05
1	1	4	3.63E-05
1	1	5	2.42E-05
1	2	0	1.34E-04
1	2	1	1.11E-04
1	2	2	7.34E-05
1	2	3	4.69E-05
1	2	4	3.11E-05
1	2	5	2.18E-05
1	3	0	6.58E-05
1	3	1	6.00E-05
1	3	2	4.69E-05
1	3	3	3.45E-05
1	3	4	2.51E-05
1	3	5	1.85E-05
1	4	0	3.86E-05
1	4	1	3.63E-05
1	4	2	3.11E-05
1	4	3	2.51E-05
1	4	4	1.97E-05
1	4	5	1.55E-05
1	5	0	2.51E-05
1	5	1	2.42E-05
1	5	2	2.18E-05
1	5	3	1.85E-05
1	5	4	1.55E-05
1	5	5	1.27E-05
2	0	0	1.68E-04
2	0	1	1.34E-04
2	0	2	8.27E-05
2	0	3	5.04E-05
2	0	4	3.27E-05
2	0	5	2.25E-05
2	1	0	1.34E-04
2	1	1	1.11E-04
2	1	2	7.34E-05
2	1	3	4.69E-05
2	1	4	3.11E-05
2	1	5	2.18E-05
2	2	0	8.27E-05
2	2	1	7.34E-05
2	2	2	5.51E-05
2	2	3	3.85E-05
2	2	4	2.71E-05
2	2	5	1.96E-05
2	3	0	5.04E-05
2	3	1	4.69E-05
2	3	2	3.85E-05
2	3	3	2.98E-05
2	3	4	2.25E-05
2	3	5	1.71E-05
2	4	0	3.27E-05
2	4	1	3.11E-05
2	4	2	2.71E-05
2	4	3	2.25E-05
2	4	4	1.80E-05
2	4	5	1.44E-05
2	5	0	2.25E-05
2	5	1	2.18E-05
2	5	2	1.96E-05
2	5	3	1.71E-05
2	5	4	1.44E-05
2	5	5	1.20E-05
3	0	0	7.34E-05
3	0	1	6.58E-05
3	0	2	5.04E-05
3	0	3	3.63E-05
3	0	4	2.60E-05
3	0	5	1.90E-05
3	1	0	6.58E-05
3	1	1	6.00E-05
3	1	2	4.69E-05
3	1	3	3.45E-05
3	1	4	2.51E-05
3	1	5	1.85E-05
3	2	0	5.04E-05
3	2	1	4.69E-05
3	2	2	3.85E-05
3	2	3	2.98E-05
3	2	4	2.25E-05
3	2	5	1.71E-05
3	3	0	3.63E-05
3	3	1	3.45E-05
3	3	2	2.98E-05
3	3	3	2.40E-05
3	3	4	1.91E-05
3	3	5	1.51E-05
3	4	0	2.60E-05
3	4	1	2.51E-05
3	4	2	2.25E-05
3	4	3	1.91E-05
3	4	4	1.58E-05
