I131 - 9.28mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	3.52E-02
0	0	1	5.73E-04
0	0	2	4.88E-05
0	0	3	2.13E-05
0	0	4	1.19E-05
0	0	5	7.57E-06
0	1	0	5.73E-04
0	1	1	1.11E-04
0	1	2	3.90E-05
0	1	3	1.92E-05
0	1	4	1.12E-05
0	1	5	7.23E-06
0	2	0	4.88E-05
0	2	1	3.90E-05
0	2	2	2.40E-05
0	2	3	1.47E-05
0	2	4	9.47E-06
0	2	5	6.47E-06
0	3	0	2.13E-05
0	3	1	1.92E-05
0	3	2	1.47E-05
0	3	3	1.06E-05
0	3	4	7.54E-06
0	3	5	5.49E-06
0	4	0	1.19E-05
0	4	1	1.12E-05
0	4	2	9.47E-06
0	4	3	7.54E-06
0	4	4	5.85E-06
0	4	5	4.52E-06
0	5	0	7.57E-06
0	5	1	7.23E-06
0	5	2	6.47E-06
0	5	3	5.49E-06
0	5	4	4.52E-06
0	5	5	3.67E-06
1	0	0	5.73E-04
1	0	1	1.11E-04
1	0	2	3.90E-05
1	0	3	1.92E-05
1	0	4	1.12E-05
1	0	5	7.23E-06
1	1	0	1.11E-04
1	1	1	6.78E-05
1	1	2	3.24E-05
1	1	3	1.74E-05
1	1	4	1.05E-05
1	1	5	6.95E-06
1	2	0	3.90E-05
1	2	1	3.24E-05
1	2	2	2.13E-05
1	2	3	1.36E-05
1	2	4	9.02E-06
1	2	5	6.24E-06
1	3	0	1.92E-05
1	3	1	1.74E-05
1	3	2	1.36E-05
1	3	3	9.98E-06
1	3	4	7.26E-06
1	3	5	5.34E-06
1	4	0	1.12E-05
1	4	1	1.05E-05
1	4	2	9.02E-06
1	4	3	7.26E-06
1	4	4	5.68E-06
1	4	5	4.42E-06
1	5	0	7.23E-06
1	5	1	6.95E-06
1	5	2	6.24E-06
1	5	3	5.34E-06
1	5	4	4.42E-06
1	5	5	3.62E-06
2	0	0	4.88E-05
2	0	1	3.90E-05
2	0	2	2.40E-05
2	0	3	1.47E-05
2	0	4	9.47E-06
2	0	5	6.47E-06
2	1	0	3.90E-05
2	1	1	3.24E-05
2	1	2	2.13E-05
2	1	3	1.36E-05
2	1	4	9.02E-06
2	1	5	6.24E-06
2	2	0	2.40E-05
2	2	1	2.13E-05
2	2	2	1.60E-05
2	2	3	1.12E-05
2	2	4	7.86E-06
2	2	5	5.66E-06
2	3	0	1.47E-05
2	3	1	1.36E-05
2	3	2	1.12E-05
2	3	3	8.61E-06
2	3	4	6.48E-06
2	3	5	4.90E-06
2	4	0	9.47E-06
2	4	1	9.02E-06
2	4	2	7.86E-06
2	4	3	6.48E-06
2	4	4	5.19E-06
2	4	5	4.13E-06
2	5	0	6.47E-06
2	5	1	6.24E-06
2	5	2	5.66E-06
2	5	3	4.90E-06
2	5	4	4.13E-06
2	5	5	3.40E-06
3	0	0	2.13E-05
3	0	1	1.92E-05
3	0	2	1.47E-05
3	0	3	1.06E-05
3	0	4	7.54E-06
3	0	5	5.49E-06
3	1	0	1.92E-05
3	1	1	1.74E-05
3	1	2	1.36E-05
3	1	3	9.98E-06
3	1	4	7.26E-06
3	1	5	5.34E-06
3	2	0	1.47E-05
3	2	1	1.36E-05
3	2	2	1.12E-05
3	2	3	8.61E-06
3	2	4	6.48E-06
3	2	5	4.90E-06
3	3	0	1.06E-05
3	3	1	9.98E-06
3	3	2	8.61E-06
3	3	3	6.93E-06
3	3	4	5.50E-06
3	3	5	4.31E-06
3	4	0	7.54E-06
3	4	1	7.26E-06
3	4	2	6.48E-06
3	4	3	5.50E-06
3	4	4	4.53E-06
3	4	5	3.70E-06
3	5	0	5.49E-06
3	5	1	5.34E-06
3	5	2	4.90E-06
3	5	3	4.31E-06
3	5	4	3.70E-06
3	5	5	3.09E-06
4	0	0	1.19E-05
4	0	1	1.12E-05
4	0	2	9.47E-06
4	0	3	7.54E-06
4	0	4	5.85E-06
4	0	5	4.52E-06
4	1	0	1.12E-05
4	1	1	1.05E-05
4	1	2	9.02E-06
4	1	3	7.26E-06
4	1	4	5.68E-06
4	1	5	4.42E-06
4	2	0	9.47E-06
4	2	1	9.02E-06
4	2	2	7.86E-06
4	2	3	6.48E-06
4	2	4	5.19E-06
4	2	5	4.13E-06
4	3	0	7.54E-06
4	3	1	7.26E-06
4	3	2	6.48E-06
4	3	3	5.50E-06
4	3	4	4.53E-06
4	3	5	3.70E-06
4	4	0	5.85E-06
4	4	1	5.68E-06
4	4	2	5.19E-06
4	4	3	4.53E-06
4	4	4	3.86E-06
4	4	5	3.22E-06
4	5	0	4.52E-06
4	5	1	4.42E-06
4	5	2	4.13E-06
4	5	3	3.70E-06
4	5	4	3.22E-06
4	5	5	2.75E-06
5	0	0	7.57E-06
5	0	1	7.23E-06
5	0	2	6.47E-06
5	0	3	5.49E-06
5	0	4	4.52E-06
5	0	5	3.67E-06
5	1	0	7.23E-06
5	1	1	6.95E-06
5	1	2	6.24E-06
5	1	3	5.34E-06
5	1	4	4.42E-06
5	1	5	3.62E-06
5	2	0	6.47E-06
5	2	1	6.24E-06
5	2	2	5.66E-06
5	2	3	4.90E-06
5	2	4	4.13E-06
5	2	5	3.40E-06
5	3	0	5.49E-06
5	3	1	5.34E-06
5	3	2	4.90E-06
5	3	3	4.31E-06
5	3	4	3.70E-06
5	3	5	3.09E-06
5	4	0	4.52E-06
5	4	1	4.42E-06
5	4	2	4.13E-06
5	4	3	3.70E-06
5	4	4	3.22E-06
5	4	5	2.75E-06
5	5	0	3.67E-06
5	5	1	3.62E-06
5	5	2	3.40E-06
5	5	3	3.09E-06
5	5	4	2.75E-06
5	5	5	2.41E-06
