Sm153 - 2.21mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.55E+00
0	0	1	5.16E-02
0	0	2	5.56E-04
0	0	3	2.28E-04
0	0	4	1.19E-04
0	0	5	7.10E-05
0	1	0	5.16E-02
0	1	1	3.66E-03
0	1	2	4.38E-04
0	1	3	2.04E-04
0	1	4	1.12E-04
0	1	5	6.78E-05
0	2	0	5.56E-04
0	2	1	4.38E-04
0	2	2	2.61E-04
0	2	3	1.52E-04
0	2	4	9.26E-05
0	2	5	5.94E-05
0	3	0	2.28E-04
0	3	1	2.04E-04
0	3	2	1.52E-04
0	3	3	1.04E-04
0	3	4	7.09E-05
0	3	5	4.89E-05
0	4	0	1.19E-04
0	4	1	1.12E-04
0	4	2	9.26E-05
0	4	3	7.09E-05
0	4	4	5.27E-05
0	4	5	3.87E-05
0	5	0	7.10E-05
0	5	1	6.78E-05
0	5	2	5.94E-05
0	5	3	4.89E-05
0	5	4	3.87E-05
0	5	5	3.02E-05
1	0	0	5.16E-02
1	0	1	3.66E-03
1	0	2	4.38E-04
1	0	3	2.04E-04
1	0	4	1.12E-04
1	0	5	6.78E-05
1	1	0	3.66E-03
1	1	1	9.22E-04
1	1	2	3.59E-04
1	1	3	1.83E-04
1	1	4	1.04E-04
1	1	5	6.48E-05
1	2	0	4.38E-04
1	2	1	3.59E-04
1	2	2	2.30E-04
1	2	3	1.39E-04
1	2	4	8.72E-05
1	2	5	5.70E-05
1	3	0	2.04E-04
1	3	1	1.83E-04
1	3	2	1.39E-04
1	3	3	9.80E-05
1	3	4	6.77E-05
1	3	5	4.71E-05
1	4	0	1.12E-04
1	4	1	1.04E-04
1	4	2	8.72E-05
1	4	3	6.77E-05
1	4	4	5.07E-05
1	4	5	3.77E-05
1	5	0	6.78E-05
1	5	1	6.48E-05
1	5	2	5.70E-05
1	5	3	4.71E-05
1	5	4	3.77E-05
1	5	5	2.95E-05
2	0	0	5.56E-04
2	0	1	4.38E-04
2	0	2	2.61E-04
2	0	3	1.52E-04
2	0	4	9.26E-05
2	0	5	5.94E-05
2	1	0	4.38E-04
2	1	1	3.59E-04
2	1	2	2.30E-04
2	1	3	1.39E-04
2	1	4	8.72E-05
2	1	5	5.70E-05
2	2	0	2.61E-04
2	2	1	2.30E-04
2	2	2	1.66E-04
2	2	3	1.12E-04
2	2	4	7.43E-05
2	2	5	5.07E-05
2	3	0	1.52E-04
2	3	1	1.39E-04
2	3	2	1.12E-04
2	3	3	8.23E-05
2	3	4	5.93E-05
2	3	5	4.27E-05
2	4	0	9.26E-05
2	4	1	8.72E-05
2	4	2	7.43E-05
2	4	3	5.93E-05
2	4	4	4.54E-05
2	4	5	3.45E-05
2	5	0	5.94E-05
2	5	1	5.70E-05
2	5	2	5.07E-05
2	5	3	4.27E-05
2	5	4	3.45E-05
2	5	5	2.73E-05
3	0	0	2.28E-04
3	0	1	2.04E-04
3	0	2	1.52E-04
3	0	3	1.04E-04
3	0	4	7.09E-05
3	0	5	4.89E-05
3	1	0	2.04E-04
3	1	1	1.83E-04
3	1	2	1.39E-04
3	1	3	9.80E-05
3	1	4	6.77E-05
3	1	5	4.71E-05
3	2	0	1.52E-04
3	2	1	1.39E-04
3	2	2	1.12E-04
3	2	3	8.23E-05
3	2	4	5.93E-05
3	2	5	4.27E-05
3	3	0	1.04E-04
3	3	1	9.80E-05
3	3	2	8.23E-05
3	3	3	6.47E-05
3	3	4	4.88E-05
3	3	5	3.65E-05
3	4	0	7.09E-05
3	4	1	6.77E-05
3	4	2	5.93E-05
3	4	3	4.88E-05
3	4	4	3.87E-05
3	4	5	3.01E-05
3	5	0	4.89E-05
3	5	1	4.71E-05
3	5	2	4.27E-05
3	5	3	3.65E-05
3	5	4	3.01E-05
3	5	5	2.44E-05
4	0	0	1.19E-04
4	0	1	1.12E-04
4	0	2	9.26E-05
4	0	3	7.09E-05
4	0	4	5.27E-05
4	0	5	3.87E-05
4	1	0	1.12E-04
4	1	1	1.04E-04
4	1	2	8.72E-05
4	1	3	6.77E-05
4	1	4	5.07E-05
4	1	5	3.77E-05
4	2	0	9.26E-05
4	2	1	8.72E-05
4	2	2	7.43E-05
4	2	3	5.93E-05
4	2	4	4.54E-05
4	2	5	3.45E-05
4	3	0	7.09E-05
4	3	1	6.77E-05
4	3	2	5.93E-05
4	3	3	4.88E-05
4	3	4	3.87E-05
4	3	5	3.01E-05
4	4	0	5.27E-05
4	4	1	5.07E-05
4	4	2	4.54E-05
4	4	3	3.87E-05
4	4	4	3.18E-05
4	4	5	2.55E-05
4	5	0	3.87E-05
4	5	1	3.77E-05
4	5	2	3.45E-05
4	5	3	3.01E-05
4	5	4	2.55E-05
4	5	5	2.10E-05
5	0	0	7.10E-05
5	0	1	6.78E-05
5	0	2	5.94E-05
5	0	3	4.89E-05
5	0	4	3.87E-05
5	0	5	3.02E-05
5	1	0	6.78E-05
5	1	1	6.48E-05
5	1	2	5.70E-05
5	1	3	4.71E-05
5	1	4	3.77E-05
5	1	5	2.95E-05
5	2	0	5.94E-05
5	2	1	5.70E-05
5	2	2	5.07E-05
5	2	3	4.27E-05
5	2	4	3.45E-05
5	2	5	2.73E-05
5	3	0	4.89E-05
5	3	1	4.71E-05
5	3	2	4.27E-05
5	3	3	3.65E-05
5	3	4	3.01E-05
5	3	5	2.44E-05
5	4	0	3.87E-05
5	4	1	3.77E-05
5	4	2	3.45E-05
5	4	3	3.01E-05
5	4	4	2.55E-05
5	4	5	2.10E-05
5	5	0	3.02E-05
5	5	1	2.95E-05
5	5	2	2.73E-05
5	5	3	2.44E-05
5	5	4	2.10E-05
5	5	5	1.79E-05
