Sm153 - 3mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.03E+00
0	0	1	4.30E-02
0	0	2	1.02E-04
0	0	3	4.68E-05
0	0	4	2.71E-05
0	0	5	1.79E-05
0	1	0	4.30E-02
0	1	1	3.03E-03
0	1	2	8.22E-05
0	1	3	4.24E-05
0	1	4	2.56E-05
0	1	5	1.72E-05
0	2	0	1.02E-04
0	2	1	8.22E-05
0	2	2	5.22E-05
0	2	3	3.30E-05
0	2	4	2.20E-05
0	2	5	1.55E-05
0	3	0	4.68E-05
0	3	1	4.24E-05
0	3	2	3.30E-05
0	3	3	2.43E-05
0	3	4	1.79E-05
0	3	5	1.35E-05
0	4	0	2.71E-05
0	4	1	2.56E-05
0	4	2	2.20E-05
0	4	3	1.79E-05
0	4	4	1.42E-05
0	4	5	1.13E-05
0	5	0	1.79E-05
0	5	1	1.72E-05
0	5	2	1.55E-05
0	5	3	1.35E-05
0	5	4	1.13E-05
0	5	5	9.33E-06
1	0	0	4.30E-02
1	0	1	3.03E-03
1	0	2	8.22E-05
1	0	3	4.24E-05
1	0	4	2.56E-05
1	0	5	1.72E-05
1	1	0	3.03E-03
1	1	1	3.63E-04
1	1	2	6.90E-05
1	1	3	3.86E-05
1	1	4	2.42E-05
1	1	5	1.65E-05
1	2	0	8.22E-05
1	2	1	6.90E-05
1	2	2	4.68E-05
1	2	3	3.08E-05
1	2	4	2.10E-05
1	2	5	1.50E-05
1	3	0	4.24E-05
1	3	1	3.86E-05
1	3	2	3.08E-05
1	3	3	2.31E-05
1	3	4	1.72E-05
1	3	5	1.30E-05
1	4	0	2.56E-05
1	4	1	2.42E-05
1	4	2	2.10E-05
1	4	3	1.72E-05
1	4	4	1.38E-05
1	4	5	1.10E-05
1	5	0	1.72E-05
1	5	1	1.65E-05
1	5	2	1.50E-05
1	5	3	1.30E-05
1	5	4	1.10E-05
1	5	5	9.17E-06
2	0	0	1.02E-04
2	0	1	8.22E-05
2	0	2	5.22E-05
2	0	3	3.30E-05
2	0	4	2.20E-05
2	0	5	1.55E-05
2	1	0	8.22E-05
2	1	1	6.90E-05
2	1	2	4.68E-05
2	1	3	3.08E-05
2	1	4	2.10E-05
2	1	5	1.50E-05
2	2	0	5.22E-05
2	2	1	4.68E-05
2	2	2	3.55E-05
2	2	3	2.56E-05
2	2	4	1.86E-05
2	2	5	1.38E-05
2	3	0	3.30E-05
2	3	1	3.08E-05
2	3	2	2.56E-05
2	3	3	2.01E-05
2	3	4	1.56E-05
2	3	5	1.21E-05
2	4	0	2.20E-05
2	4	1	2.10E-05
2	4	2	1.86E-05
2	4	3	1.56E-05
2	4	4	1.27E-05
2	4	5	1.03E-05
2	5	0	1.55E-05
2	5	1	1.50E-05
2	5	2	1.38E-05
2	5	3	1.21E-05
2	5	4	1.03E-05
2	5	5	8.70E-06
3	0	0	4.68E-05
3	0	1	4.24E-05
3	0	2	3.30E-05
3	0	3	2.43E-05
3	0	4	1.79E-05
3	0	5	1.35E-05
3	1	0	4.24E-05
3	1	1	3.86E-05
3	1	2	3.08E-05
3	1	3	2.31E-05
3	1	4	1.72E-05
3	1	5	1.30E-05
3	2	0	3.30E-05
3	2	1	3.08E-05
3	2	2	2.56E-05
3	2	3	2.01E-05
3	2	4	1.56E-05
3	2	5	1.21E-05
3	3	0	2.43E-05
3	3	1	2.31E-05
3	3	2	2.01E-05
3	3	3	1.67E-05
3	3	4	1.35E-05
3	3	5	1.08E-05
3	4	0	1.79E-05
3	4	1	1.72E-05
3	4	2	1.56E-05
3	4	3	1.35E-05
3	4	4	1.13E-05
3	4	5	9.34E-06
3	5	0	1.35E-05
3	5	1	1.30E-05
3	5	2	1.21E-05
3	5	3	1.08E-05
3	5	4	9.34E-06
3	5	5	7.96E-06
4	0	0	2.71E-05
4	0	1	2.56E-05
4	0	2	2.20E-05
4	0	3	1.79E-05
4	0	4	1.42E-05
4	0	5	1.13E-05
4	1	0	2.56E-05
4	1	1	2.42E-05
4	1	2	2.10E-05
4	1	3	1.72E-05
4	1	4	1.38E-05
4	1	5	1.10E-05
4	2	0	2.20E-05
4	2	1	2.10E-05
4	2	2	1.86E-05
4	2	3	1.56E-05
4	2	4	1.27E-05
4	2	5	1.03E-05
4	3	0	1.79E-05
4	3	1	1.72E-05
4	3	2	1.56E-05
4	3	3	1.35E-05
4	3	4	1.13E-05
4	3	5	9.34E-06
4	4	0	1.42E-05
4	4	1	1.38E-05
4	4	2	1.27E-05
4	4	3	1.13E-05
4	4	4	9.71E-06
4	4	5	8.27E-06
4	5	0	1.13E-05
4	5	1	1.10E-05
4	5	2	1.03E-05
4	5	3	9.34E-06
4	5	4	8.27E-06
4	5	5	7.14E-06
5	0	0	1.79E-05
5	0	1	1.72E-05
5	0	2	1.55E-05
5	0	3	1.35E-05
5	0	4	1.13E-05
5	0	5	9.33E-06
5	1	0	1.72E-05
5	1	1	1.65E-05
5	1	2	1.50E-05
5	1	3	1.30E-05
5	1	4	1.10E-05
5	1	5	9.17E-06
5	2	0	1.55E-05
5	2	1	1.50E-05
5	2	2	1.38E-05
5	2	3	1.21E-05
5	2	4	1.03E-05
5	2	5	8.70E-06
5	3	0	1.35E-05
5	3	1	1.30E-05
5	3	2	1.21E-05
5	3	3	1.08E-05
5	3	4	9.34E-06
5	3	5	7.96E-06
5	4	0	1.13E-05
5	4	1	1.10E-05
5	4	2	1.03E-05
5	4	3	9.34E-06
5	4	4	8.27E-06
5	4	5	7.14E-06
5	5	0	9.33E-06
5	5	1	9.17E-06
5	5	2	8.70E-06
5	5	3	7.96E-06
5	5	4	7.14E-06
5	5	5	6.34E-06
