Sm153 - 4.8mm - Bone compact			
i	j	k	
0	0	0	1.69E-01
0	0	1	2.98E-03
0	0	2	1.03E-04
0	0	3	3.79E-05
0	0	4	1.79E-05
0	0	5	9.72E-06
0	1	0	2.98E-03
0	1	1	2.97E-04
0	1	2	7.90E-05
0	1	3	3.32E-05
0	1	4	1.65E-05
0	1	5	9.21E-06
0	2	0	1.03E-04
0	2	1	7.90E-05
0	2	2	4.41E-05
0	2	3	2.36E-05
0	2	4	1.33E-05
0	2	5	7.88E-06
0	3	0	3.79E-05
0	3	1	3.32E-05
0	3	2	2.36E-05
0	3	3	1.53E-05
0	3	4	9.73E-06
0	3	5	6.29E-06
0	4	0	1.79E-05
0	4	1	1.65E-05
0	4	2	1.33E-05
0	4	3	9.73E-06
0	4	4	6.84E-06
0	4	5	4.81E-06
0	5	0	9.72E-06
0	5	1	9.21E-06
0	5	2	7.88E-06
0	5	3	6.29E-06
0	5	4	4.81E-06
0	5	5	3.58E-06
1	0	0	2.98E-03
1	0	1	2.97E-04
1	0	2	7.90E-05
1	0	3	3.32E-05
1	0	4	1.65E-05
1	0	5	9.21E-06
1	1	0	2.97E-04
1	1	1	1.50E-04
1	1	2	6.33E-05
1	1	3	2.94E-05
1	1	4	1.53E-05
1	1	5	8.74E-06
1	2	0	7.90E-05
1	2	1	6.33E-05
1	2	2	3.81E-05
1	2	3	2.14E-05
1	2	4	1.24E-05
1	2	5	7.53E-06
1	3	0	3.32E-05
1	3	1	2.94E-05
1	3	2	2.14E-05
1	3	3	1.42E-05
1	3	4	9.19E-06
1	3	5	6.05E-06
1	4	0	1.65E-05
1	4	1	1.53E-05
1	4	2	1.24E-05
1	4	3	9.19E-06
1	4	4	6.58E-06
1	4	5	4.64E-06
1	5	0	9.21E-06
1	5	1	8.74E-06
1	5	2	7.53E-06
1	5	3	6.05E-06
1	5	4	4.64E-06
1	5	5	3.49E-06
2	0	0	1.03E-04
2	0	1	7.90E-05
2	0	2	4.41E-05
2	0	3	2.36E-05
2	0	4	1.33E-05
2	0	5	7.88E-06
2	1	0	7.90E-05
2	1	1	6.33E-05
2	1	2	3.81E-05
2	1	3	2.14E-05
2	1	4	1.24E-05
2	1	5	7.53E-06
2	2	0	4.41E-05
2	2	1	3.81E-05
2	2	2	2.62E-05
2	2	3	1.66E-05
2	2	4	1.03E-05
2	2	5	6.56E-06
2	3	0	2.36E-05
2	3	1	2.14E-05
2	3	2	1.66E-05
2	3	3	1.16E-05
2	3	4	7.91E-06
2	3	5	5.37E-06
2	4	0	1.33E-05
2	4	1	1.24E-05
2	4	2	1.03E-05
2	4	3	7.91E-06
2	4	4	5.79E-06
2	4	5	4.19E-06
2	5	0	7.88E-06
2	5	1	7.53E-06
2	5	2	6.56E-06
2	5	3	5.37E-06
2	5	4	4.19E-06
2	5	5	3.22E-06
3	0	0	3.79E-05
3	0	1	3.32E-05
3	0	2	2.36E-05
3	0	3	1.53E-05
3	0	4	9.73E-06
3	0	5	6.29E-06
3	1	0	3.32E-05
3	1	1	2.94E-05
3	1	2	2.14E-05
3	1	3	1.42E-05
3	1	4	9.19E-06
3	1	5	6.05E-06
3	2	0	2.36E-05
3	2	1	2.14E-05
3	2	2	1.66E-05
3	2	3	1.16E-05
3	2	4	7.91E-06
3	2	5	5.37E-06
3	3	0	1.53E-05
3	3	1	1.42E-05
3	3	2	1.16E-05
3	3	3	8.75E-06
3	3	4	6.29E-06
3	3	5	4.47E-06
3	4	0	9.73E-06
3	4	1	9.19E-06
3	4	2	7.91E-06
3	4	3	6.29E-06
3	4	4	4.80E-06
3	4	5	3.58E-06
3	5	0	6.29E-06
3	5	1	6.05E-06
3	5	2	5.37E-06
3	5	3	4.47E-06
3	5	4	3.58E-06
3	5	5	2.81E-06
4	0	0	1.79E-05
4	0	1	1.65E-05
4	0	2	1.33E-05
4	0	3	9.73E-06
4	0	4	6.84E-06
4	0	5	4.81E-06
4	1	0	1.65E-05
4	1	1	1.53E-05
4	1	2	1.24E-05
4	1	3	9.19E-06
4	1	4	6.58E-06
4	1	5	4.64E-06
4	2	0	1.33E-05
4	2	1	1.24E-05
4	2	2	1.03E-05
4	2	3	7.91E-06
4	2	4	5.79E-06
4	2	5	4.19E-06
4	3	0	9.73E-06
4	3	1	9.19E-06
4	3	2	7.91E-06
4	3	3	6.29E-06
4	3	4	4.80E-06
4	3	5	3.58E-06
4	4	0	6.84E-06
4	4	1	6.58E-06
4	4	2	5.79E-06
4	4	3	4.80E-06
4	4	4	3.80E-06
4	4	5	2.96E-06
4	5	0	4.81E-06
4	5	1	4.64E-06
4	5	2	4.19E-06
4	5	3	3.58E-06
4	5	4	2.96E-06
4	5	5	2.37E-06
5	0	0	9.72E-06
5	0	1	9.21E-06
5	0	2	7.88E-06
5	0	3	6.29E-06
5	0	4	4.81E-06
5	0	5	3.58E-06
5	1	0	9.21E-06
5	1	1	8.74E-06
5	1	2	7.53E-06
5	1	3	6.05E-06
5	1	4	4.64E-06
5	1	5	3.49E-06
5	2	0	7.88E-06
5	2	1	7.53E-06
5	2	2	6.56E-06
5	2	3	5.37E-06
5	2	4	4.19E-06
5	2	5	3.22E-06
5	3	0	6.29E-06
5	3	1	6.05E-06
5	3	2	5.37E-06
5	3	3	4.47E-06
5	3	4	3.58E-06
5	3	5	2.81E-06
5	4	0	4.81E-06
5	4	1	4.64E-06
5	4	2	4.19E-06
5	4	3	3.58E-06
5	4	4	2.96E-06
5	4	5	2.37E-06
5	5	0	3.58E-06
5	5	1	3.49E-06
5	5	2	3.22E-06
5	5	3	2.81E-06
5	5	4	2.37E-06
5	5	5	1.94E-06
