Sm153 - 9.28mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	2.47E-02
0	0	1	3.14E-04
0	0	2	2.07E-05
0	0	3	6.60E-06
0	0	4	2.80E-06
0	0	5	1.42E-06
0	1	0	3.14E-04
0	1	1	5.71E-05
0	1	2	1.53E-05
0	1	3	5.65E-06
0	1	4	2.56E-06
0	1	5	1.33E-06
0	2	0	2.07E-05
0	2	1	1.53E-05
0	2	2	7.85E-06
0	2	3	3.84E-06
0	2	4	2.00E-06
0	2	5	1.13E-06
0	3	0	6.60E-06
0	3	1	5.65E-06
0	3	2	3.84E-06
0	3	3	2.35E-06
0	3	4	1.42E-06
0	3	5	8.76E-07
0	4	0	2.80E-06
0	4	1	2.56E-06
0	4	2	2.00E-06
0	4	3	1.42E-06
0	4	4	9.65E-07
0	4	5	6.48E-07
0	5	0	1.42E-06
0	5	1	1.33E-06
0	5	2	1.13E-06
0	5	3	8.76E-07
0	5	4	6.48E-07
0	5	5	4.67E-07
1	0	0	3.14E-04
1	0	1	5.71E-05
1	0	2	1.53E-05
1	0	3	5.65E-06
1	0	4	2.56E-06
1	0	5	1.33E-06
1	1	0	5.71E-05
1	1	1	3.17E-05
1	1	2	1.19E-05
1	1	3	4.92E-06
1	1	4	2.35E-06
1	1	5	1.26E-06
1	2	0	1.53E-05
1	2	1	1.19E-05
1	2	2	6.62E-06
1	2	3	3.44E-06
1	2	4	1.86E-06
1	2	5	1.07E-06
1	3	0	5.65E-06
1	3	1	4.92E-06
1	3	2	3.44E-06
1	3	3	2.17E-06
1	3	4	1.34E-06
1	3	5	8.34E-07
1	4	0	2.56E-06
1	4	1	2.35E-06
1	4	2	1.86E-06
1	4	3	1.34E-06
1	4	4	9.19E-07
1	4	5	6.22E-07
1	5	0	1.33E-06
1	5	1	1.26E-06
1	5	2	1.07E-06
1	5	3	8.34E-07
1	5	4	6.22E-07
1	5	5	4.52E-07
2	0	0	2.07E-05
2	0	1	1.53E-05
2	0	2	7.85E-06
2	0	3	3.84E-06
2	0	4	2.00E-06
2	0	5	1.13E-06
2	1	0	1.53E-05
2	1	1	1.19E-05
2	1	2	6.62E-06
2	1	3	3.44E-06
2	1	4	1.86E-06
2	1	5	1.07E-06
2	2	0	7.85E-06
2	2	1	6.62E-06
2	2	2	4.33E-06
2	2	3	2.56E-06
2	2	4	1.51E-06
2	2	5	9.18E-07
2	3	0	3.84E-06
2	3	1	3.44E-06
2	3	2	2.56E-06
2	3	3	1.73E-06
2	3	4	1.13E-06
2	3	5	7.31E-07
2	4	0	2.00E-06
2	4	1	1.86E-06
2	4	2	1.51E-06
2	4	3	1.13E-06
2	4	4	7.99E-07
2	4	5	5.56E-07
2	5	0	1.13E-06
2	5	1	1.07E-06
2	5	2	9.18E-07
2	5	3	7.31E-07
2	5	4	5.56E-07
2	5	5	4.10E-07
3	0	0	6.60E-06
3	0	1	5.65E-06
3	0	2	3.84E-06
3	0	3	2.35E-06
3	0	4	1.42E-06
3	0	5	8.76E-07
3	1	0	5.65E-06
3	1	1	4.92E-06
3	1	2	3.44E-06
3	1	3	2.17E-06
3	1	4	1.34E-06
3	1	5	8.34E-07
3	2	0	3.84E-06
3	2	1	3.44E-06
3	2	2	2.56E-06
3	2	3	1.73E-06
3	2	4	1.13E-06
3	2	5	7.31E-07
3	3	0	2.35E-06
3	3	1	2.17E-06
3	3	2	1.73E-06
3	3	3	1.26E-06
3	3	4	8.74E-07
3	3	5	5.98E-07
3	4	0	1.42E-06
3	4	1	1.34E-06
3	4	2	1.13E-06
3	4	3	8.74E-07
3	4	4	6.47E-07
3	4	5	4.68E-07
3	5	0	8.76E-07
3	5	1	8.34E-07
3	5	2	7.31E-07
3	5	3	5.98E-07
3	5	4	4.68E-07
3	5	5	3.52E-07
4	0	0	2.80E-06
4	0	1	2.56E-06
4	0	2	2.00E-06
4	0	3	1.42E-06
4	0	4	9.65E-07
4	0	5	6.48E-07
4	1	0	2.56E-06
4	1	1	2.35E-06
4	1	2	1.86E-06
4	1	3	1.34E-06
4	1	4	9.19E-07
4	1	5	6.22E-07
4	2	0	2.00E-06
4	2	1	1.86E-06
4	2	2	1.51E-06
4	2	3	1.13E-06
4	2	4	7.99E-07
4	2	5	5.56E-07
4	3	0	1.42E-06
4	3	1	1.34E-06
4	3	2	1.13E-06
4	3	3	8.74E-07
4	3	4	6.47E-07
4	3	5	4.68E-07
4	4	0	9.65E-07
4	4	1	9.19E-07
4	4	2	7.99E-07
4	4	3	6.47E-07
4	4	4	4.99E-07
4	4	5	3.73E-07
4	5	0	6.48E-07
4	5	1	6.22E-07
4	5	2	5.56E-07
4	5	3	4.68E-07
4	5	4	3.73E-07
4	5	5	2.90E-07
5	0	0	1.42E-06
5	0	1	1.33E-06
5	0	2	1.13E-06
5	0	3	8.76E-07
5	0	4	6.48E-07
5	0	5	4.67E-07
5	1	0	1.33E-06
5	1	1	1.26E-06
5	1	2	1.07E-06
5	1	3	8.34E-07
5	1	4	6.22E-07
5	1	5	4.52E-07
5	2	0	1.13E-06
5	2	1	1.07E-06
5	2	2	9.18E-07
5	2	3	7.31E-07
5	2	4	5.56E-07
5	2	5	4.10E-07
5	3	0	8.76E-07
5	3	1	8.34E-07
5	3	2	7.31E-07
5	3	3	5.98E-07
5	3	4	4.68E-07
5	3	5	3.52E-07
5	4	0	6.48E-07
5	4	1	6.22E-07
5	4	2	5.56E-07
5	4	3	4.68E-07
5	4	4	3.73E-07
5	4	5	2.90E-07
5	5	0	4.67E-07
5	5	1	4.52E-07
5	5	2	4.10E-07
5	5	3	3.52E-07
5	5	4	2.90E-07
5	5	5	2.29E-07
