Sm153 - 9.28mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	4.14E-02
0	0	1	6.03E-04
0	0	2	1.24E-05
0	0	3	5.71E-06
0	0	4	3.26E-06
0	0	5	2.07E-06
0	1	0	6.03E-04
0	1	1	3.62E-05
0	1	2	1.00E-05
0	1	3	5.15E-06
0	1	4	3.06E-06
0	1	5	1.98E-06
0	2	0	1.24E-05
0	2	1	1.00E-05
0	2	2	6.41E-06
0	2	3	3.99E-06
0	2	4	2.60E-06
0	2	5	1.77E-06
0	3	0	5.71E-06
0	3	1	5.15E-06
0	3	2	3.99E-06
0	3	3	2.90E-06
0	3	4	2.07E-06
0	3	5	1.50E-06
0	4	0	3.26E-06
0	4	1	3.06E-06
0	4	2	2.60E-06
0	4	3	2.07E-06
0	4	4	1.59E-06
0	4	5	1.22E-06
0	5	0	2.07E-06
0	5	1	1.98E-06
0	5	2	1.77E-06
0	5	3	1.50E-06
0	5	4	1.22E-06
0	5	5	9.74E-07
1	0	0	6.03E-04
1	0	1	3.62E-05
1	0	2	1.00E-05
1	0	3	5.15E-06
1	0	4	3.06E-06
1	0	5	1.98E-06
1	1	0	3.62E-05
1	1	1	1.69E-05
1	1	2	8.44E-06
1	1	3	4.70E-06
1	1	4	2.89E-06
1	1	5	1.91E-06
1	2	0	1.00E-05
1	2	1	8.44E-06
1	2	2	5.72E-06
1	2	3	3.72E-06
1	2	4	2.48E-06
1	2	5	1.71E-06
1	3	0	5.15E-06
1	3	1	4.70E-06
1	3	2	3.72E-06
1	3	3	2.74E-06
1	3	4	1.99E-06
1	3	5	1.45E-06
1	4	0	3.06E-06
1	4	1	2.89E-06
1	4	2	2.48E-06
1	4	3	1.99E-06
1	4	4	1.54E-06
1	4	5	1.19E-06
1	5	0	1.98E-06
1	5	1	1.91E-06
1	5	2	1.71E-06
1	5	3	1.45E-06
1	5	4	1.19E-06
1	5	5	9.50E-07
2	0	0	1.24E-05
2	0	1	1.00E-05
2	0	2	6.41E-06
2	0	3	3.99E-06
2	0	4	2.60E-06
2	0	5	1.77E-06
2	1	0	1.00E-05
2	1	1	8.44E-06
2	1	2	5.72E-06
2	1	3	3.72E-06
2	1	4	2.48E-06
2	1	5	1.71E-06
2	2	0	6.41E-06
2	2	1	5.72E-06
2	2	2	4.33E-06
2	2	3	3.06E-06
2	2	4	2.16E-06
2	2	5	1.54E-06
2	3	0	3.99E-06
2	3	1	3.72E-06
2	3	2	3.06E-06
2	3	3	2.36E-06
2	3	4	1.77E-06
2	3	5	1.32E-06
2	4	0	2.60E-06
2	4	1	2.48E-06
2	4	2	2.16E-06
2	4	3	1.77E-06
2	4	4	1.41E-06
2	4	5	1.09E-06
2	5	0	1.77E-06
2	5	1	1.71E-06
2	5	2	1.54E-06
2	5	3	1.32E-06
2	5	4	1.09E-06
2	5	5	8.90E-07
3	0	0	5.71E-06
3	0	1	5.15E-06
3	0	2	3.99E-06
3	0	3	2.90E-06
3	0	4	2.07E-06
3	0	5	1.50E-06
3	1	0	5.15E-06
3	1	1	4.70E-06
3	1	2	3.72E-06
3	1	3	2.74E-06
3	1	4	1.99E-06
3	1	5	1.45E-06
3	2	0	3.99E-06
3	2	1	3.72E-06
3	2	2	3.06E-06
3	2	3	2.36E-06
3	2	4	1.77E-06
3	2	5	1.32E-06
3	3	0	2.90E-06
3	3	1	2.74E-06
3	3	2	2.36E-06
3	3	3	1.91E-06
3	3	4	1.49E-06
3	3	5	1.16E-06
3	4	0	2.07E-06
3	4	1	1.99E-06
3	4	2	1.77E-06
3	4	3	1.49E-06
3	4	4	1.22E-06
3	4	5	9.74E-07
3	5	0	1.50E-06
3	5	1	1.45E-06
3	5	2	1.32E-06
3	5	3	1.16E-06
3	5	4	9.74E-07
3	5	5	8.04E-07
4	0	0	3.26E-06
4	0	1	3.06E-06
