Lu177 - 2.33mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	8.82E-01
0	0	1	1.43E-02
0	0	2	9.25E-05
0	0	3	4.13E-05
0	0	4	2.34E-05
0	0	5	1.51E-05
0	1	0	1.43E-02
0	1	1	5.43E-04
0	1	2	7.43E-05
0	1	3	3.72E-05
0	1	4	2.22E-05
0	1	5	1.46E-05
0	2	0	9.25E-05
0	2	1	7.43E-05
0	2	2	4.64E-05
0	2	3	2.88E-05
0	2	4	1.89E-05
0	2	5	1.31E-05
0	3	0	4.13E-05
0	3	1	3.72E-05
0	3	2	2.88E-05
0	3	3	2.09E-05
0	3	4	1.52E-05
0	3	5	1.12E-05
0	4	0	2.34E-05
0	4	1	2.22E-05
0	4	2	1.89E-05
0	4	3	1.52E-05
0	4	4	1.19E-05
0	4	5	9.26E-06
0	5	0	1.51E-05
0	5	1	1.46E-05
0	5	2	1.31E-05
0	5	3	1.12E-05
0	5	4	9.26E-06
0	5	5	7.65E-06
1	0	0	1.43E-02
1	0	1	5.43E-04
1	0	2	7.43E-05
1	0	3	3.72E-05
1	0	4	2.22E-05
1	0	5	1.46E-05
1	1	0	5.43E-04
1	1	1	1.38E-04
1	1	2	6.19E-05
1	1	3	3.39E-05
1	1	4	2.09E-05
1	1	5	1.41E-05
1	2	0	7.43E-05
1	2	1	6.19E-05
1	2	2	4.15E-05
1	2	3	2.68E-05
1	2	4	1.80E-05
1	2	5	1.27E-05
1	3	0	3.72E-05
1	3	1	3.39E-05
1	3	2	2.68E-05
1	3	3	1.99E-05
1	3	4	1.46E-05
1	3	5	1.09E-05
1	4	0	2.22E-05
1	4	1	2.09E-05
1	4	2	1.80E-05
1	4	3	1.46E-05
1	4	4	1.16E-05
1	4	5	9.10E-06
1	5	0	1.46E-05
1	5	1	1.41E-05
1	5	2	1.27E-05
1	5	3	1.09E-05
1	5	4	9.10E-06
1	5	5	7.49E-06
2	0	0	9.25E-05
2	0	1	7.43E-05
2	0	2	4.64E-05
2	0	3	2.88E-05
2	0	4	1.89E-05
2	0	5	1.31E-05
2	1	0	7.43E-05
2	1	1	6.19E-05
2	1	2	4.15E-05
2	1	3	2.68E-05
2	1	4	1.80E-05
2	1	5	1.27E-05
2	2	0	4.64E-05
2	2	1	4.15E-05
2	2	2	3.12E-05
2	2	3	2.22E-05
2	2	4	1.58E-05
2	2	5	1.15E-05
2	3	0	2.88E-05
2	3	1	2.68E-05
2	3	2	2.22E-05
2	3	3	1.72E-05
2	3	4	1.31E-05
2	3	5	1.00E-05
2	4	0	1.89E-05
2	4	1	1.80E-05
2	4	2	1.58E-05
2	4	3	1.31E-05
2	4	4	1.06E-05
2	4	5	8.49E-06
2	5	0	1.31E-05
2	5	1	1.27E-05
2	5	2	1.15E-05
2	5	3	1.00E-05
2	5	4	8.49E-06
2	5	5	7.06E-06
3	0	0	4.13E-05
3	0	1	3.72E-05
3	0	2	2.88E-05
3	0	3	2.09E-05
3	0	4	1.52E-05
3	0	5	1.12E-05
3	1	0	3.72E-05
3	1	1	3.39E-05
3	1	2	2.68E-05
3	1	3	1.99E-05
3	1	4	1.46E-05
3	1	5	1.09E-05
3	2	0	2.88E-05
3	2	1	2.68E-05
3	2	2	2.22E-05
3	2	3	1.72E-05
3	2	4	1.31E-05
3	2	5	1.00E-05
3	3	0	2.09E-05
3	3	1	1.99E-05
3	3	2	1.72E-05
3	3	3	1.41E-05
3	3	4	1.12E-05
3	3	5	8.86E-06
3	4	0	1.52E-05
3	4	1	1.46E-05
3	4	2	1.31E-05
3	4	3	1.12E-05
3	4	4	9.33E-06
3	4	5	7.61E-06
3	5	0	1.12E-05
3	5	1	1.09E-05
3	5	2	1.00E-05
3	5	3	8.86E-06
3	5	4	7.61E-06
3	5	5	6.51E-06
4	0	0	2.34E-05
4	0	1	2.22E-05
4	0	2	1.89E-05
4	0	3	1.52E-05
4	0	4	1.19E-05
