Lu177 - 3mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	4.13E-01
0	0	1	5.28E-03
0	0	2	5.66E-05
0	0	3	2.53E-05
0	0	4	1.43E-05
0	0	5	9.23E-06
0	1	0	5.28E-03
0	1	1	2.18E-04
0	1	2	4.55E-05
0	1	3	2.28E-05
0	1	4	1.36E-05
0	1	5	8.91E-06
0	2	0	5.66E-05
0	2	1	4.55E-05
0	2	2	2.86E-05
0	2	3	1.77E-05
0	2	4	1.16E-05
0	2	5	7.97E-06
0	3	0	2.53E-05
0	3	1	2.28E-05
0	3	2	1.77E-05
0	3	3	1.28E-05
0	3	4	9.26E-06
0	3	5	6.80E-06
0	4	0	1.43E-05
0	4	1	1.36E-05
0	4	2	1.16E-05
0	4	3	9.26E-06
0	4	4	7.25E-06
0	4	5	5.64E-06
0	5	0	9.23E-06
0	5	1	8.91E-06
0	5	2	7.97E-06
0	5	3	6.80E-06
0	5	4	5.64E-06
0	5	5	4.59E-06
1	0	0	5.28E-03
1	0	1	2.18E-04
1	0	2	4.55E-05
1	0	3	2.28E-05
1	0	4	1.36E-05
1	0	5	8.91E-06
1	1	0	2.18E-04
1	1	1	8.01E-05
1	1	2	3.80E-05
1	1	3	2.08E-05
1	1	4	1.28E-05
1	1	5	8.55E-06
1	2	0	4.55E-05
1	2	1	3.80E-05
1	2	2	2.54E-05
1	2	3	1.64E-05
1	2	4	1.10E-05
1	2	5	7.72E-06
1	3	0	2.28E-05
1	3	1	2.08E-05
1	3	2	1.64E-05
1	3	3	1.21E-05
1	3	4	8.91E-06
1	3	5	6.63E-06
1	4	0	1.36E-05
1	4	1	1.28E-05
1	4	2	1.10E-05
1	4	3	8.91E-06
1	4	4	7.02E-06
1	4	5	5.51E-06
1	5	0	8.91E-06
1	5	1	8.55E-06
1	5	2	7.72E-06
1	5	3	6.63E-06
1	5	4	5.51E-06
1	5	5	4.53E-06
2	0	0	5.66E-05
2	0	1	4.55E-05
2	0	2	2.86E-05
2	0	3	1.77E-05
2	0	4	1.16E-05
2	0	5	7.97E-06
2	1	0	4.55E-05
2	1	1	3.80E-05
2	1	2	2.54E-05
2	1	3	1.64E-05
2	1	4	1.10E-05
2	1	5	7.72E-06
2	2	0	2.86E-05
2	2	1	2.54E-05
2	2	2	1.91E-05
2	2	3	1.36E-05
2	2	4	9.64E-06
2	2	5	7.03E-06
2	3	0	1.77E-05
2	3	1	1.64E-05
2	3	2	1.36E-05
2	3	3	1.05E-05
2	3	4	7.99E-06
2	3	5	6.11E-06
2	4	0	1.16E-05
2	4	1	1.10E-05
2	4	2	9.64E-06
2	4	3	7.99E-06
2	4	4	6.44E-06
2	4	5	5.12E-06
2	5	0	7.97E-06
2	5	1	7.72E-06
2	5	2	7.03E-06
2	5	3	6.11E-06
2	5	4	5.12E-06
2	5	5	4.26E-06
3	0	0	2.53E-05
3	0	1	2.28E-05
3	0	2	1.77E-05
3	0	3	1.28E-05
3	0	4	9.26E-06
3	0	5	6.80E-06
3	1	0	2.28E-05
3	1	1	2.08E-05
3	1	2	1.64E-05
3	1	3	1.21E-05
3	1	4	8.91E-06
3	1	5	6.63E-06
3	2	0	1.77E-05
3	2	1	1.64E-05
3	2	2	1.36E-05
3	2	3	1.05E-05
3	2	4	7.99E-06
3	2	5	6.11E-06
3	3	0	1.28E-05
3	3	1	1.21E-05
3	3	2	1.05E-05
3	3	3	8.56E-06
3	3	4	6.78E-06
3	3	5	5.38E-06
3	4	0	9.26E-06
3	4	1	8.91E-06
3	4	2	7.99E-06
3	4	3	6.78E-06
3	4	4	5.64E-06
3	4	5	4.61E-06
3	5	0	6.80E-06
3	5	1	6.63E-06
3	5	2	6.11E-06
3	5	3	5.38E-06
3	5	4	4.61E-06
3	5	5	3.89E-06
4	0	0	1.43E-05
4	0	1	1.36E-05
4	0	2	1.16E-05
4	0	3	9.26E-06
4	0	4	7.25E-06
4	0	5	5.64E-06
4	1	0	1.36E-05
4	1	1	1.28E-05
4	1	2	1.10E-05
4	1	3	8.91E-06
4	1	4	7.02E-06
4	1	5	5.51E-06
4	2	0	1.16E-05
4	2	1	1.10E-05
4	2	2	9.64E-06
4	2	3	7.99E-06
4	2	4	6.44E-06
4	2	5	5.12E-06
4	3	0	9.26E-06
4	3	1	8.91E-06
4	3	2	7.99E-06
4	3	3	6.78E-06
4	3	4	5.64E-06
4	3	5	4.61E-06
4	4	0	7.25E-06
4	4	1	7.02E-06
4	4	2	6.44E-06
4	4	3	5.64E-06
4	4	4	4.78E-06
4	4	5	4.05E-06
4	5	0	5.64E-06
4	5	1	5.51E-06
4	5	2	5.12E-06
4	5	3	4.61E-06
4	5	4	4.05E-06
4	5	5	3.49E-06
5	0	0	9.23E-06
5	0	1	8.91E-06
5	0	2	7.97E-06
