Lu177 - 3mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	6.93E-01
0	0	1	1.51E-02
0	0	2	4.08E-05
0	0	3	1.78E-05
0	0	4	1.01E-05
0	0	5	6.51E-06
0	1	0	1.51E-02
0	1	1	6.17E-04
0	1	2	3.24E-05
0	1	3	1.60E-05
0	1	4	9.55E-06
0	1	5	6.33E-06
0	2	0	4.08E-05
0	2	1	3.24E-05
0	2	2	2.01E-05
0	2	3	1.24E-05
0	2	4	8.15E-06
0	2	5	5.70E-06
0	3	0	1.78E-05
0	3	1	1.60E-05
0	3	2	1.24E-05
0	3	3	9.03E-06
0	3	4	6.56E-06
0	3	5	4.86E-06
0	4	0	1.01E-05
0	4	1	9.55E-06
0	4	2	8.15E-06
0	4	3	6.56E-06
0	4	4	5.18E-06
0	4	5	4.06E-06
0	5	0	6.51E-06
0	5	1	6.33E-06
0	5	2	5.70E-06
0	5	3	4.86E-06
0	5	4	4.06E-06
0	5	5	3.36E-06
1	0	0	1.51E-02
1	0	1	6.17E-04
1	0	2	3.24E-05
1	0	3	1.60E-05
1	0	4	9.55E-06
1	0	5	6.33E-06
1	1	0	6.17E-04
1	1	1	7.98E-05
1	1	2	2.69E-05
1	1	3	1.46E-05
1	1	4	9.01E-06
1	1	5	6.06E-06
1	2	0	3.24E-05
1	2	1	2.69E-05
1	2	2	1.78E-05
1	2	3	1.15E-05
1	2	4	7.77E-06
1	2	5	5.50E-06
1	3	0	1.60E-05
1	3	1	1.46E-05
1	3	2	1.15E-05
1	3	3	8.55E-06
1	3	4	6.32E-06
1	3	5	4.75E-06
1	4	0	9.55E-06
1	4	1	9.01E-06
1	4	2	7.77E-06
1	4	3	6.32E-06
1	4	4	4.99E-06
1	4	5	3.98E-06
1	5	0	6.33E-06
1	5	1	6.06E-06
1	5	2	5.50E-06
1	5	3	4.75E-06
1	5	4	3.98E-06
1	5	5	3.31E-06
2	0	0	4.08E-05
2	0	1	3.24E-05
2	0	2	2.01E-05
2	0	3	1.24E-05
2	0	4	8.15E-06
2	0	5	5.70E-06
2	1	0	3.24E-05
2	1	1	2.69E-05
2	1	2	1.78E-05
2	1	3	1.15E-05
2	1	4	7.77E-06
2	1	5	5.50E-06
2	2	0	2.01E-05
2	2	1	1.78E-05
2	2	2	1.35E-05
2	2	3	9.55E-06
2	2	4	6.82E-06
2	2	5	5.00E-06
2	3	0	1.24E-05
2	3	1	1.15E-05
2	3	2	9.55E-06
2	3	3	7.42E-06
2	3	4	5.67E-06
2	3	5	4.38E-06
2	4	0	8.15E-06
2	4	1	7.77E-06
2	4	2	6.82E-06
2	4	3	5.67E-06
2	4	4	4.62E-06
2	4	5	3.73E-06
2	5	0	5.70E-06
2	5	1	5.50E-06
2	5	2	5.00E-06
2	5	3	4.38E-06
2	5	4	3.73E-06
2	5	5	3.13E-06
3	0	0	1.78E-05
3	0	1	1.60E-05
3	0	2	1.24E-05
3	0	3	9.03E-06
3	0	4	6.56E-06
3	0	5	4.86E-06
3	1	0	1.60E-05
3	1	1	1.46E-05
3	1	2	1.15E-05
3	1	3	8.55E-06
3	1	4	6.32E-06
3	1	5	4.75E-06
3	2	0	1.24E-05
3	2	1	1.15E-05
3	2	2	9.55E-06
3	2	3	7.42E-06
3	2	4	5.67E-06
3	2	5	4.38E-06
3	3	0	9.03E-06
3	3	1	8.55E-06
3	3	2	7.42E-06
3	3	3	6.12E-06
3	3	4	4.90E-06
3	3	5	3.89E-06
3	4	0	6.56E-06
3	4	1	6.32E-06
3	4	2	5.67E-06
3	4	3	4.90E-06
3	4	4	4.10E-06
3	4	5	3.36E-06
3	5	0	4.86E-06
3	5	1	4.75E-06
3	5	2	4.38E-06
3	5	3	3.89E-06
3	5	4	3.36E-06
3	5	5	2.89E-06
4	0	0	1.01E-05
4	0	1	9.55E-06
4	0	2	8.15E-06
4	0	3	6.56E-06
4	0	4	5.18E-06
4	0	5	4.06E-06
4	1	0	9.55E-06
4	1	1	9.01E-06
4	1	2	7.77E-06
4	1	3	6.32E-06
4	1	4	4.99E-06
4	1	5	3.98E-06
4	2	0	8.15E-06
4	2	1	7.77E-06
4	2	2	6.82E-06
4	2	3	5.67E-06
4	2	4	4.62E-06
4	2	5	3.73E-06
4	3	0	6.56E-06
4	3	1	6.32E-06
4	3	2	5.67E-06
4	3	3	4.90E-06
4	3	4	4.10E-06
4	3	5	3.36E-06
4	4	0	5.18E-06
4	4	1	4.99E-06
4	4	2	4.62E-06
4	4	3	4.10E-06
4	4	4	3.53E-06
4	4	5	2.96E-06
4	5	0	4.06E-06
4	5	1	3.98E-06
4	5	2	3.73E-06
4	5	3	3.36E-06
4	5	4	2.96E-06
4	5	5	2.58E-06
5	0	0	6.51E-06
5	0	1	6.33E-06
5	0	2	5.70E-06
5	0	3	4.86E-06
5	0	4	4.06E-06
5	0	5	3.36E-06
5	1	0	6.33E-06
5	1	1	6.06E-06
5	1	2	5.50E-06
5	1	3	4.75E-06
5	1	4	3.98E-06
5	1	5	3.31E-06
5	2	0	5.70E-06
5	2	1	5.50E-06
5	2	2	5.00E-06
5	2	3	4.38E-06
5	2	4	3.73E-06
5	2	5	3.13E-06
5	3	0	4.86E-06
5	3	1	4.75E-06
5	3	2	4.38E-06
5	3	3	3.89E-06
5	3	4	3.36E-06
5	3	5	2.89E-06
5	4	0	4.06E-06
5	4	1	3.98E-06
5	4	2	3.73E-06
5	4	3	3.36E-06
5	4	4	2.96E-06
5	4	5	2.58E-06
5	5	0	3.36E-06
5	5	1	3.31E-06
5	5	2	3.13E-06
5	5	3	2.89E-06
5	5	4	2.58E-06
5	5	5	2.28E-06
