Lu177 - 4.42mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.26E-01
0	0	1	3.39E-03
0	0	2	1.88E-05
0	0	3	8.43E-06
0	0	4	4.83E-06
0	0	5	3.14E-06
0	1	0	3.39E-03
0	1	1	1.19E-04
0	1	2	1.51E-05
0	1	3	7.60E-06
0	1	4	4.56E-06
0	1	5	3.04E-06
0	2	0	1.88E-05
0	2	1	1.51E-05
0	2	2	9.48E-06
0	2	3	5.90E-06
0	2	4	3.89E-06
0	2	5	2.74E-06
0	3	0	8.43E-06
0	3	1	7.60E-06
0	3	2	5.90E-06
0	3	3	4.32E-06
0	3	4	3.14E-06
0	3	5	2.35E-06
0	4	0	4.83E-06
0	4	1	4.56E-06
0	4	2	3.89E-06
0	4	3	3.14E-06
0	4	4	2.50E-06
0	4	5	1.98E-06
0	5	0	3.14E-06
0	5	1	3.04E-06
0	5	2	2.74E-06
0	5	3	2.35E-06
0	5	4	1.98E-06
0	5	5	1.61E-06
1	0	0	3.39E-03
1	0	1	1.19E-04
1	0	2	1.51E-05
1	0	3	7.60E-06
1	0	4	4.56E-06
1	0	5	3.04E-06
1	1	0	1.19E-04
1	1	1	2.82E-05
1	1	2	1.26E-05
1	1	3	6.94E-06
1	1	4	4.32E-06
1	1	5	2.93E-06
1	2	0	1.51E-05
1	2	1	1.26E-05
1	2	2	8.46E-06
1	2	3	5.49E-06
1	2	4	3.72E-06
1	2	5	2.64E-06
1	3	0	7.60E-06
1	3	1	6.94E-06
1	3	2	5.49E-06
1	3	3	4.09E-06
1	3	4	3.04E-06
1	3	5	2.29E-06
1	4	0	4.56E-06
1	4	1	4.32E-06
1	4	2	3.72E-06
1	4	3	3.04E-06
1	4	4	2.42E-06
1	4	5	1.92E-06
1	5	0	3.04E-06
1	5	1	2.93E-06
1	5	2	2.64E-06
1	5	3	2.29E-06
1	5	4	1.92E-06
1	5	5	1.60E-06
2	0	0	1.88E-05
2	0	1	1.51E-05
2	0	2	9.48E-06
