Lu177 - 4mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	1.77E-01
0	0	1	1.77E-03
0	0	2	3.24E-05
0	0	3	1.45E-05
0	0	4	8.17E-06
0	0	5	5.22E-06
0	1	0	1.77E-03
0	1	1	9.19E-05
0	1	2	2.61E-05
0	1	3	1.31E-05
0	1	4	7.70E-06
0	1	5	5.02E-06
0	2	0	3.24E-05
0	2	1	2.61E-05
0	2	2	1.63E-05
0	2	3	1.01E-05
0	2	4	6.55E-06
0	2	5	4.49E-06
0	3	0	1.45E-05
0	3	1	1.31E-05
0	3	2	1.01E-05
0	3	3	7.27E-06
0	3	4	5.22E-06
0	3	5	3.82E-06
0	4	0	8.17E-06
0	4	1	7.70E-06
0	4	2	6.55E-06
0	4	3	5.22E-06
0	4	4	4.06E-06
0	4	5	3.14E-06
0	5	0	5.22E-06
0	5	1	5.02E-06
0	5	2	4.49E-06
0	5	3	3.82E-06
0	5	4	3.14E-06
0	5	5	2.57E-06
1	0	0	1.77E-03
1	0	1	9.19E-05
1	0	2	2.61E-05
1	0	3	1.31E-05
1	0	4	7.70E-06
1	0	5	5.02E-06
1	1	0	9.19E-05
1	1	1	4.49E-05
1	1	2	2.17E-05
1	1	3	1.19E-05
1	1	4	7.27E-06
1	1	5	4.84E-06
1	2	0	2.61E-05
1	2	1	2.17E-05
1	2	2	1.45E-05
1	2	3	9.36E-06
1	2	4	6.23E-06
1	2	5	4.35E-06
1	3	0	1.31E-05
1	3	1	1.19E-05
1	3	2	9.36E-06
1	3	3	6.89E-06
1	3	4	5.02E-06
1	3	5	3.71E-06
1	4	0	7.70E-06
1	4	1	7.27E-06
1	4	2	6.23E-06
1	4	3	5.02E-06
1	4	4	3.92E-06
1	4	5	3.06E-06
1	5	0	5.02E-06
1	5	1	4.84E-06
1	5	2	4.35E-06
1	5	3	3.71E-06
1	5	4	3.06E-06
1	5	5	2.51E-06
2	0	0	3.24E-05
2	0	1	2.61E-05
2	0	2	1.63E-05
2	0	3	1.01E-05
2	0	4	6.55E-06
2	0	5	4.49E-06
2	1	0	2.61E-05
2	1	1	2.17E-05
2	1	2	1.45E-05
2	1	3	9.36E-06
2	1	4	6.23E-06
2	1	5	4.35E-06
2	2	0	1.63E-05
2	2	1	1.45E-05
2	2	2	1.09E-05
2	2	3	7.71E-06
2	2	4	5.45E-06
2	2	5	3.93E-06
2	3	0	1.01E-05
2	3	1	9.36E-06
2	3	2	7.71E-06
2	3	3	5.95E-06
2	3	4	4.49E-06
2	3	5	3.41E-06
2	4	0	6.55E-06
2	4	1	6.23E-06
2	4	2	5.45E-06
2	4	3	4.49E-06
2	4	4	3.60E-06
2	4	5	2.86E-06
2	5	0	4.49E-06
2	5	1	4.35E-06
2	5	2	3.93E-06
2	5	3	3.41E-06
2	5	4	2.86E-06
2	5	5	2.36E-06
3	0	0	1.45E-05
3	0	1	1.31E-05
3	0	2	1.01E-05
3	0	3	7.27E-06
3	0	4	5.22E-06
3	0	5	3.82E-06
3	1	0	1.31E-05
3	1	1	1.19E-05
3	1	2	9.36E-06
3	1	3	6.89E-06
3	1	4	5.02E-06
3	1	5	3.71E-06
3	2	0	1.01E-05
3	2	1	9.36E-06
3	2	2	7.71E-06
3	2	3	5.95E-06
3	2	4	4.49E-06
3	2	5	3.41E-06
3	3	0	7.27E-06
3	3	1	6.89E-06
3	3	2	5.95E-06
3	3	3	4.84E-06
3	3	4	3.81E-06
3	3	5	2.99E-06
3	4	0	5.22E-06
3	4	1	5.02E-06
3	4	2	4.49E-06
3	4	3	3.81E-06
3	4	4	3.15E-06
3	4	5	2.56E-06
3	5	0	3.82E-06
3	5	1	3.71E-06
3	5	2	3.41E-06
3	5	3	2.99E-06
3	5	4	2.56E-06
3	5	5	2.15E-06
4	0	0	8.17E-06
4	0	1	7.70E-06
4	0	2	6.55E-06
4	0	3	5.22E-06
4	0	4	4.06E-06
4	0	5	3.14E-06
4	1	0	7.70E-06
4	1	1	7.27E-06
4	1	2	6.23E-06
4	1	3	5.02E-06
4	1	4	3.92E-06
4	1	5	3.06E-06
4	2	0	6.55E-06
4	2	1	6.23E-06
4	2	2	5.45E-06
4	2	3	4.49E-06
4	2	4	3.60E-06
4	2	5	2.86E-06
4	3	0	5.22E-06
4	3	1	5.02E-06
4	3	2	4.49E-06
4	3	3	3.81E-06
4	3	4	3.15E-06
4	3	5	2.56E-06
4	4	0	4.06E-06
4	4	1	3.92E-06
4	4	2	3.60E-06
4	4	3	3.15E-06
4	4	4	2.67E-06
4	4	5	2.22E-06
4	5	0	3.14E-06
4	5	1	3.06E-06
4	5	2	2.86E-06
4	5	3	2.56E-06
4	5	4	2.22E-06
4	5	5	1.90E-06
5	0	0	5.22E-06
5	0	1	5.02E-06
5	0	2	4.49E-06
5	0	3	3.82E-06
5	0	4	3.14E-06
5	0	5	2.57E-06
5	1	0	5.02E-06
5	1	1	4.84E-06
5	1	2	4.35E-06
5	1	3	3.71E-06
5	1	4	3.06E-06
5	1	5	2.51E-06
5	2	0	4.49E-06
5	2	1	4.35E-06
5	2	2	3.93E-06
5	2	3	3.41E-06
5	2	4	2.86E-06
5	2	5	2.36E-06
5	3	0	3.82E-06
5	3	1	3.71E-06
5	3	2	3.41E-06
5	3	3	2.99E-06
5	3	4	2.56E-06
5	3	5	2.15E-06
5	4	0	3.14E-06
5	4	1	3.06E-06
5	4	2	2.86E-06
5	4	3	2.56E-06
5	4	4	2.22E-06
5	4	5	1.90E-06
5	5	0	2.57E-06
5	5	1	2.51E-06
5	5	2	2.36E-06
5	5	3	2.15E-06
5	5	4	1.90E-06
5	5	5	1.64E-06
