Lu177 - 9.28mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	1.47E-02
0	0	1	8.54E-05
0	0	2	6.25E-06
0	0	3	2.69E-06
0	0	4	1.43E-06
0	0	5	8.59E-07
0	1	0	8.54E-05
0	1	1	1.37E-05
0	1	2	4.99E-06
0	1	3	2.40E-06
0	1	4	1.34E-06
0	1	5	8.25E-07
0	2	0	6.25E-06
0	2	1	4.99E-06
0	2	2	3.05E-06
0	2	3	1.81E-06
0	2	4	1.12E-06
0	2	5	7.24E-07
0	3	0	2.69E-06
0	3	1	2.40E-06
0	3	2	1.81E-06
0	3	3	1.26E-06
0	3	4	8.62E-07
0	3	5	5.96E-07
0	4	0	1.43E-06
0	4	1	1.34E-06
0	4	2	1.12E-06
0	4	3	8.62E-07
0	4	4	6.44E-07
0	4	5	4.73E-07
0	5	0	8.59E-07
0	5	1	8.25E-07
0	5	2	7.24E-07
0	5	3	5.96E-07
0	5	4	4.73E-07
0	5	5	3.67E-07
1	0	0	8.54E-05
1	0	1	1.37E-05
1	0	2	4.99E-06
1	0	3	2.40E-06
1	0	4	1.34E-06
1	0	5	8.25E-07
1	1	0	1.37E-05
1	1	1	8.61E-06
1	1	2	4.13E-06
1	1	3	2.17E-06
1	1	4	1.26E-06
1	1	5	7.88E-07
1	2	0	4.99E-06
1	2	1	4.13E-06
1	2	2	2.69E-06
1	2	3	1.67E-06
1	2	4	1.06E-06
1	2	5	6.95E-07
1	3	0	2.40E-06
1	3	1	2.17E-06
1	3	2	1.67E-06
1	3	3	1.18E-06
1	3	4	8.25E-07
1	3	5	5.75E-07
1	4	0	1.34E-06
1	4	1	1.26E-06
1	4	2	1.06E-06
1	4	3	8.25E-07
1	4	4	6.19E-07
1	4	5	4.58E-07
1	5	0	8.25E-07
1	5	1	7.88E-07
1	5	2	6.95E-07
1	5	3	5.75E-07
1	5	4	4.58E-07
1	5	5	3.56E-07
2	0	0	6.25E-06
2	0	1	4.99E-06
2	0	2	3.05E-06
2	0	3	1.81E-06
2	0	4	1.12E-06
2	0	5	7.24E-07
2	1	0	4.99E-06
2	1	1	4.13E-06
2	1	2	2.69E-06
2	1	3	1.67E-06
2	1	4	1.06E-06
2	1	5	6.95E-07
2	2	0	3.05E-06
2	2	1	2.69E-06
2	2	2	1.97E-06
2	2	3	1.34E-06
2	2	4	9.04E-07
2	2	5	6.19E-07
2	3	0	1.81E-06
2	3	1	1.67E-06
2	3	2	1.34E-06
2	3	3	1.00E-06
2	3	4	7.24E-07
2	3	5	5.19E-07
2	4	0	1.12E-06
2	4	1	1.06E-06
2	4	2	9.04E-07
2	4	3	7.24E-07
2	4	4	5.57E-07
2	4	5	4.19E-07
2	5	0	7.24E-07
2	5	1	6.95E-07
2	5	2	6.19E-07
2	5	3	5.19E-07
2	5	4	4.19E-07
2	5	5	3.31E-07
3	0	0	2.69E-06
3	0	1	2.40E-06
3	0	2	1.81E-06
3	0	3	1.26E-06
3	0	4	8.62E-07
3	0	5	5.96E-07
3	1	0	2.40E-06
3	1	1	2.17E-06
3	1	2	1.67E-06
3	1	3	1.18E-06
3	1	4	8.25E-07
3	1	5	5.75E-07
3	2	0	1.81E-06
3	2	1	1.67E-06
3	2	2	1.34E-06
3	2	3	1.00E-06
3	2	4	7.24E-07
3	2	5	5.19E-07
3	3	0	1.26E-06
3	3	1	1.18E-06
3	3	2	1.00E-06
3	3	3	7.87E-07
3	3	4	5.96E-07
3	3	5	4.43E-07
3	4	0	8.62E-07
3	4	1	8.25E-07
3	4	2	7.24E-07
3	4	3	5.96E-07
3	4	4	4.72E-07
3	4	5	3.65E-07
3	5	0	5.96E-07
3	5	1	5.75E-07
3	5	2	5.19E-07
3	5	3	4.43E-07
3	5	4	3.65E-07
3	5	5	2.92E-07
4	0	0	1.43E-06
4	0	1	1.34E-06
4	0	2	1.12E-06
4	0	3	8.62E-07
4	0	4	6.44E-07
4	0	5	4.73E-07
4	1	0	1.34E-06
4	1	1	1.26E-06
4	1	2	1.06E-06
4	1	3	8.25E-07
4	1	4	6.19E-07
4	1	5	4.58E-07
4	2	0	1.12E-06
4	2	1	1.06E-06
4	2	2	9.04E-07
4	2	3	7.24E-07
4	2	4	5.57E-07
4	2	5	4.19E-07
4	3	0	8.62E-07
4	3	1	8.25E-07
4	3	2	7.24E-07
4	3	3	5.96E-07
4	3	4	4.72E-07
4	3	5	3.65E-07
4	4	0	6.44E-07
4	4	1	6.19E-07
4	4	2	5.57E-07
4	4	3	4.72E-07
4	4	4	3.86E-07
4	4	5	3.06E-07
4	5	0	4.73E-07
4	5	1	4.58E-07
4	5	2	4.19E-07
4	5	3	3.65E-07
4	5	4	3.06E-07
4	5	5	2.51E-07
5	0	0	8.59E-07
5	0	1	8.25E-07
5	0	2	7.24E-07
5	0	3	5.96E-07
5	0	4	4.73E-07
5	0	5	3.67E-07
5	1	0	8.25E-07
5	1	1	7.88E-07
5	1	2	6.95E-07
5	1	3	5.75E-07
5	1	4	4.58E-07
5	1	5	3.56E-07
5	2	0	7.24E-07
5	2	1	6.95E-07
5	2	2	6.19E-07
5	2	3	5.19E-07
5	2	4	4.19E-07
5	2	5	3.31E-07
5	3	0	5.96E-07
5	3	1	5.75E-07
5	3	2	5.19E-07
5	3	3	4.43E-07
5	3	4	3.65E-07
5	3	5	2.92E-07
5	4	0	4.73E-07
5	4	1	4.58E-07
5	4	2	4.19E-07
5	4	3	3.65E-07
