Re186 - 2.21mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.61E+00
0	0	1	2.46E-01
0	0	2	1.02E-03
0	0	3	2.10E-05
0	0	4	1.15E-05
0	0	5	7.36E-06
0	1	0	2.46E-01
0	1	1	4.15E-02
0	1	2	2.79E-04
0	1	3	1.87E-05
0	1	4	1.08E-05
0	1	5	7.10E-06
0	2	0	1.02E-03
0	2	1	2.79E-04
0	2	2	2.53E-05
0	2	3	1.42E-05
0	2	4	9.16E-06
0	2	5	6.38E-06
0	3	0	2.10E-05
0	3	1	1.87E-05
0	3	2	1.42E-05
0	3	3	1.02E-05
0	3	4	7.38E-06
0	3	5	5.48E-06
0	4	0	1.15E-05
0	4	1	1.08E-05
0	4	2	9.16E-06
0	4	3	7.38E-06
0	4	4	5.77E-06
0	4	5	4.54E-06
0	5	0	7.36E-06
0	5	1	7.10E-06
0	5	2	6.38E-06
0	5	3	5.48E-06
0	5	4	4.54E-06
0	5	5	3.81E-06
1	0	0	2.46E-01
1	0	1	4.15E-02
1	0	2	2.79E-04
1	0	3	1.87E-05
1	0	4	1.08E-05
1	0	5	7.10E-06
1	1	0	4.15E-02
1	1	1	8.81E-03
1	1	2	9.08E-05
1	1	3	1.69E-05
1	1	4	1.01E-05
1	1	5	6.83E-06
1	2	0	2.79E-04
1	2	1	9.08E-05
1	2	2	2.13E-05
1	2	3	1.31E-05
1	2	4	8.74E-06
1	2	5	6.19E-06
1	3	0	1.87E-05
1	3	1	1.69E-05
1	3	2	1.31E-05
1	3	3	9.62E-06
1	3	4	7.09E-06
1	3	5	5.31E-06
1	4	0	1.08E-05
1	4	1	1.01E-05
1	4	2	8.74E-06
1	4	3	7.09E-06
1	4	4	5.63E-06
1	4	5	4.46E-06
1	5	0	7.10E-06
1	5	1	6.83E-06
1	5	2	6.19E-06
1	5	3	5.31E-06
1	5	4	4.46E-06
1	5	5	3.71E-06
2	0	0	1.02E-03
2	0	1	2.79E-04
2	0	2	2.53E-05
2	0	3	1.42E-05
2	0	4	9.16E-06
2	0	5	6.38E-06
2	1	0	2.79E-04
2	1	1	9.08E-05
2	1	2	2.13E-05
2	1	3	1.31E-05
2	1	4	8.74E-06
2	1	5	6.19E-06
2	2	0	2.53E-05
2	2	1	2.13E-05
2	2	2	1.54E-05
2	2	3	1.08E-05
2	2	4	7.66E-06
2	2	5	5.59E-06
2	3	0	1.42E-05
2	3	1	1.31E-05
2	3	2	1.08E-05
2	3	3	8.33E-06
2	3	4	6.34E-06
2	3	5	4.91E-06
2	4	0	9.16E-06
2	4	1	8.74E-06
2	4	2	7.66E-06
2	4	3	6.34E-06
2	4	4	5.21E-06
2	4	5	4.18E-06
2	5	0	6.38E-06
2	5	1	6.19E-06
2	5	2	5.59E-06
2	5	3	4.91E-06
2	5	4	4.18E-06
2	5	5	3.51E-06
3	0	0	2.10E-05
3	0	1	1.87E-05
3	0	2	1.42E-05
3	0	3	1.02E-05
3	0	4	7.38E-06
3	0	5	5.48E-06
3	1	0	1.87E-05
3	1	1	1.69E-05
3	1	2	1.31E-05
3	1	3	9.62E-06
3	1	4	7.09E-06
3	1	5	5.31E-06
3	2	0	1.42E-05
3	2	1	1.31E-05
3	2	2	1.08E-05
3	2	3	8.33E-06
3	2	4	6.34E-06
3	2	5	4.91E-06
3	3	0	1.02E-05
3	3	1	9.62E-06
3	3	2	8.33E-06
3	3	3	6.81E-06
3	3	4	5.47E-06
3	3	5	4.37E-06
3	4	0	7.38E-06
3	4	1	7.09E-06
3	4	2	6.34E-06
3	4	3	5.47E-06
3	4	4	4.56E-06
3	4	5	3.78E-06
3	5	0	5.48E-06
3	5	1	5.31E-06
3	5	2	4.91E-06
3	5	3	4.37E-06
3	5	4	3.78E-06
3	5	5	3.20E-06
4	0	0	1.15E-05
4	0	1	1.08E-05
4	0	2	9.16E-06
4	0	3	7.38E-06
4	0	4	5.77E-06
4	0	5	4.54E-06
4	1	0	1.08E-05
4	1	1	1.01E-05
4	1	2	8.74E-06
4	1	3	7.09E-06
4	1	4	5.63E-06
4	1	5	4.46E-06
4	2	0	9.16E-06
4	2	1	8.74E-06
4	2	2	7.66E-06
4	2	3	6.34E-06
