Re186 - 3.9mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	3.96E-01
0	0	1	1.26E-02
0	0	2	2.80E-05
0	0	3	1.23E-05
0	0	4	6.87E-06
0	0	5	4.30E-06
0	1	0	1.26E-02
0	1	1	6.35E-04
0	1	2	2.24E-05
0	1	3	1.11E-05
0	1	4	6.46E-06
0	1	5	4.15E-06
0	2	0	2.80E-05
0	2	1	2.24E-05
0	2	2	1.39E-05
0	2	3	8.52E-06
0	2	4	5.46E-06
0	2	5	3.70E-06
0	3	0	1.23E-05
0	3	1	1.11E-05
0	3	2	8.52E-06
0	3	3	6.10E-06
0	3	4	4.32E-06
0	3	5	3.11E-06
0	4	0	6.87E-06
0	4	1	6.46E-06
0	4	2	5.46E-06
0	4	3	4.32E-06
0	4	4	3.32E-06
0	4	5	2.53E-06
0	5	0	4.30E-06
0	5	1	4.15E-06
0	5	2	3.70E-06
0	5	3	3.11E-06
0	5	4	2.53E-06
0	5	5	2.04E-06
1	0	0	1.26E-02
1	0	1	6.35E-04
1	0	2	2.24E-05
1	0	3	1.11E-05
1	0	4	6.46E-06
1	0	5	4.15E-06
1	1	0	6.35E-04
1	1	1	6.93E-05
1	1	2	1.86E-05
1	1	3	1.01E-05
1	1	4	6.09E-06
1	1	5	3.99E-06
1	2	0	2.24E-05
1	2	1	1.86E-05
1	2	2	1.24E-05
1	2	3	7.90E-06
1	2	4	5.19E-06
1	2	5	3.56E-06
1	3	0	1.11E-05
1	3	1	1.01E-05
1	3	2	7.90E-06
1	3	3	5.77E-06
1	3	4	4.15E-06
1	3	5	3.01E-06
1	4	0	6.46E-06
1	4	1	6.09E-06
1	4	2	5.19E-06
1	4	3	4.15E-06
1	4	4	3.21E-06
1	4	5	2.47E-06
1	5	0	4.15E-06
1	5	1	3.99E-06
1	5	2	3.56E-06
1	5	3	3.01E-06
1	5	4	2.47E-06
1	5	5	1.98E-06
2	0	0	2.80E-05
2	0	1	2.24E-05
2	0	2	1.39E-05
2	0	3	8.52E-06
2	0	4	5.46E-06
2	0	5	3.70E-06
2	1	0	2.24E-05
2	1	1	1.86E-05
2	1	2	1.24E-05
2	1	3	7.90E-06
2	1	4	5.19E-06
2	1	5	3.56E-06
2	2	0	1.39E-05
2	2	1	1.24E-05
2	2	2	9.24E-06
2	2	3	6.48E-06
2	2	4	4.51E-06
2	2	5	3.21E-06
2	3	0	8.52E-06
2	3	1	7.90E-06
2	3	2	6.48E-06
2	3	3	4.95E-06
2	3	4	3.69E-06
2	3	5	2.75E-06
2	4	0	5.46E-06
2	4	1	5.19E-06
2	4	2	4.51E-06
2	4	3	3.69E-06
2	4	4	2.93E-06
2	4	5	2.28E-06
2	5	0	3.70E-06
2	5	1	3.56E-06
2	5	2	3.21E-06
2	5	3	2.75E-06
2	5	4	2.28E-06
2	5	5	1.86E-06
3	0	0	1.23E-05
3	0	1	1.11E-05
3	0	2	8.52E-06
3	0	3	6.10E-06
3	0	4	4.32E-06
3	0	5	3.11E-06
3	1	0	1.11E-05
3	1	1	1.01E-05
3	1	2	7.90E-06
3	1	3	5.77E-06
3	1	4	4.15E-06
3	1	5	3.01E-06
3	2	0	8.52E-06
3	2	1	7.90E-06
3	2	2	6.48E-06
3	2	3	4.95E-06
3	2	4	3.69E-06
3	2	5	2.75E-06
3	3	0	6.10E-06
3	3	1	5.77E-06
3	3	2	4.95E-06
3	3	3	3.98E-06
3	3	4	3.11E-06
3	3	5	2.40E-06
3	4	0	4.32E-06
3	4	1	4.15E-06
3	4	2	3.69E-06
3	4	3	3.11E-06
3	4	4	2.53E-06
3	4	5	2.03E-06
3	5	0	3.11E-06
3	5	1	3.01E-06
3	5	2	2.75E-06
3	5	3	2.40E-06
3	5	4	2.03E-06
3	5	5	1.69E-06
4	0	0	6.87E-06
4	0	1	6.46E-06
4	0	2	5.46E-06
4	0	3	4.32E-06
4	0	4	3.32E-06
4	0	5	2.53E-06
4	1	0	6.46E-06
4	1	1	6.09E-06
4	1	2	5.19E-06
4	1	3	4.15E-06
4	1	4	3.21E-06
4	1	5	2.47E-06
4	2	0	5.46E-06
4	2	1	5.19E-06
4	2	2	4.51E-06
4	2	3	3.69E-06
4	2	4	2.93E-06
4	2	5	2.28E-06
4	3	0	4.32E-06
4	3	1	4.15E-06
4	3	2	3.69E-06
4	3	3	3.11E-06
4	3	4	2.53E-06
4	3	5	2.03E-06
4	4	0	3.32E-06
4	4	1	3.21E-06
4	4	2	2.93E-06
4	4	3	2.53E-06
4	4	4	2.13E-06
4	4	5	1.75E-06
4	5	0	2.53E-06
4	5	1	2.47E-06
4	5	2	2.28E-06
4	5	3	2.03E-06
4	5	4	1.75E-06
4	5	5	1.47E-06
5	0	0	4.30E-06
5	0	1	4.15E-06
5	0	2	3.70E-06
5	0	3	3.11E-06
5	0	4	2.53E-06
5	0	5	2.04E-06
5	1	0	4.15E-06
5	1	1	3.99E-06
5	1	2	3.56E-06
5	1	3	3.01E-06
5	1	4	2.47E-06
5	1	5	1.98E-06
5	2	0	3.70E-06
5	2	1	3.56E-06
5	2	2	3.21E-06
5	2	3	2.75E-06
5	2	4	2.28E-06
5	2	5	1.86E-06
5	3	0	3.11E-06
5	3	1	3.01E-06
5	3	2	2.75E-06
5	3	3	2.40E-06
5	3	4	2.03E-06
5	3	5	1.69E-06
5	4	0	2.53E-06
5	4	1	2.47E-06
5	4	2	2.28E-06
5	4	3	2.03E-06
5	4	4	1.75E-06
5	4	5	1.47E-06
5	5	0	2.04E-06
5	5	1	1.98E-06
5	5	2	1.86E-06
5	5	3	1.69E-06
5	5	4	1.47E-06
5	5	5	1.27E-06
