Re186 - 3mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	8.22E-01
0	0	1	3.38E-02
0	0	2	4.66E-05
0	0	3	2.07E-05
0	0	4	1.16E-05
0	0	5	7.40E-06
0	1	0	3.38E-02
0	1	1	2.17E-03
0	1	2	3.74E-05
0	1	3	1.87E-05
0	1	4	1.10E-05
0	1	5	7.14E-06
0	2	0	4.66E-05
0	2	1	3.74E-05
0	2	2	2.34E-05
0	2	3	1.44E-05
0	2	4	9.30E-06
0	2	5	6.36E-06
0	3	0	2.07E-05
0	3	1	1.87E-05
0	3	2	1.44E-05
0	3	3	1.04E-05
0	3	4	7.44E-06
0	3	5	5.42E-06
0	4	0	1.16E-05
0	4	1	1.10E-05
0	4	2	9.30E-06
0	4	3	7.44E-06
0	4	4	5.74E-06
0	4	5	4.45E-06
0	5	0	7.40E-06
0	5	1	7.14E-06
0	5	2	6.36E-06
0	5	3	5.42E-06
0	5	4	4.45E-06
0	5	5	3.60E-06
1	0	0	3.38E-02
1	0	1	2.17E-03
1	0	2	3.74E-05
1	0	3	1.87E-05
1	0	4	1.10E-05
1	0	5	7.14E-06
1	1	0	2.17E-03
1	1	1	2.13E-04
1	1	2	3.12E-05
1	1	3	1.69E-05
1	1	4	1.04E-05
1	1	5	6.85E-06
1	2	0	3.74E-05
1	2	1	3.12E-05
1	2	2	2.08E-05
1	2	3	1.33E-05
1	2	4	8.86E-06
1	2	5	6.16E-06
1	3	0	1.87E-05
1	3	1	1.69E-05
1	3	2	1.33E-05
1	3	3	9.79E-06
1	3	4	7.13E-06
1	3	5	5.25E-06
1	4	0	1.10E-05
1	4	1	1.04E-05
1	4	2	8.86E-06
1	4	3	7.13E-06
1	4	4	5.58E-06
1	4	5	4.34E-06
1	5	0	7.14E-06
1	5	1	6.85E-06
1	5	2	6.16E-06
1	5	3	5.25E-06
1	5	4	4.34E-06
1	5	5	3.53E-06
2	0	0	4.66E-05
2	0	1	3.74E-05
2	0	2	2.34E-05
2	0	3	1.44E-05
2	0	4	9.30E-06
2	0	5	6.36E-06
2	1	0	3.74E-05
2	1	1	3.12E-05
2	1	2	2.08E-05
2	1	3	1.33E-05
2	1	4	8.86E-06
2	1	5	6.16E-06
2	2	0	2.34E-05
2	2	1	2.08E-05
2	2	2	1.55E-05
2	2	3	1.10E-05
2	2	4	7.75E-06
2	2	5	5.58E-06
2	3	0	1.44E-05
2	3	1	1.33E-05
2	3	2	1.10E-05
2	3	3	8.47E-06
2	3	4	6.37E-06
2	3	5	4.81E-06
2	4	0	9.30E-06
2	4	1	8.86E-06
2	4	2	7.75E-06
2	4	3	6.37E-06
2	4	4	5.09E-06
2	4	5	4.03E-06
2	5	0	6.36E-06
2	5	1	6.16E-06
2	5	2	5.58E-06
2	5	3	4.81E-06
2	5	4	4.03E-06
2	5	5	3.32E-06
3	0	0	2.07E-05
3	0	1	1.87E-05
3	0	2	1.44E-05
3	0	3	1.04E-05
3	0	4	7.44E-06
3	0	5	5.42E-06
3	1	0	1.87E-05
3	1	1	1.69E-05
3	1	2	1.33E-05
3	1	3	9.79E-06
3	1	4	7.13E-06
3	1	5	5.25E-06
3	2	0	1.44E-05
