Re186 - 4.8mm - Bone compact			
i	j	k	
0	0	0	2.20E-01
0	0	1	5.69E-03
0	0	2	1.86E-05
0	0	3	8.15E-06
0	0	4	4.49E-06
0	0	5	2.76E-06
0	1	0	5.69E-03
0	1	1	2.48E-04
0	1	2	1.49E-05
0	1	3	7.31E-06
0	1	4	4.20E-06
0	1	5	2.65E-06
0	2	0	1.86E-05
0	2	1	1.49E-05
0	2	2	9.22E-06
0	2	3	5.58E-06
0	2	4	3.53E-06
0	2	5	2.35E-06
0	3	0	8.15E-06
0	3	1	7.31E-06
0	3	2	5.58E-06
0	3	3	3.96E-06
0	3	4	2.77E-06
0	3	5	1.97E-06
0	4	0	4.49E-06
0	4	1	4.20E-06
0	4	2	3.53E-06
0	4	3	2.77E-06
0	4	4	2.11E-06
0	4	5	1.59E-06
0	5	0	2.76E-06
0	5	1	2.65E-06
0	5	2	2.35E-06
0	5	3	1.97E-06
0	5	4	1.59E-06
0	5	5	1.26E-06
1	0	0	5.69E-03
1	0	1	2.48E-04
1	0	2	1.49E-05
1	0	3	7.31E-06
1	0	4	4.20E-06
1	0	5	2.65E-06
1	1	0	2.48E-04
1	1	1	3.45E-05
1	1	2	1.24E-05
1	1	3	6.63E-06
1	1	4	3.96E-06
1	1	5	2.55E-06
1	2	0	1.49E-05
1	2	1	1.24E-05
1	2	2	8.16E-06
1	2	3	5.16E-06
1	2	4	3.35E-06
1	2	5	2.26E-06
1	3	0	7.31E-06
1	3	1	6.63E-06
1	3	2	5.16E-06
1	3	3	3.73E-06
1	3	4	2.66E-06
1	3	5	1.90E-06
1	4	0	4.20E-06
1	4	1	3.96E-06
1	4	2	3.35E-06
1	4	3	2.66E-06
1	4	4	2.03E-06
1	4	5	1.54E-06
1	5	0	2.65E-06
1	5	1	2.55E-06
1	5	2	2.26E-06
1	5	3	1.90E-06
1	5	4	1.54E-06
1	5	5	1.23E-06
2	0	0	1.86E-05
2	0	1	1.49E-05
2	0	2	9.22E-06
2	0	3	5.58E-06
2	0	4	3.53E-06
2	0	5	2.35E-06
2	1	0	1.49E-05
2	1	1	1.24E-05
2	1	2	8.16E-06
2	1	3	5.16E-06
2	1	4	3.35E-06
2	1	5	2.26E-06
2	2	0	9.22E-06
2	2	1	8.16E-06
2	2	2	6.06E-06
2	2	3	4.20E-06
2	2	4	2.90E-06
2	2	5	2.04E-06
2	3	0	5.58E-06
2	3	1	5.16E-06
2	3	2	4.20E-06
2	3	3	3.19E-06
2	3	4	2.35E-06
2	3	5	1.73E-06
2	4	0	3.53E-06
2	4	1	3.35E-06
2	4	2	2.90E-06
2	4	3	2.35E-06
2	4	4	1.85E-06
2	4	5	1.43E-06
2	5	0	2.35E-06
2	5	1	2.26E-06
2	5	2	2.04E-06
2	5	3	1.73E-06
2	5	4	1.43E-06
2	5	5	1.14E-06
3	0	0	8.15E-06
3	0	1	7.31E-06
3	0	2	5.58E-06
3	0	3	3.96E-06
3	0	4	2.77E-06
3	0	5	1.97E-06
3	1	0	7.31E-06
3	1	1	6.63E-06
3	1	2	5.16E-06
3	1	3	3.73E-06
3	1	4	2.66E-06
3	1	5	1.90E-06
3	2	0	5.58E-06
3	2	1	5.16E-06
3	2	2	4.20E-06
3	2	3	3.19E-06
3	2	4	2.35E-06
3	2	5	1.73E-06
3	3	0	3.96E-06
3	3	1	3.73E-06
3	3	2	3.19E-06
3	3	3	2.54E-06
3	3	4	1.97E-06
3	3	5	1.50E-06
3	4	0	2.77E-06
3	4	1	2.66E-06
3	4	2	2.35E-06
3	4	3	1.97E-06
3	4	4	1.59E-06
3	4	5	1.26E-06
3	5	0	1.97E-06
3	5	1	1.90E-06
3	5	2	1.73E-06
3	5	3	1.50E-06
3	5	4	1.26E-06
3	5	5	1.03E-06
4	0	0	4.49E-06
4	0	1	4.20E-06
4	0	2	3.53E-06
4	0	3	2.77E-06
4	0	4	2.11E-06
4	0	5	1.59E-06
4	1	0	4.20E-06
4	1	1	3.96E-06
4	1	2	3.35E-06
4	1	3	2.66E-06
4	1	4	2.03E-06
4	1	5	1.54E-06
4	2	0	3.53E-06
4	2	1	3.35E-06
4	2	2	2.90E-06
4	2	3	2.35E-06
4	2	4	1.85E-06
4	2	5	1.43E-06
4	3	0	2.77E-06
4	3	1	2.66E-06
4	3	2	2.35E-06
4	3	3	1.97E-06
4	3	4	1.59E-06
4	3	5	1.26E-06
4	4	0	2.11E-06
4	4	1	2.03E-06
4	4	2	1.85E-06
4	4	3	1.59E-06
4	4	4	1.32E-06
4	4	5	1.07E-06
4	5	0	1.59E-06
4	5	1	1.54E-06
4	5	2	1.43E-06
4	5	3	1.26E-06
4	5	4	1.07E-06
4	5	5	8.97E-07
5	0	0	2.76E-06
5	0	1	2.65E-06
5	0	2	2.35E-06
5	0	3	1.97E-06
5	0	4	1.59E-06
5	0	5	1.26E-06
5	1	0	2.65E-06
5	1	1	2.55E-06
5	1	2	2.26E-06
5	1	3	1.90E-06
5	1	4	1.54E-06
5	1	5	1.23E-06
5	2	0	2.35E-06
5	2	1	2.26E-06
5	2	2	2.04E-06
5	2	3	1.73E-06
5	2	4	1.43E-06
5	2	5	1.14E-06
5	3	0	1.97E-06
5	3	1	1.90E-06
5	3	2	1.73E-06
5	3	3	1.50E-06
5	3	4	1.26E-06
5	3	5	1.03E-06
5	4	0	1.59E-06
5	4	1	1.54E-06
5	4	2	1.43E-06
5	4	3	1.26E-06
5	4	4	1.07E-06
5	4	5	8.97E-07
5	5	0	1.26E-06
5	5	1	1.23E-06
5	5	2	1.14E-06
5	5	3	1.03E-06
5	5	4	8.97E-07
5	5	5	7.58E-07
