Re186 - 4mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	3.69E-01
0	0	1	1.14E-02
0	0	2	2.66E-05
0	0	3	1.17E-05
0	0	4	6.52E-06
0	0	5	4.08E-06
0	1	0	1.14E-02
0	1	1	5.65E-04
0	1	2	2.13E-05
0	1	3	1.06E-05
0	1	4	6.13E-06
0	1	5	3.93E-06
0	2	0	2.66E-05
0	2	1	2.13E-05
0	2	2	1.33E-05
0	2	3	8.08E-06
0	2	4	5.19E-06
0	2	5	3.49E-06
0	3	0	1.17E-05
0	3	1	1.06E-05
0	3	2	8.08E-06
0	3	3	5.78E-06
0	3	4	4.10E-06
0	3	5	2.94E-06
0	4	0	6.52E-06
0	4	1	6.13E-06
0	4	2	5.19E-06
0	4	3	4.10E-06
0	4	4	3.14E-06
0	4	5	2.40E-06
0	5	0	4.08E-06
0	5	1	3.93E-06
0	5	2	3.49E-06
0	5	3	2.94E-06
0	5	4	2.40E-06
0	5	5	1.92E-06
1	0	0	1.14E-02
1	0	1	5.65E-04
1	0	2	2.13E-05
1	0	3	1.06E-05
1	0	4	6.13E-06
1	0	5	3.93E-06
1	1	0	5.65E-04
1	1	1	6.31E-05
1	1	2	1.77E-05
1	1	3	9.58E-06
1	1	4	5.79E-06
1	1	5	3.78E-06
1	2	0	2.13E-05
1	2	1	1.77E-05
1	2	2	1.18E-05
1	2	3	7.50E-06
1	2	4	4.93E-06
1	2	5	3.38E-06
1	3	0	1.06E-05
1	3	1	9.58E-06
1	3	2	7.50E-06
1	3	3	5.48E-06
1	3	4	3.93E-06
1	3	5	2.85E-06
1	4	0	6.13E-06
1	4	1	5.79E-06
1	4	2	4.93E-06
1	4	3	3.93E-06
1	4	4	3.04E-06
1	4	5	2.33E-06
1	5	0	3.93E-06
1	5	1	3.78E-06
1	5	2	3.38E-06
1	5	3	2.85E-06
1	5	4	2.33E-06
1	5	5	1.88E-06
2	0	0	2.66E-05
2	0	1	2.13E-05
2	0	2	1.33E-05
2	0	3	8.08E-06
2	0	4	5.19E-06
2	0	5	3.49E-06
2	1	0	2.13E-05
2	1	1	1.77E-05
2	1	2	1.18E-05
2	1	3	7.50E-06
2	1	4	4.93E-06
2	1	5	3.38E-06
2	2	0	1.33E-05
2	2	1	1.18E-05
2	2	2	8.78E-06
2	2	3	6.14E-06
2	2	4	4.28E-06
2	2	5	3.04E-06
2	3	0	8.08E-06
2	3	1	7.50E-06
2	3	2	6.14E-06
2	3	3	4.70E-06
2	3	4	3.50E-06
2	3	5	2.61E-06
2	4	0	5.19E-06
2	4	1	4.93E-06
2	4	2	4.28E-06
2	4	3	3.50E-06
2	4	4	2.76E-06
2	4	5	2.16E-06
2	5	0	3.49E-06
2	5	1	3.38E-06
2	5	2	3.04E-06
2	5	3	2.61E-06
2	5	4	2.16E-06
2	5	5	1.75E-06
3	0	0	1.17E-05
3	0	1	1.06E-05
3	0	2	8.08E-06
3	0	3	5.78E-06
3	0	4	4.10E-06
3	0	5	2.94E-06
3	1	0	1.06E-05
3	1	1	9.58E-06
3	1	2	7.50E-06
3	1	3	5.48E-06
3	1	4	3.93E-06
3	1	5	2.85E-06
3	2	0	8.08E-06
3	2	1	7.50E-06
3	2	2	6.14E-06
3	2	3	4.70E-06
3	2	4	3.50E-06
3	2	5	2.61E-06
3	3	0	5.78E-06
3	3	1	5.48E-06
3	3	2	4.70E-06
3	3	3	3.78E-06
3	3	4	2.95E-06
3	3	5	2.27E-06
3	4	0	4.10E-06
3	4	1	3.93E-06
3	4	2	3.50E-06
3	4	3	2.95E-06
3	4	4	2.40E-06
3	4	5	1.92E-06
3	5	0	2.94E-06
3	5	1	2.85E-06
3	5	2	2.61E-06
3	5	3	2.27E-06
3	5	4	1.92E-06
3	5	5	1.59E-06
4	0	0	6.52E-06
4	0	1	6.13E-06
4	0	2	5.19E-06
4	0	3	4.10E-06
4	0	4	3.14E-06
4	0	5	2.40E-06
4	1	0	6.13E-06
4	1	1	5.79E-06
4	1	2	4.93E-06
4	1	3	3.93E-06
4	1	4	3.04E-06
4	1	5	2.33E-06
4	2	0	5.19E-06
4	2	1	4.93E-06
4	2	2	4.28E-06
4	2	3	3.50E-06
4	2	4	2.76E-06
4	2	5	2.16E-06
4	3	0	4.10E-06
4	3	1	3.93E-06
4	3	2	3.50E-06
4	3	3	2.95E-06
4	3	4	2.40E-06
4	3	5	1.92E-06
4	4	0	3.14E-06
4	4	1	3.04E-06
4	4	2	2.76E-06
4	4	3	2.40E-06
4	4	4	2.00E-06
4	4	5	1.65E-06
4	5	0	2.40E-06
4	5	1	2.33E-06
4	5	2	2.16E-06
4	5	3	1.92E-06
4	5	4	1.65E-06
4	5	5	1.39E-06
5	0	0	4.08E-06
5	0	1	3.93E-06
5	0	2	3.49E-06
5	0	3	2.94E-06
5	0	4	2.40E-06
5	0	5	1.92E-06
5	1	0	3.93E-06
5	1	1	3.78E-06
5	1	2	3.38E-06
5	1	3	2.85E-06
5	1	4	2.33E-06
5	1	5	1.88E-06
5	2	0	3.49E-06
5	2	1	3.38E-06
5	2	2	3.04E-06
5	2	3	2.61E-06
5	2	4	2.16E-06
5	2	5	1.75E-06
5	3	0	2.94E-06
5	3	1	2.85E-06
5	3	2	2.61E-06
5	3	3	2.27E-06
5	3	4	1.92E-06
5	3	5	1.59E-06
5	4	0	2.40E-06
5	4	1	2.33E-06
5	4	2	2.16E-06
5	4	3	1.92E-06
5	4	4	1.65E-06
5	4	5	1.39E-06
5	5	0	1.92E-06
5	5	1	1.88E-06
5	5	2	1.75E-06
5	5	3	1.59E-06
5	5	4	1.39E-06
5	5	5	1.19E-06
