Re186 - 6mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.88E-01
0	0	1	6.80E-03
0	0	2	6.53E-06
0	0	3	2.98E-06
0	0	4	1.74E-06
0	0	5	1.16E-06
0	1	0	6.80E-03
0	1	1	3.78E-04
0	1	2	5.26E-06
0	1	3	2.70E-06
0	1	4	1.64E-06
0	1	5	1.12E-06
0	2	0	6.53E-06
0	2	1	5.26E-06
0	2	2	3.34E-06
0	2	3	2.12E-06
0	2	4	1.42E-06
0	2	5	1.00E-06
0	3	0	2.98E-06
0	3	1	2.70E-06
0	3	2	2.12E-06
0	3	3	1.56E-06
0	3	4	1.16E-06
0	3	5	8.67E-07
0	4	0	1.74E-06
0	4	1	1.64E-06
0	4	2	1.42E-06
0	4	3	1.16E-06
0	4	4	9.18E-07
0	4	5	7.29E-07
0	5	0	1.16E-06
0	5	1	1.12E-06
0	5	2	1.00E-06
0	5	3	8.67E-07
0	5	4	7.29E-07
0	5	5	6.05E-07
1	0	0	6.80E-03
1	0	1	3.78E-04
1	0	2	5.26E-06
1	0	3	2.70E-06
1	0	4	1.64E-06
1	0	5	1.12E-06
1	1	0	3.78E-04
1	1	1	3.17E-05
1	1	2	4.41E-06
1	1	3	2.47E-06
1	1	4	1.56E-06
1	1	5	1.07E-06
1	2	0	5.26E-06
1	2	1	4.41E-06
1	2	2	2.99E-06
1	2	3	1.97E-06
1	2	4	1.36E-06
1	2	5	9.76E-07
1	3	0	2.70E-06
1	3	1	2.47E-06
1	3	2	1.97E-06
1	3	3	1.49E-06
1	3	4	1.11E-06
1	3	5	8.46E-07
1	4	0	1.64E-06
1	4	1	1.56E-06
1	4	2	1.36E-06
1	4	3	1.11E-06
1	4	4	8.95E-07
1	4	5	7.16E-07
1	5	0	1.12E-06
1	5	1	1.07E-06
1	5	2	9.76E-07
1	5	3	8.46E-07
1	5	4	7.16E-07
1	5	5	5.95E-07
2	0	0	6.53E-06
2	0	1	5.26E-06
2	0	2	3.34E-06
2	0	3	2.12E-06
2	0	4	1.42E-06
2	0	5	1.00E-06
2	1	0	5.26E-06
2	1	1	4.41E-06
2	1	2	2.99E-06
2	1	3	1.97E-06
2	1	4	1.36E-06
2	1	5	9.76E-07
2	2	0	3.34E-06
2	2	1	2.99E-06
2	2	2	2.28E-06
2	2	3	1.65E-06
2	2	4	1.20E-06
2	2	5	8.95E-07
2	3	0	2.12E-06
2	3	1	1.97E-06
2	3	2	1.65E-06
2	3	3	1.30E-06
2	3	4	1.01E-06
2	3	5	7.86E-07
2	4	0	1.42E-06
2	4	1	1.36E-06
2	4	2	1.20E-06
2	4	3	1.01E-06
2	4	4	8.23E-07
2	4	5	6.71E-07
2	5	0	1.00E-06
2	5	1	9.76E-07
2	5	2	8.95E-07
2	5	3	7.86E-07
2	5	4	6.71E-07
2	5	5	5.64E-07
3	0	0	2.98E-06
3	0	1	2.70E-06
3	0	2	2.12E-06
3	0	3	1.56E-06
3	0	4	1.16E-06
3	0	5	8.67E-07
3	1	0	2.70E-06
3	1	1	2.47E-06
3	1	2	1.97E-06
3	1	3	1.49E-06
3	1	4	1.11E-06
3	1	5	8.46E-07
3	2	0	2.12E-06
3	2	1	1.97E-06
3	2	2	1.65E-06
3	2	3	1.30E-06
3	2	4	1.01E-06
3	2	5	7.86E-07
3	3	0	1.56E-06
3	3	1	1.49E-06
3	3	2	1.30E-06
3	3	3	1.07E-06
3	3	4	8.70E-07
3	3	5	6.99E-07
3	4	0	1.16E-06
3	4	1	1.11E-06
3	4	2	1.01E-06
3	4	3	8.70E-07
3	4	4	7.32E-07
3	4	5	6.07E-07
3	5	0	8.67E-07
3	5	1	8.46E-07
3	5	2	7.86E-07
3	5	3	6.99E-07
3	5	4	6.07E-07
3	5	5	5.20E-07
4	0	0	1.74E-06
4	0	1	1.64E-06
4	0	2	1.42E-06
4	0	3	1.16E-06
4	0	4	9.18E-07
4	0	5	7.29E-07
4	1	0	1.64E-06
4	1	1	1.56E-06
4	1	2	1.36E-06
4	1	3	1.11E-06
4	1	4	8.95E-07
4	1	5	7.16E-07
4	2	0	1.42E-06
4	2	1	1.36E-06
4	2	2	1.20E-06
4	2	3	1.01E-06
4	2	4	8.23E-07
4	2	5	6.71E-07
4	3	0	1.16E-06
4	3	1	1.11E-06
4	3	2	1.01E-06
4	3	3	8.70E-07
4	3	4	7.32E-07
4	3	5	6.07E-07
4	4	0	9.18E-07
4	4	1	8.95E-07
4	4	2	8.23E-07
4	4	3	7.32E-07
4	4	4	6.32E-07
4	4	5	5.36E-07
4	5	0	7.29E-07
4	5	1	7.16E-07
4	5	2	6.71E-07
4	5	3	6.07E-07
4	5	4	5.36E-07
4	5	5	4.69E-07
5	0	0	1.16E-06
5	0	1	1.12E-06
5	0	2	1.00E-06
5	0	3	8.67E-07
5	0	4	7.29E-07
5	0	5	6.05E-07
5	1	0	1.12E-06
5	1	1	1.07E-06
5	1	2	9.76E-07
5	1	3	8.46E-07
