Re188 - 6.8mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	1.61E-01
0	0	1	7.42E-03
0	0	2	1.66E-05
0	0	3	7.27E-06
0	0	4	4.02E-06
0	0	5	2.51E-06
0	1	0	7.42E-03
0	1	1	5.09E-04
0	1	2	1.33E-05
0	1	3	6.52E-06
0	1	4	3.77E-06
0	1	5	2.41E-06
0	2	0	1.66E-05
0	2	1	1.33E-05
0	2	2	8.19E-06
0	2	3	4.99E-06
0	2	4	3.19E-06
0	2	5	2.14E-06
0	3	0	7.27E-06
0	3	1	6.52E-06
0	3	2	4.99E-06
0	3	3	3.56E-06
0	3	4	2.52E-06
0	3	5	1.80E-06
0	4	0	4.02E-06
0	4	1	3.77E-06
0	4	2	3.19E-06
0	4	3	2.52E-06
0	4	4	1.92E-06
0	4	5	1.46E-06
0	5	0	2.51E-06
0	5	1	2.41E-06
0	5	2	2.14E-06
0	5	3	1.80E-06
0	5	4	1.46E-06
0	5	5	1.17E-06
1	0	0	7.42E-03
1	0	1	5.09E-04
1	0	2	1.33E-05
1	0	3	6.52E-06
1	0	4	3.77E-06
1	0	5	2.41E-06
1	1	0	5.09E-04
1	1	1	5.76E-05
1	1	2	1.10E-05
1	1	3	5.92E-06
1	1	4	3.56E-06
1	1	5	2.31E-06
1	2	0	1.33E-05
1	2	1	1.10E-05
1	2	2	7.27E-06
1	2	3	4.62E-06
1	2	4	3.02E-06
1	2	5	2.07E-06
1	3	0	6.52E-06
1	3	1	5.92E-06
1	3	2	4.62E-06
1	3	3	3.36E-06
1	3	4	2.41E-06
1	3	5	1.75E-06
1	4	0	3.77E-06
1	4	1	3.56E-06
1	4	2	3.02E-06
1	4	3	2.41E-06
1	4	4	1.86E-06
1	4	5	1.43E-06
1	5	0	2.41E-06
1	5	1	2.31E-06
1	5	2	2.07E-06
1	5	3	1.75E-06
1	5	4	1.43E-06
1	5	5	1.15E-06
2	0	0	1.66E-05
2	0	1	1.33E-05
2	0	2	8.19E-06
2	0	3	4.99E-06
2	0	4	3.19E-06
2	0	5	2.14E-06
2	1	0	1.33E-05
2	1	1	1.10E-05
2	1	2	7.27E-06
2	1	3	4.62E-06
2	1	4	3.02E-06
2	1	5	2.07E-06
2	2	0	8.19E-06
2	2	1	7.27E-06
2	2	2	5.41E-06
2	2	3	3.77E-06
2	2	4	2.63E-06
2	2	5	1.86E-06
2	3	0	4.99E-06
2	3	1	4.62E-06
2	3	2	3.77E-06
2	3	3	2.89E-06
2	3	4	2.14E-06
2	3	5	1.60E-06
2	4	0	3.19E-06
2	4	1	3.02E-06
2	4	2	2.63E-06
2	4	3	2.14E-06
2	4	4	1.69E-06
2	4	5	1.32E-06
2	5	0	2.14E-06
2	5	1	2.07E-06
2	5	2	1.86E-06
2	5	3	1.60E-06
2	5	4	1.32E-06
2	5	5	1.07E-06
3	0	0	7.27E-06
3	0	1	6.52E-06
3	0	2	4.99E-06
3	0	3	3.56E-06
3	0	4	2.52E-06
3	0	5	1.80E-06
3	1	0	6.52E-06
3	1	1	5.92E-06
3	1	2	4.62E-06
3	1	3	3.36E-06
3	1	4	2.41E-06
3	1	5	1.75E-06
3	2	0	4.99E-06
3	2	1	4.62E-06
3	2	2	3.77E-06
3	2	3	2.89E-06
3	2	4	2.14E-06
3	2	5	1.60E-06
3	3	0	3.56E-06
3	3	1	3.36E-06
3	3	2	2.89E-06
3	3	3	2.31E-06
3	3	4	1.80E-06
3	3	5	1.39E-06
3	4	0	2.52E-06
3	4	1	2.41E-06
3	4	2	2.14E-06
3	4	3	1.80E-06
3	4	4	1.47E-06
3	4	5	1.17E-06
3	5	0	1.80E-06
3	5	1	1.75E-06
3	5	2	1.60E-06
3	5	3	1.39E-06
3	5	4	1.17E-06
3	5	5	9.66E-07
4	0	0	4.02E-06
4	0	1	3.77E-06
4	0	2	3.19E-06
4	0	3	2.52E-06
4	0	4	1.92E-06
4	0	5	1.46E-06
4	1	0	3.77E-06
4	1	1	3.56E-06
4	1	2	3.02E-06
4	1	3	2.41E-06
4	1	4	1.86E-06
4	1	5	1.43E-06
4	2	0	3.19E-06
4	2	1	3.02E-06
4	2	2	2.63E-06
4	2	3	2.14E-06
4	2	4	1.69E-06
4	2	5	1.32E-06
4	3	0	2.52E-06
4	3	1	2.41E-06
4	3	2	2.14E-06
4	3	3	1.80E-06
4	3	4	1.47E-06
4	3	5	1.17E-06
4	4	0	1.92E-06
4	4	1	1.86E-06
4	4	2	1.69E-06
4	4	3	1.47E-06
4	4	4	1.23E-06
4	4	5	1.01E-06
4	5	0	1.46E-06
4	5	1	1.43E-06
4	5	2	1.32E-06
4	5	3	1.17E-06
4	5	4	1.01E-06
4	5	5	8.48E-07
5	0	0	2.51E-06
5	0	1	2.41E-06
5	0	2	2.14E-06
5	0	3	1.80E-06
5	0	4	1.46E-06
5	0	5	1.17E-06
5	1	0	2.41E-06
5	1	1	2.31E-06
5	1	2	2.07E-06
5	1	3	1.75E-06
5	1	4	1.43E-06
5	1	5	1.15E-06
5	2	0	2.14E-06
5	2	1	2.07E-06
5	2	2	1.86E-06
5	2	3	1.60E-06
5	2	4	1.32E-06
5	2	5	1.07E-06
5	3	0	1.80E-06
5	3	1	1.75E-06
5	3	2	1.60E-06
5	3	3	1.39E-06
5	3	4	1.17E-06
5	3	5	9.66E-07
5	4	0	1.46E-06
5	4	1	1.43E-06
5	4	2	1.32E-06
5	4	3	1.17E-06
5	4	4	1.01E-06
5	4	5	8.48E-07
5	5	0	1.17E-06
5	5	1	1.15E-06
5	5	2	1.07E-06
5	5	3	9.66E-07
5	5	4	8.48E-07
5	5	5	7.24E-07
