Sr89 - 2.4mm - Soft tissue		
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.55E+00
0	0	1	3.67E-01
0	0	2	1.17E-02
0	0	3	5.70E-05
0	0	4	1.55E-06
0	0	5	8.71E-07
0	1	0	3.67E-01
0	1	1	1.01E-01
0	1	2	4.74E-03
0	1	3	2.08E-05
0	1	4	1.43E-06
0	1	5	8.36E-07
0	2	0	1.17E-02
0	2	1	4.74E-03
0	2	2	2.53E-04
0	2	3	2.39E-06
0	2	4	1.16E-06
0	2	5	7.28E-07
0	3	0	5.70E-05
0	3	1	2.08E-05
0	3	2	2.39E-06
0	3	3	1.32E-06
0	3	4	8.81E-07
0	3	5	6.02E-07
0	4	0	1.55E-06
0	4	1	1.43E-06
0	4	2	1.16E-06
0	4	3	8.81E-07
0	4	4	6.45E-07
0	4	5	4.82E-07
0	5	0	8.71E-07
0	5	1	8.36E-07
0	5	2	7.28E-07
0	5	3	6.02E-07
0	5	4	4.82E-07
0	5	5	3.79E-07
1	0	0	3.67E-01
1	0	1	1.01E-01
1	0	2	4.74E-03
1	0	3	2.08E-05
1	0	4	1.43E-06
1	0	5	8.36E-07
1	1	0	1.01E-01
1	1	1	3.54E-02
1	1	2	1.90E-03
1	1	3	8.29E-06
1	1	4	1.32E-06
1	1	5	7.99E-07
1	2	0	4.74E-03
1	2	1	1.90E-03
1	2	2	9.52E-05
1	2	3	1.94E-06
1	2	4	1.09E-06
1	2	5	7.05E-07
1	3	0	2.08E-05
1	3	1	8.29E-06
1	3	2	1.94E-06
1	3	3	1.24E-06
1	3	4	8.38E-07
1	3	5	5.81E-07
1	4	0	1.43E-06
1	4	1	1.32E-06
1	4	2	1.09E-06
1	4	3	8.38E-07
1	4	4	6.23E-07
1	4	5	4.65E-07
1	5	0	8.36E-07
1	5	1	7.99E-07
1	5	2	7.05E-07
1	5	3	5.81E-07
1	5	4	4.65E-07
1	5	5	3.69E-07
2	0	0	1.17E-02
2	0	1	4.74E-03
2	0	2	2.53E-04
2	0	3	2.39E-06
2	0	4	1.16E-06
2	0	5	7.28E-07
2	1	0	4.74E-03
2	1	1	1.90E-03
2	1	2	9.52E-05
2	1	3	1.94E-06
2	1	4	1.09E-06
2	1	5	7.05E-07
2	2	0	2.53E-04
2	2	1	9.52E-05
2	2	2	5.33E-06
2	2	3	1.43E-06
2	2	4	9.25E-07
2	2	5	6.21E-07
2	3	0	2.39E-06
2	3	1	1.94E-06
2	3	2	1.43E-06
2	3	3	1.03E-06
2	3	4	7.32E-07
2	3	5	5.27E-07
2	4	0	1.16E-06
2	4	1	1.09E-06
2	4	2	9.25E-07
2	4	3	7.32E-07
2	4	4	5.64E-07
2	4	5	4.30E-07
2	5	0	7.28E-07
2	5	1	7.05E-07
2	5	2	6.21E-07
2	5	3	5.27E-07
2	5	4	4.30E-07
2	5	5	3.46E-07
3	0	0	5.70E-05
3	0	1	2.08E-05
3	0	2	2.39E-06
3	0	3	1.32E-06
3	0	4	8.81E-07
3	0	5	6.02E-07
3	1	0	2.08E-05
3	1	1	8.29E-06
3	1	2	1.94E-06
3	1	3	1.24E-06
3	1	4	8.38E-07
3	1	5	5.81E-07
3	2	0	2.39E-06
3	2	1	1.94E-06
3	2	2	1.43E-06
3	2	3	1.03E-06
3	2	4	7.32E-07
3	2	5	5.27E-07
3	3	0	1.32E-06
3	3	1	1.24E-06
3	3	2	1.03E-06
3	3	3	7.98E-07
3	3	4	5.99E-07
3	3	5	4.52E-07
3	4	0	8.81E-07
3	4	1	8.38E-07
3	4	2	7.32E-07
3	4	3	5.99E-07
3	4	4	4.80E-07
3	4	5	3.80E-07
3	5	0	6.02E-07
3	5	1	5.81E-07
3	5	2	5.27E-07
3	5	3	4.52E-07
3	5	4	3.80E-07
3	5	5	3.09E-07
4	0	0	1.55E-06
4	0	1	1.43E-06
4	0	2	1.16E-06
4	0	3	8.81E-07
4	0	4	6.45E-07
4	0	5	4.82E-07
4	1	0	1.43E-06
4	1	1	1.32E-06
4	1	2	1.09E-06
4	1	3	8.38E-07
4	1	4	6.23E-07
4	1	5	4.65E-07
4	2	0	1.16E-06
4	2	1	1.09E-06
4	2	2	9.25E-07
