Sr89 - 3.59mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	7.53E-01
0	0	1	4.69E-02
0	0	2	4.53E-06
0	0	3	1.56E-06
0	0	4	7.60E-07
0	0	5	4.43E-07
0	1	0	4.69E-02
0	1	1	4.28E-03
0	1	2	3.36E-06
0	1	3	1.37E-06
0	1	4	7.07E-07
0	1	5	4.21E-07
0	2	0	4.53E-06
0	2	1	3.36E-06
0	2	2	1.82E-06
0	2	3	9.84E-07
0	2	4	5.82E-07
0	2	5	3.70E-07
0	3	0	1.56E-06
0	3	1	1.37E-06
0	3	2	9.84E-07
0	3	3	6.61E-07
0	3	4	4.42E-07
0	3	5	3.05E-07
0	4	0	7.60E-07
0	4	1	7.07E-07
0	4	2	5.82E-07
0	4	3	4.42E-07
0	4	4	3.28E-07
0	4	5	2.43E-07
0	5	0	4.43E-07
0	5	1	4.21E-07
0	5	2	3.70E-07
0	5	3	3.05E-07
0	5	4	2.43E-07
0	5	5	1.92E-07
1	0	0	4.69E-02
1	0	1	4.28E-03
1	0	2	3.36E-06
1	0	3	1.37E-06
1	0	4	7.07E-07
1	0	5	4.21E-07
1	1	0	4.28E-03
1	1	1	4.49E-04
1	1	2	2.64E-06
1	1	3	1.21E-06
1	1	4	6.60E-07
1	1	5	4.03E-07
1	2	0	3.36E-06
1	2	1	2.64E-06
1	2	2	1.56E-06
1	2	3	9.00E-07
1	2	4	5.48E-07
1	2	5	3.56E-07
1	3	0	1.37E-06
1	3	1	1.21E-06
1	3	2	9.00E-07
1	3	3	6.17E-07
1	3	4	4.23E-07
1	3	5	2.96E-07
1	4	0	7.07E-07
1	4	1	6.60E-07
1	4	2	5.48E-07
1	4	3	4.23E-07
1	4	4	3.16E-07
1	4	5	2.37E-07
1	5	0	4.21E-07
1	5	1	4.03E-07
1	5	2	3.56E-07
1	5	3	2.96E-07
1	5	4	2.37E-07
1	5	5	1.87E-07
2	0	0	4.53E-06
2	0	1	3.36E-06
2	0	2	1.82E-06
2	0	3	9.84E-07
2	0	4	5.82E-07
2	0	5	3.70E-07
2	1	0	3.36E-06
2	1	1	2.64E-06
2	1	2	1.56E-06
2	1	3	9.00E-07
2	1	4	5.48E-07
2	1	5	3.56E-07
2	2	0	1.82E-06
2	2	1	1.56E-06
2	2	2	1.09E-06
2	2	3	7.08E-07
2	2	4	4.66E-07
2	2	5	3.17E-07
2	3	0	9.84E-07
2	3	1	9.00E-07
2	3	2	7.08E-07
2	3	3	5.16E-07
2	3	4	3.70E-07
2	3	5	2.67E-07
2	4	0	5.82E-07
2	4	1	5.48E-07
2	4	2	4.66E-07
2	4	3	3.70E-07
2	4	4	2.85E-07
2	4	5	2.19E-07
2	5	0	3.70E-07
2	5	1	3.56E-07
2	5	2	3.17E-07
2	5	3	2.67E-07
2	5	4	2.19E-07
2	5	5	1.74E-07
3	0	0	1.56E-06
3	0	1	1.37E-06
3	0	2	9.84E-07
3	0	3	6.61E-07
3	0	4	4.42E-07
3	0	5	3.05E-07
3	1	0	1.37E-06
3	1	1	1.21E-06
3	1	2	9.00E-07
3	1	3	6.17E-07
3	1	4	4.23E-07
3	1	5	2.96E-07
3	2	0	9.84E-07
3	2	1	9.00E-07
3	2	2	7.08E-07
3	2	3	5.16E-07
3	2	4	3.70E-07
3	2	5	2.67E-07
3	3	0	6.61E-07
3	3	1	6.17E-07
3	3	2	5.16E-07
3	3	3	4.03E-07
3	3	4	3.07E-07
3	3	5	2.30E-07
3	4	0	4.42E-07
3	4	1	4.23E-07
3	4	2	3.70E-07
3	4	3	3.07E-07
3	4	4	2.44E-07
3	4	5	1.91E-07
3	5	0	3.05E-07
3	5	1	2.96E-07
3	5	2	2.67E-07
3	5	3	2.30E-07
3	5	4	1.91E-07
3	5	5	1.58E-07
