Sr89 - 3mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.20E+00
0	0	1	8.94E-02
0	0	2	1.03E-05
0	0	3	2.43E-06
0	0	4	1.17E-06
0	0	5	6.80E-07
0	1	0	8.94E-02
0	1	1	1.01E-02
0	1	2	5.67E-06
0	1	3	2.13E-06
0	1	4	1.09E-06
0	1	5	6.50E-07
0	2	0	1.03E-05
0	2	1	5.67E-06
0	2	2	2.84E-06
0	2	3	1.53E-06
0	2	4	8.96E-07
0	2	5	5.70E-07
0	3	0	2.43E-06
0	3	1	2.13E-06
0	3	2	1.53E-06
0	3	3	1.02E-06
0	3	4	6.81E-07
0	3	5	4.66E-07
0	4	0	1.17E-06
0	4	1	1.09E-06
0	4	2	8.96E-07
0	4	3	6.81E-07
0	4	4	5.05E-07
0	4	5	3.72E-07
0	5	0	6.80E-07
0	5	1	6.50E-07
0	5	2	5.70E-07
0	5	3	4.66E-07
0	5	4	3.72E-07
0	5	5	2.94E-07
1	0	0	8.94E-02
1	0	1	1.01E-02
1	0	2	5.67E-06
1	0	3	2.13E-06
1	0	4	1.09E-06
1	0	5	6.50E-07
1	1	0	1.01E-02
1	1	1	1.31E-03
1	1	2	4.21E-06
1	1	3	1.89E-06
1	1	4	1.02E-06
1	1	5	6.20E-07
1	2	0	5.67E-06
1	2	1	4.21E-06
1	2	2	2.44E-06
1	2	3	1.39E-06
1	2	4	8.44E-07
1	2	5	5.46E-07
1	3	0	2.13E-06
1	3	1	1.89E-06
1	3	2	1.39E-06
1	3	3	9.52E-07
1	3	4	6.50E-07
1	3	5	4.55E-07
1	4	0	1.09E-06
1	4	1	1.02E-06
1	4	2	8.44E-07
1	4	3	6.50E-07
1	4	4	4.86E-07
1	4	5	3.64E-07
1	5	0	6.50E-07
1	5	1	6.20E-07
1	5	2	5.46E-07
1	5	3	4.55E-07
1	5	4	3.64E-07
1	5	5	2.88E-07
2	0	0	1.03E-05
2	0	1	5.67E-06
2	0	2	2.84E-06
2	0	3	1.53E-06
2	0	4	8.96E-07
2	0	5	5.70E-07
2	1	0	5.67E-06
2	1	1	4.21E-06
2	1	2	2.44E-06
2	1	3	1.39E-06
2	1	4	8.44E-07
2	1	5	5.46E-07
2	2	0	2.84E-06
2	2	1	2.44E-06
2	2	2	1.69E-06
2	2	3	1.09E-06
2	2	4	7.16E-07
2	2	5	4.85E-07
2	3	0	1.53E-06
2	3	1	1.39E-06
2	3	2	1.09E-06
2	3	3	7.98E-07
2	3	4	5.70E-07
2	3	5	4.12E-07
2	4	0	8.96E-07
2	4	1	8.44E-07
2	4	2	7.16E-07
2	4	3	5.70E-07
2	4	4	4.36E-07
2	4	5	3.35E-07
2	5	0	5.70E-07
2	5	1	5.46E-07
2	5	2	4.85E-07
2	5	3	4.12E-07
2	5	4	3.35E-07
2	5	5	2.70E-07
3	0	0	2.43E-06
3	0	1	2.13E-06
3	0	2	1.53E-06
3	0	3	1.02E-06
3	0	4	6.81E-07
3	0	5	4.66E-07
3	1	0	2.13E-06
3	1	1	1.89E-06
3	1	2	1.39E-06
3	1	3	9.52E-07
3	1	4	6.50E-07
3	1	5	4.55E-07
3	2	0	1.53E-06
3	2	1	1.39E-06
3	2	2	1.09E-06
3	2	3	7.98E-07
3	2	4	5.70E-07
3	2	5	4.12E-07
3	3	0	1.02E-06
3	3	1	9.52E-07
3	3	2	7.98E-07
3	3	3	6.21E-07
3	3	4	4.69E-07
3	3	5	3.52E-07
3	4	0	6.81E-07
3	4	1	6.50E-07
3	4	2	5.70E-07
3	4	3	4.69E-07
3	4	4	3.72E-07
3	4	5	2.96E-07
3	5	0	4.66E-07
3	5	1	4.55E-07
3	5	2	4.12E-07
3	5	3	3.52E-07
3	5	4	2.96E-07
3	5	5	2.41E-07
4	0	0	1.17E-06
4	0	1	1.09E-06
4	0	2	8.96E-07
4	0	3	6.81E-07
4	0	4	5.05E-07
4	0	5	3.72E-07
4	1	0	1.09E-06
4	1	1	1.02E-06
4	1	2	8.44E-07
4	1	3	6.50E-07
4	1	4	4.86E-07
4	1	5	3.64E-07
4	2	0	8.96E-07
4	2	1	8.44E-07
4	2	2	7.16E-07
4	2	3	5.70E-07
4	2	4	4.36E-07
4	2	5	3.35E-07
4	3	0	6.81E-07
4	3	1	6.50E-07
4	3	2	5.70E-07
4	3	3	4.69E-07
4	3	4	3.72E-07
4	3	5	2.96E-07
4	4	0	5.05E-07
4	4	1	4.86E-07
4	4	2	4.36E-07
4	4	3	3.72E-07
4	4	4	3.07E-07
4	4	5	2.53E-07
4	5	0	3.72E-07
4	5	1	3.64E-07
4	5	2	3.35E-07
4	5	3	2.96E-07
4	5	4	2.53E-07
4	5	5	2.11E-07
5	0	0	6.80E-07
5	0	1	6.50E-07
5	0	2	5.70E-07
5	0	3	4.66E-07
5	0	4	3.72E-07
5	0	5	2.94E-07
5	1	0	6.50E-07
5	1	1	6.20E-07
5	1	2	5.46E-07
5	1	3	4.55E-07
5	1	4	3.64E-07
5	1	5	2.88E-07
5	2	0	5.70E-07
5	2	1	5.46E-07
5	2	2	4.85E-07
5	2	3	4.12E-07
5	2	4	3.35E-07
5	2	5	2.70E-07
5	3	0	4.66E-07
5	3	1	4.55E-07
5	3	2	4.12E-07
5	3	3	3.52E-07
5	3	4	2.96E-07
5	3	5	2.41E-07
5	4	0	3.72E-07
5	4	1	3.64E-07
5	4	2	3.35E-07
5	4	3	2.96E-07
5	4	4	2.53E-07
