Sr89 - 4.42mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	4.33E-01
0	0	1	2.18E-02
0	0	2	2.66E-06
0	0	3	9.35E-07
0	0	4	4.61E-07
0	0	5	2.70E-07
0	1	0	2.18E-02
0	1	1	1.57E-03
0	1	2	2.00E-06
0	1	3	8.22E-07
0	1	4	4.30E-07
0	1	5	2.57E-07
0	2	0	2.66E-06
0	2	1	2.00E-06
0	2	2	1.09E-06
0	2	3	5.96E-07
0	2	4	3.52E-07
0	2	5	2.25E-07
0	3	0	9.35E-07
0	3	1	8.22E-07
0	3	2	5.96E-07
0	3	3	4.01E-07
0	3	4	2.69E-07
0	3	5	1.86E-07
0	4	0	4.61E-07
0	4	1	4.30E-07
0	4	2	3.52E-07
0	4	3	2.69E-07
0	4	4	1.99E-07
0	4	5	1.48E-07
0	5	0	2.70E-07
0	5	1	2.57E-07
0	5	2	2.25E-07
0	5	3	1.86E-07
0	5	4	1.48E-07
0	5	5	1.16E-07
1	0	0	2.18E-02
1	0	1	1.57E-03
1	0	2	2.00E-06
1	0	3	8.22E-07
1	0	4	4.30E-07
1	0	5	2.57E-07
1	1	0	1.57E-03
1	1	1	1.31E-04
1	1	2	1.58E-06
1	1	3	7.31E-07
1	1	4	4.01E-07
1	1	5	2.46E-07
1	2	0	2.00E-06
1	2	1	1.58E-06
1	2	2	9.42E-07
1	2	3	5.44E-07
1	2	4	3.32E-07
1	2	5	2.16E-07
1	3	0	8.22E-07
1	3	1	7.31E-07
1	3	2	5.44E-07
1	3	3	3.75E-07
1	3	4	2.57E-07
1	3	5	1.79E-07
1	4	0	4.30E-07
1	4	1	4.01E-07
1	4	2	3.32E-07
1	4	3	2.57E-07
1	4	4	1.93E-07
1	4	5	1.44E-07
1	5	0	2.57E-07
1	5	1	2.46E-07
1	5	2	2.16E-07
1	5	3	1.79E-07
1	5	4	1.44E-07
1	5	5	1.14E-07
2	0	0	2.66E-06
2	0	1	2.00E-06
2	0	2	1.09E-06
2	0	3	5.96E-07
2	0	4	3.52E-07
2	0	5	2.25E-07
2	1	0	2.00E-06
2	1	1	1.58E-06
2	1	2	9.42E-07
2	1	3	5.44E-07
2	1	4	3.32E-07
2	1	5	2.16E-07
2	2	0	1.09E-06
2	2	1	9.42E-07
2	2	2	6.58E-07
2	2	3	4.29E-07
2	2	4	2.83E-07
2	2	5	1.93E-07
2	3	0	5.96E-07
2	3	1	5.44E-07
2	3	2	4.29E-07
2	3	3	3.14E-07
2	3	4	2.25E-07
2	3	5	1.62E-07
2	4	0	3.52E-07
2	4	1	3.32E-07
2	4	2	2.83E-07
2	4	3	2.25E-07
2	4	4	1.74E-07
2	4	5	1.32E-07
2	5	0	2.25E-07
2	5	1	2.16E-07
2	5	2	1.93E-07
2	5	3	1.62E-07
2	5	4	1.32E-07
2	5	5	1.06E-07
3	0	0	9.35E-07
3	0	1	8.22E-07
