Sr89 - 4.8mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	4.99E-01
0	0	1	4.07E-02
0	0	2	7.60E-06
0	0	3	5.82E-07
0	0	4	2.90E-07
0	0	5	1.71E-07
0	1	0	4.07E-02
0	1	1	5.15E-03
0	1	2	2.00E-06
0	1	3	5.08E-07
0	1	4	2.70E-07
0	1	5	1.64E-07
0	2	0	7.60E-06
0	2	1	2.00E-06
0	2	2	6.72E-07
0	2	3	3.70E-07
0	2	4	2.22E-07
0	2	5	1.44E-07
0	3	0	5.82E-07
0	3	1	5.08E-07
0	3	2	3.70E-07
0	3	3	2.51E-07
0	3	4	1.71E-07
0	3	5	1.20E-07
0	4	0	2.90E-07
0	4	1	2.70E-07
0	4	2	2.22E-07
0	4	3	1.71E-07
0	4	4	1.28E-07
0	4	5	9.69E-08
0	5	0	1.71E-07
0	5	1	1.64E-07
0	5	2	1.44E-07
0	5	3	1.20E-07
0	5	4	9.69E-08
0	5	5	7.77E-08
1	0	0	4.07E-02
1	0	1	5.15E-03
1	0	2	2.00E-06
1	0	3	5.08E-07
1	0	4	2.70E-07
1	0	5	1.64E-07
1	1	0	5.15E-03
1	1	1	7.51E-04
1	1	2	1.07E-06
1	1	3	4.51E-07
1	1	4	2.51E-07
1	1	5	1.56E-07
1	2	0	2.00E-06
1	2	1	1.07E-06
1	2	2	5.79E-07
1	2	3	3.39E-07
1	2	4	2.10E-07
1	2	5	1.39E-07
1	3	0	5.08E-07
1	3	1	4.51E-07
1	3	2	3.39E-07
1	3	3	2.35E-07
1	3	4	1.63E-07
1	3	5	1.16E-07
1	4	0	2.70E-07
1	4	1	2.51E-07
1	4	2	2.10E-07
1	4	3	1.63E-07
1	4	4	1.24E-07
1	4	5	9.44E-08
1	5	0	1.64E-07
1	5	1	1.56E-07
1	5	2	1.39E-07
1	5	3	1.16E-07
1	5	4	9.44E-08
1	5	5	7.55E-08
2	0	0	7.60E-06
2	0	1	2.00E-06
2	0	2	6.72E-07
2	0	3	3.70E-07
2	0	4	2.22E-07
2	0	5	1.44E-07
2	1	0	2.00E-06
2	1	1	1.07E-06
2	1	2	5.79E-07
2	1	3	3.39E-07
2	1	4	2.10E-07
2	1	5	1.39E-07
2	2	0	6.72E-07
2	2	1	5.79E-07
2	2	2	4.07E-07
2	2	3	2.69E-07
2	2	4	1.79E-07
2	2	5	1.25E-07
2	3	0	3.70E-07
2	3	1	3.39E-07
2	3	2	2.69E-07
2	3	3	1.99E-07
2	3	4	1.44E-07
2	3	5	1.06E-07
2	4	0	2.22E-07
2	4	1	2.10E-07
2	4	2	1.79E-07
2	4	3	1.44E-07
2	4	4	1.12E-07
2	4	5	8.76E-08
2	5	0	1.44E-07
2	5	1	1.39E-07
2	5	2	1.25E-07
2	5	3	1.06E-07
2	5	4	8.76E-08
2	5	5	7.09E-08
3	0	0	5.82E-07
3	0	1	5.08E-07
3	0	2	3.70E-07
3	0	3	2.51E-07
3	0	4	1.71E-07
3	0	5	1.20E-07
3	1	0	5.08E-07
3	1	1	4.51E-07
3	1	2	3.39E-07
3	1	3	2.35E-07
3	1	4	1.63E-07
3	1	5	1.16E-07
3	2	0	3.70E-07
3	2	1	3.39E-07
3	2	2	2.69E-07
3	2	3	1.99E-07
3	2	4	1.44E-07
3	2	5	1.06E-07
3	3	0	2.51E-07
3	3	1	2.35E-07
3	3	2	1.99E-07
3	3	3	1.56E-07
3	3	4	1.20E-07
3	3	5	9.21E-08
3	4	0	1.71E-07
3	4	1	1.63E-07
3	4	2	1.44E-07
3	4	3	1.20E-07
3	4	4	9.68E-08
3	4	5	7.76E-08
3	5	0	1.20E-07
3	5	1	1.16E-07
3	5	2	1.06E-07
3	5	3	9.21E-08
3	5	4	7.76E-08
3	5	5	6.43E-08
4	0	0	2.90E-07
4	0	1	2.70E-07
4	0	2	2.22E-07
4	0	3	1.71E-07
4	0	4	1.28E-07
4	0	5	9.69E-08
4	1	0	2.70E-07
4	1	1	2.51E-07
4	1	2	2.10E-07
4	1	3	1.63E-07
4	1	4	1.24E-07
4	1	5	9.44E-08
4	2	0	2.22E-07
4	2	1	2.10E-07
4	2	2	1.79E-07
4	2	3	1.44E-07
4	2	4	1.12E-07
4	2	5	8.76E-08
4	3	0	1.71E-07
4	3	1	1.63E-07
4	3	2	1.44E-07
4	3	3	1.20E-07
4	3	4	9.68E-08
4	3	5	7.76E-08
4	4	0	1.28E-07
4	4	1	1.24E-07
4	4	2	1.12E-07
4	4	3	9.68E-08
4	4	4	8.11E-08
4	4	5	6.67E-08
4	5	0	9.69E-08
4	5	1	9.44E-08
4	5	2	8.76E-08
4	5	3	7.76E-08
4	5	4	6.67E-08
4	5	5	5.65E-08
5	0	0	1.71E-07
5	0	1	1.64E-07
5	0	2	1.44E-07
5	0	3	1.20E-07
5	0	4	9.69E-08
5	0	5	7.77E-08
5	1	0	1.64E-07
5	1	1	1.56E-07
5	1	2	1.39E-07
5	1	3	1.16E-07
5	1	4	9.44E-08
5	1	5	7.55E-08
5	2	0	1.44E-07
5	2	1	1.39E-07
5	2	2	1.25E-07
5	2	3	1.06E-07
5	2	4	8.76E-08
5	2	5	7.09E-08
5	3	0	1.20E-07
5	3	1	1.16E-07
5	3	2	1.06E-07
5	3	3	9.21E-08
5	3	4	7.76E-08
5	3	5	6.43E-08
5	4	0	9.69E-08
5	4	1	9.44E-08
5	4	2	8.76E-08
5	4	3	7.76E-08
5	4	4	6.67E-08
5	4	5	5.65E-08
5	5	0	7.77E-08
5	5	1	7.55E-08
5	5	2	7.09E-08
5	5	3	6.43E-08
5	5	4	5.65E-08
5	5	5	4.92E-08
