Sr89 - 4mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	5.65E-01
0	0	1	3.16E-02
0	0	2	3.43E-06
0	0	3	1.19E-06
0	0	4	5.85E-07
0	0	5	3.41E-07
0	1	0	3.16E-02
0	1	1	2.55E-03
0	1	2	2.56E-06
0	1	3	1.05E-06
0	1	4	5.46E-07
0	1	5	3.26E-07
0	2	0	3.43E-06
0	2	1	2.56E-06
0	2	2	1.39E-06
0	2	3	7.57E-07
0	2	4	4.48E-07
0	2	5	2.86E-07
0	3	0	1.19E-06
0	3	1	1.05E-06
0	3	2	7.57E-07
0	3	3	5.10E-07
0	3	4	3.42E-07
0	3	5	2.35E-07
0	4	0	5.85E-07
0	4	1	5.46E-07
0	4	2	4.48E-07
0	4	3	3.42E-07
0	4	4	2.53E-07
0	4	5	1.88E-07
0	5	0	3.41E-07
0	5	1	3.26E-07
0	5	2	2.86E-07
0	5	3	2.35E-07
0	5	4	1.88E-07
0	5	5	1.47E-07
1	0	0	3.16E-02
1	0	1	2.55E-03
1	0	2	2.56E-06
1	0	3	1.05E-06
1	0	4	5.46E-07
1	0	5	3.26E-07
1	1	0	2.55E-03
1	1	1	2.36E-04
1	1	2	2.02E-06
1	1	3	9.32E-07
1	1	4	5.08E-07
1	1	5	3.11E-07
1	2	0	2.56E-06
1	2	1	2.02E-06
1	2	2	1.20E-06
1	2	3	6.92E-07
1	2	4	4.22E-07
1	2	5	2.75E-07
1	3	0	1.05E-06
1	3	1	9.32E-07
1	3	2	6.92E-07
1	3	3	4.76E-07
1	3	4	3.25E-07
1	3	5	2.28E-07
1	4	0	5.46E-07
1	4	1	5.08E-07
1	4	2	4.22E-07
1	4	3	3.25E-07
1	4	4	2.44E-07
1	4	5	1.83E-07
1	5	0	3.26E-07
1	5	1	3.11E-07
1	5	2	2.75E-07
1	5	3	2.28E-07
1	5	4	1.83E-07
1	5	5	1.45E-07
2	0	0	3.43E-06
2	0	1	2.56E-06
2	0	2	1.39E-06
2	0	3	7.57E-07
2	0	4	4.48E-07
2	0	5	2.86E-07
2	1	0	2.56E-06
2	1	1	2.02E-06
2	1	2	1.20E-06
2	1	3	6.92E-07
2	1	4	4.22E-07
2	1	5	2.75E-07
2	2	0	1.39E-06
2	2	1	1.20E-06
2	2	2	8.39E-07
2	2	3	5.46E-07
2	2	4	3.60E-07
2	2	5	2.46E-07
2	3	0	7.57E-07
2	3	1	6.92E-07
2	3	2	5.46E-07
2	3	3	3.98E-07
2	3	4	2.86E-07
2	3	5	2.07E-07
2	4	0	4.48E-07
2	4	1	4.22E-07
2	4	2	3.60E-07
2	4	3	2.86E-07
2	4	4	2.20E-07
2	4	5	1.69E-07
2	5	0	2.86E-07
2	5	1	2.75E-07
2	5	2	2.46E-07
2	5	3	2.07E-07
2	5	4	1.69E-07
2	5	5	1.35E-07
3	0	0	1.19E-06
3	0	1	1.05E-06
3	0	2	7.57E-07
3	0	3	5.10E-07
3	0	4	3.42E-07
3	0	5	2.35E-07
3	1	0	1.05E-06
3	1	1	9.32E-07
3	1	2	6.92E-07
3	1	3	4.76E-07
3	1	4	3.25E-07
3	1	5	2.28E-07
3	2	0	7.57E-07
3	2	1	6.92E-07
3	2	2	5.46E-07
3	2	3	3.98E-07
3	2	4	2.86E-07
3	2	5	2.07E-07
3	3	0	5.10E-07
3	3	1	4.76E-07
3	3	2	3.98E-07
3	3	3	3.11E-07
3	3	4	2.36E-07
3	3	5	1.77E-07
3	4	0	3.42E-07
3	4	1	3.25E-07
3	4	2	2.86E-07
3	4	3	2.36E-07
3	4	4	1.89E-07
