Sr89 - 4mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	7.82E-01
0	0	1	7.60E-02
0	0	2	1.11E-04
0	0	3	9.01E-07
0	0	4	4.43E-07
0	0	5	2.63E-07
0	1	0	7.60E-02
0	1	1	1.20E-02
0	1	2	2.17E-05
0	1	3	7.88E-07
0	1	4	4.11E-07
0	1	5	2.50E-07
0	2	0	1.11E-04
0	2	1	2.17E-05
0	2	2	1.05E-06
0	2	3	5.71E-07
0	2	4	3.39E-07
0	2	5	2.19E-07
0	3	0	9.01E-07
0	3	1	7.88E-07
0	3	2	5.71E-07
0	3	3	3.83E-07
0	3	4	2.59E-07
0	3	5	1.82E-07
0	4	0	4.43E-07
0	4	1	4.11E-07
0	4	2	3.39E-07
0	4	3	2.59E-07
0	4	4	1.95E-07
0	4	5	1.46E-07
0	5	0	2.63E-07
0	5	1	2.50E-07
0	5	2	2.19E-07
0	5	3	1.82E-07
0	5	4	1.46E-07
0	5	5	1.17E-07
1	0	0	7.60E-02
1	0	1	1.20E-02
1	0	2	2.17E-05
1	0	3	7.88E-07
1	0	4	4.11E-07
1	0	5	2.50E-07
1	1	0	1.20E-02
1	1	1	2.22E-03
1	1	2	5.02E-06
1	1	3	7.01E-07
1	1	4	3.84E-07
1	1	5	2.39E-07
1	2	0	2.17E-05
1	2	1	5.02E-06
1	2	2	9.05E-07
1	2	3	5.22E-07
1	2	4	3.20E-07
1	2	5	2.10E-07
1	3	0	7.88E-07
1	3	1	7.01E-07
1	3	2	5.22E-07
1	3	3	3.60E-07
1	3	4	2.49E-07
1	3	5	1.75E-07
1	4	0	4.11E-07
1	4	1	3.84E-07
1	4	2	3.20E-07
1	4	3	2.49E-07
1	4	4	1.88E-07
1	4	5	1.42E-07
1	5	0	2.50E-07
1	5	1	2.39E-07
1	5	2	2.10E-07
1	5	3	1.75E-07
1	5	4	1.42E-07
1	5	5	1.14E-07
2	0	0	1.11E-04
2	0	1	2.17E-05
2	0	2	1.05E-06
2	0	3	5.71E-07
2	0	4	3.39E-07
2	0	5	2.19E-07
2	1	0	2.17E-05
2	1	1	5.02E-06
2	1	2	9.05E-07
2	1	3	5.22E-07
2	1	4	3.20E-07
2	1	5	2.10E-07
2	2	0	1.05E-06
2	2	1	9.05E-07
2	2	2	6.26E-07
2	2	3	4.11E-07
2	2	4	2.73E-07
2	2	5	1.88E-07
2	3	0	5.71E-07
2	3	1	5.22E-07
2	3	2	4.11E-07
2	3	3	3.03E-07
2	3	4	2.19E-07
2	3	5	1.60E-07
2	4	0	3.39E-07
2	4	1	3.20E-07
2	4	2	2.73E-07
2	4	3	2.19E-07
2	4	4	1.70E-07
2	4	5	1.32E-07
2	5	0	2.19E-07
2	5	1	2.10E-07
2	5	2	1.88E-07
2	5	3	1.60E-07
2	5	4	1.32E-07
