Y90 - 2.33mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.47E+00
0	0	1	3.69E-01
0	0	2	1.09E-02
0	0	3	4.63E-05
0	0	4	4.78E-06
0	0	5	2.76E-06
0	1	0	3.69E-01
0	1	1	1.01E-01
0	1	2	4.27E-03
0	1	3	2.00E-05
0	1	4	4.43E-06
0	1	5	2.64E-06
0	2	0	1.09E-02
0	2	1	4.27E-03
0	2	2	2.08E-04
0	2	3	6.38E-06
0	2	4	3.63E-06
0	2	5	2.32E-06
0	3	0	4.63E-05
0	3	1	2.00E-05
0	3	2	6.38E-06
0	3	3	4.15E-06
0	3	4	2.77E-06
0	3	5	1.92E-06
0	4	0	4.78E-06
0	4	1	4.43E-06
0	4	2	3.63E-06
0	4	3	2.77E-06
0	4	4	2.06E-06
0	4	5	1.54E-06
0	5	0	2.76E-06
0	5	1	2.64E-06
0	5	2	2.32E-06
0	5	3	1.92E-06
0	5	4	1.54E-06
0	5	5	1.22E-06
1	0	0	3.69E-01
1	0	1	1.01E-01
1	0	2	4.27E-03
1	0	3	2.00E-05
1	0	4	4.43E-06
1	0	5	2.64E-06
1	1	0	1.01E-01
1	1	1	3.45E-02
1	1	2	1.66E-03
1	1	3	1.11E-05
1	1	4	4.13E-06
1	1	5	2.53E-06
1	2	0	4.27E-03
1	2	1	1.66E-03
1	2	2	7.94E-05
1	2	3	5.70E-06
1	2	4	3.43E-06
1	2	5	2.22E-06
1	3	0	2.00E-05
1	3	1	1.11E-05
1	3	2	5.70E-06
1	3	3	3.87E-06
1	3	4	2.64E-06
1	3	5	1.85E-06
1	4	0	4.43E-06
1	4	1	4.13E-06
1	4	2	3.43E-06
1	4	3	2.64E-06
1	4	4	1.99E-06
1	4	5	1.50E-06
1	5	0	2.64E-06
1	5	1	2.53E-06
1	5	2	2.22E-06
1	5	3	1.85E-06
1	5	4	1.50E-06
1	5	5	1.19E-06
2	0	0	1.09E-02
2	0	1	4.27E-03
2	0	2	2.08E-04
2	0	3	6.38E-06
2	0	4	3.63E-06
2	0	5	2.32E-06
2	1	0	4.27E-03
2	1	1	1.66E-03
2	1	2	7.94E-05
2	1	3	5.70E-06
2	1	4	3.43E-06
2	1	5	2.22E-06
2	2	0	2.08E-04
2	2	1	7.94E-05
2	2	2	8.81E-06
2	2	3	4.43E-06
2	2	4	2.91E-06
2	2	5	1.99E-06
2	3	0	6.38E-06
2	3	1	5.70E-06
2	3	2	4.43E-06
2	3	3	3.24E-06
2	3	4	2.31E-06
2	3	5	1.68E-06
2	4	0	3.63E-06
2	4	1	3.43E-06
2	4	2	2.91E-06
2	4	3	2.31E-06
2	4	4	1.79E-06
