Y90 - 3.59mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.08E+00
0	0	1	1.73E-01
0	0	2	8.10E-03
0	0	3	1.01E-04
0	0	4	1.28E-06
0	0	5	7.50E-07
0	1	0	1.73E-01
0	1	1	5.31E-02
0	1	2	3.69E-03
0	1	3	4.08E-05
0	1	4	1.19E-06
0	1	5	7.17E-07
0	2	0	8.10E-03
0	2	1	3.69E-03
0	2	2	3.07E-04
0	2	3	3.21E-06
0	2	4	9.77E-07
0	2	5	6.32E-07
0	3	0	1.01E-04
0	3	1	4.08E-05
0	3	2	3.21E-06
0	3	3	1.11E-06
0	3	4	7.52E-07
0	3	5	5.26E-07
0	4	0	1.28E-06
0	4	1	1.19E-06
0	4	2	9.77E-07
0	4	3	7.52E-07
0	4	4	5.66E-07
0	4	5	4.26E-07
0	5	0	7.50E-07
0	5	1	7.17E-07
0	5	2	6.32E-07
0	5	3	5.26E-07
0	5	4	4.26E-07
0	5	5	3.38E-07
1	0	0	1.73E-01
1	0	1	5.31E-02
1	0	2	3.69E-03
1	0	3	4.08E-05
1	0	4	1.19E-06
1	0	5	7.17E-07
1	1	0	5.31E-02
1	1	1	2.08E-02
1	1	2	1.67E-03
1	1	3	1.66E-05
1	1	4	1.11E-06
1	1	5	6.86E-07
1	2	0	3.69E-03
1	2	1	1.67E-03
1	2	2	1.31E-04
1	2	3	2.02E-06
1	2	4	9.21E-07
1	2	5	6.09E-07
1	3	0	4.08E-05
1	3	1	1.66E-05
1	3	2	2.02E-06
1	3	3	1.04E-06
1	3	4	7.16E-07
1	3	5	5.10E-07
1	4	0	1.19E-06
1	4	1	1.11E-06
1	4	2	9.21E-07
1	4	3	7.16E-07
1	4	4	5.44E-07
1	4	5	4.13E-07
1	5	0	7.17E-07
1	5	1	6.86E-07
1	5	2	6.09E-07
1	5	3	5.10E-07
1	5	4	4.13E-07
1	5	5	3.32E-07
2	0	0	8.10E-03
2	0	1	3.69E-03
2	0	2	3.07E-04
2	0	3	3.21E-06
2	0	4	9.77E-07
2	0	5	6.32E-07
2	1	0	3.69E-03
2	1	1	1.67E-03
2	1	2	1.31E-04
2	1	3	2.02E-06
2	1	4	9.21E-07
2	1	5	6.09E-07
2	2	0	3.07E-04
2	2	1	1.31E-04
2	2	2	9.07E-06
2	2	3	1.19E-06
2	2	4	7.87E-07
2	2	5	5.45E-07
2	3	0	3.21E-06
2	3	1	2.02E-06
2	3	2	1.19E-06
2	3	3	8.72E-07
2	3	4	6.33E-07
2	3	5	4.64E-07
2	4	0	9.77E-07
2	4	1	9.21E-07
2	4	2	7.87E-07
2	4	3	6.33E-07
2	4	4	4.92E-07
2	4	5	3.83E-07
2	5	0	6.32E-07
2	5	1	6.09E-07
2	5	2	5.45E-07
2	5	3	4.64E-07
2	5	4	3.83E-07
2	5	5	3.12E-07
3	0	0	1.01E-04
3	0	1	4.08E-05
3	0	2	3.21E-06
3	0	3	1.11E-06
3	0	4	7.52E-07
3	0	5	5.26E-07
3	1	0	4.08E-05
3	1	1	1.66E-05
3	1	2	2.02E-06
3	1	3	1.04E-06
3	1	4	7.16E-07
3	1	5	5.10E-07
3	2	0	3.21E-06
3	2	1	2.02E-06
3	2	2	1.19E-06
3	2	3	8.72E-07
3	2	4	6.33E-07
3	2	5	4.64E-07
3	3	0	1.11E-06
3	3	1	1.04E-06
3	3	2	8.72E-07
3	3	3	6.87E-07
3	3	4	5.27E-07
3	3	5	4.01E-07
3	4	0	7.52E-07
3	4	1	7.16E-07
3	4	2	6.33E-07
3	4	3	5.27E-07
3	4	4	4.24E-07
3	4	5	3.39E-07
3	5	0	5.26E-07
3	5	1	5.10E-07
3	5	2	4.64E-07
3	5	3	4.01E-07
3	5	4	3.39E-07
3	5	5	2.81E-07
4	0	0	1.28E-06
4	0	1	1.19E-06
4	0	2	9.77E-07
4	0	3	7.52E-07
4	0	4	5.66E-07
4	0	5	4.26E-07
4	1	0	1.19E-06
4	1	1	1.11E-06
4	1	2	9.21E-07
4	1	3	7.16E-07
4	1	4	5.44E-07
4	1	5	4.13E-07
4	2	0	9.77E-07
4	2	1	9.21E-07
4	2	2	7.87E-07
4	2	3	6.33E-07
4	2	4	4.92E-07
4	2	5	3.83E-07
4	3	0	7.52E-07
4	3	1	7.16E-07
4	3	2	6.33E-07
4	3	3	5.27E-07
4	3	4	4.24E-07
4	3	5	3.39E-07
4	4	0	5.66E-07
4	4	1	5.44E-07
4	4	2	4.92E-07
4	4	3	4.24E-07
4	4	4	3.56E-07
4	4	5	2.93E-07
4	5	0	4.26E-07
4	5	1	4.13E-07
4	5	2	3.83E-07
4	5	3	3.39E-07
4	5	4	2.93E-07
4	5	5	2.50E-07
5	0	0	7.50E-07
5	0	1	7.17E-07
5	0	2	6.32E-07
5	0	3	5.26E-07
5	0	4	4.26E-07
5	0	5	3.38E-07
5	1	0	7.17E-07
5	1	1	6.86E-07
5	1	2	6.09E-07
5	1	3	5.10E-07
5	1	4	4.13E-07
5	1	5	3.32E-07
5	2	0	6.32E-07
5	2	1	6.09E-07
5	2	2	5.45E-07
5	2	3	4.64E-07
5	2	4	3.83E-07
5	2	5	3.12E-07
5	3	0	5.26E-07
5	3	1	5.10E-07
5	3	2	4.64E-07
5	3	3	4.01E-07
5	3	4	3.39E-07
5	3	5	2.81E-07
5	4	0	4.26E-07
5	4	1	4.13E-07
5	4	2	3.83E-07
5	4	3	3.39E-07
5	4	4	2.93E-07
5	4	5	2.50E-07
5	5	0	3.38E-07
5	5	1	3.32E-07
5	5	2	3.12E-07
5	5	3	2.81E-07
5	5	4	2.50E-07
5	5	5	2.15E-07
