Y90 - 3mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.40E+00
0	0	1	1.75E-01
0	0	2	1.53E-03
0	0	3	5.31E-06
0	0	4	2.60E-06
0	0	5	1.52E-06
0	1	0	1.75E-01
0	1	1	3.68E-02
0	1	2	4.22E-04
0	1	3	4.64E-06
0	1	4	2.42E-06
0	1	5	1.46E-06
0	2	0	1.53E-03
0	2	1	4.22E-04
0	2	2	9.36E-06
0	2	3	3.35E-06
0	2	4	1.99E-06
0	2	5	1.28E-06
0	3	0	5.31E-06
0	3	1	4.64E-06
0	3	2	3.35E-06
0	3	3	2.25E-06
0	3	4	1.53E-06
0	3	5	1.06E-06
0	4	0	2.60E-06
0	4	1	2.42E-06
0	4	2	1.99E-06
0	4	3	1.53E-06
0	4	4	1.14E-06
0	4	5	8.53E-07
0	5	0	1.52E-06
0	5	1	1.46E-06
0	5	2	1.28E-06
0	5	3	1.06E-06
0	5	4	8.53E-07
0	5	5	6.77E-07
1	0	0	1.75E-01
1	0	1	3.68E-02
1	0	2	4.22E-04
1	0	3	4.64E-06
1	0	4	2.42E-06
1	0	5	1.46E-06
1	1	0	3.68E-02
1	1	1	9.29E-03
1	1	2	1.17E-04
1	1	3	4.12E-06
1	1	4	2.25E-06
1	1	5	1.39E-06
1	2	0	4.22E-04
1	2	1	1.17E-04
1	2	2	6.01E-06
1	2	3	3.06E-06
1	2	4	1.88E-06
1	2	5	1.23E-06
1	3	0	4.64E-06
1	3	1	4.12E-06
1	3	2	3.06E-06
1	3	3	2.11E-06
1	3	4	1.46E-06
1	3	5	1.03E-06
1	4	0	2.42E-06
1	4	1	2.25E-06
1	4	2	1.88E-06
1	4	3	1.46E-06
1	4	4	1.10E-06
1	4	5	8.31E-07
1	5	0	1.46E-06
1	5	1	1.39E-06
1	5	2	1.23E-06
1	5	3	1.03E-06
1	5	4	8.31E-07
1	5	5	6.62E-07
2	0	0	1.53E-03
2	0	1	4.22E-04
2	0	2	9.36E-06
2	0	3	3.35E-06
2	0	4	1.99E-06
2	0	5	1.28E-06
2	1	0	4.22E-04
2	1	1	1.17E-04
2	1	2	6.01E-06
2	1	3	3.06E-06
2	1	4	1.88E-06
2	1	5	1.23E-06
2	2	0	9.36E-06
2	2	1	6.01E-06
2	2	2	3.70E-06
2	2	3	2.41E-06
2	2	4	1.60E-06
2	2	5	1.10E-06
2	3	0	3.35E-06
2	3	1	3.06E-06
