Y90 - 4mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	7.12E-01
0	0	1	6.86E-02
0	0	2	6.28E-05
0	0	3	2.64E-06
0	0	4	1.32E-06
0	0	5	7.82E-07
0	1	0	6.86E-02
0	1	1	1.02E-02
0	1	2	1.47E-05
0	1	3	2.32E-06
0	1	4	1.23E-06
0	1	5	7.46E-07
0	2	0	6.28E-05
0	2	1	1.47E-05
0	2	2	3.06E-06
0	2	3	1.69E-06
0	2	4	1.02E-06
0	2	5	6.58E-07
0	3	0	2.64E-06
0	3	1	2.32E-06
0	3	2	1.69E-06
0	3	3	1.15E-06
0	3	4	7.81E-07
0	3	5	5.46E-07
0	4	0	1.32E-06
0	4	1	1.23E-06
0	4	2	1.02E-06
0	4	3	7.81E-07
0	4	4	5.85E-07
0	4	5	4.39E-07
0	5	0	7.82E-07
0	5	1	7.46E-07
0	5	2	6.58E-07
0	5	3	5.46E-07
0	5	4	4.39E-07
0	5	5	3.48E-07
1	0	0	6.86E-02
1	0	1	1.02E-02
1	0	2	1.47E-05
1	0	3	2.32E-06
1	0	4	1.23E-06
1	0	5	7.46E-07
1	1	0	1.02E-02
1	1	1	1.77E-03
1	1	2	5.86E-06
1	1	3	2.07E-06
1	1	4	1.15E-06
1	1	5	7.14E-07
1	2	0	1.47E-05
1	2	1	5.86E-06
1	2	2	2.64E-06
1	2	3	1.55E-06
1	2	4	9.61E-07
1	2	5	6.32E-07
1	3	0	2.32E-06
1	3	1	2.07E-06
1	3	2	1.55E-06
1	3	3	1.08E-06
1	3	4	7.46E-07
1	3	5	5.29E-07
1	4	0	1.23E-06
1	4	1	1.15E-06
1	4	2	9.61E-07
1	4	3	7.46E-07
1	4	4	5.65E-07
1	4	5	4.28E-07
1	5	0	7.46E-07
1	5	1	7.14E-07
1	5	2	6.32E-07
1	5	3	5.29E-07
1	5	4	4.28E-07
1	5	5	3.42E-07
2	0	0	6.28E-05
2	0	1	1.47E-05
2	0	2	3.06E-06
2	0	3	1.69E-06
2	0	4	1.02E-06
2	0	5	6.58E-07
2	1	0	1.47E-05
2	1	1	5.86E-06
2	1	2	2.64E-06
2	1	3	1.55E-06
2	1	4	9.61E-07
2	1	5	6.32E-07
2	2	0	3.06E-06
2	2	1	2.64E-06
2	2	2	1.87E-06
2	2	3	1.23E-06
2	2	4	8.22E-07
2	2	5	5.65E-07
2	3	0	1.69E-06
2	3	1	1.55E-06
2	3	2	1.23E-06
2	3	3	9.07E-07
2	3	4	6.58E-07
2	3	5	4.80E-07
2	4	0	1.02E-06
2	4	1	9.61E-07
2	4	2	8.22E-07
2	4	3	6.58E-07
2	4	4	5.10E-07
2	4	5	3.95E-07
2	5	0	6.58E-07
2	5	1	6.32E-07
2	5	2	5.65E-07
2	5	3	4.80E-07
2	5	4	3.95E-07
2	5	5	3.19E-07
3	0	0	2.64E-06
3	0	1	2.32E-06
3	0	2	1.69E-06
3	0	3	1.15E-06
3	0	4	7.81E-07
3	0	5	5.46E-07
3	1	0	2.32E-06
3	1	1	2.07E-06
3	1	2	1.55E-06
3	1	3	1.08E-06
3	1	4	7.46E-07
3	1	5	5.29E-07
3	2	0	1.69E-06
3	2	1	1.55E-06
3	2	2	1.23E-06
3	2	3	9.07E-07
3	2	4	6.58E-07
3	2	5	4.80E-07
3	3	0	1.15E-06
3	3	1	1.08E-06
3	3	2	9.07E-07
3	3	3	7.15E-07
3	3	4	5.46E-07
3	3	5	4.15E-07
3	4	0	7.81E-07
3	4	1	7.46E-07
3	4	2	6.58E-07
3	4	3	5.46E-07
3	4	4	4.40E-07
3	4	5	3.49E-07
3	5	0	5.46E-07
3	5	1	5.29E-07
3	5	2	4.80E-07
3	5	3	4.15E-07
3	5	4	3.49E-07
3	5	5	2.88E-07
4	0	0	1.32E-06
4	0	1	1.23E-06
4	0	2	1.02E-06
4	0	3	7.81E-07
4	0	4	5.85E-07
4	0	5	4.39E-07
4	1	0	1.23E-06
4	1	1	1.15E-06
4	1	2	9.61E-07
4	1	3	7.46E-07
4	1	4	5.65E-07
4	1	5	4.28E-07
4	2	0	1.02E-06
4	2	1	9.61E-07
4	2	2	8.22E-07
4	2	3	6.58E-07
4	2	4	5.10E-07
4	2	5	3.95E-07
4	3	0	7.81E-07
4	3	1	7.46E-07
4	3	2	6.58E-07
4	3	3	5.46E-07
4	3	4	4.40E-07
4	3	5	3.49E-07
4	4	0	5.85E-07
4	4	1	5.65E-07
4	4	2	5.10E-07
4	4	3	4.40E-07
4	4	4	3.67E-07
4	4	5	3.00E-07
4	5	0	4.39E-07
4	5	1	4.28E-07
4	5	2	3.95E-07
4	5	3	3.49E-07
4	5	4	3.00E-07
4	5	5	2.52E-07
5	0	0	7.82E-07
5	0	1	7.46E-07
5	0	2	6.58E-07
5	0	3	5.46E-07
5	0	4	4.39E-07
5	0	5	3.48E-07
5	1	0	7.46E-07
5	1	1	7.14E-07
5	1	2	6.32E-07
5	1	3	5.29E-07
5	1	4	4.28E-07
5	1	5	3.42E-07
5	2	0	6.58E-07
5	2	1	6.32E-07
5	2	2	5.65E-07
5	2	3	4.80E-07
5	2	4	3.95E-07
5	2	5	3.19E-07
5	3	0	5.46E-07
5	3	1	5.29E-07
5	3	2	4.80E-07
5	3	3	4.15E-07
5	3	4	3.49E-07
5	3	5	2.88E-07
5	4	0	4.39E-07
5	4	1	4.28E-07
5	4	2	3.95E-07
5	4	3	3.49E-07
5	4	4	3.00E-07
5	4	5	2.52E-07
5	5	0	3.48E-07
5	5	1	3.42E-07
5	5	2	3.19E-07
5	5	3	2.88E-07
5	5	4	2.52E-07
5	5	5	2.16E-07
