Y90 - 5mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	5.22E-01
0	0	1	6.75E-02
0	0	2	7.89E-04
0	0	3	1.19E-06
0	0	4	5.92E-07
0	0	5	3.53E-07
0	1	0	6.75E-02
0	1	1	1.51E-02
0	1	2	2.30E-04
0	1	3	1.03E-06
0	1	4	5.50E-07
0	1	5	3.40E-07
0	2	0	7.89E-04
0	2	1	2.30E-04
0	2	2	3.77E-06
0	2	3	7.52E-07
0	2	4	4.57E-07
0	2	5	3.00E-07
0	3	0	1.19E-06
0	3	1	1.03E-06
0	3	2	7.52E-07
0	3	3	5.15E-07
0	3	4	3.55E-07
0	3	5	2.51E-07
0	4	0	5.92E-07
0	4	1	5.50E-07
0	4	2	4.57E-07
0	4	3	3.55E-07
0	4	4	2.69E-07
0	4	5	2.04E-07
0	5	0	3.53E-07
0	5	1	3.40E-07
0	5	2	3.00E-07
0	5	3	2.51E-07
0	5	4	2.04E-07
0	5	5	1.65E-07
1	0	0	6.75E-02
1	0	1	1.51E-02
1	0	2	2.30E-04
1	0	3	1.03E-06
1	0	4	5.50E-07
1	0	5	3.40E-07
1	1	0	1.51E-02
1	1	1	4.07E-03
1	1	2	6.57E-05
1	1	3	9.19E-07
1	1	4	5.15E-07
1	1	5	3.25E-07
1	2	0	2.30E-04
1	2	1	6.57E-05
1	2	2	1.73E-06
1	2	3	6.90E-07
1	2	4	4.32E-07
1	2	5	2.89E-07
1	3	0	1.03E-06
1	3	1	9.19E-07
1	3	2	6.90E-07
1	3	3	4.84E-07
1	3	4	3.39E-07
1	3	5	2.43E-07
1	4	0	5.50E-07
1	4	1	5.15E-07
1	4	2	4.32E-07
1	4	3	3.39E-07
1	4	4	2.60E-07
1	4	5	1.98E-07
1	5	0	3.40E-07
1	5	1	3.25E-07
1	5	2	2.89E-07
1	5	3	2.43E-07
1	5	4	1.98E-07
1	5	5	1.61E-07
2	0	0	7.89E-04
2	0	1	2.30E-04
2	0	2	3.77E-06
2	0	3	7.52E-07
2	0	4	4.57E-07
2	0	5	3.00E-07
2	1	0	2.30E-04
2	1	1	6.57E-05
2	1	2	1.73E-06
2	1	3	6.90E-07
2	1	4	4.32E-07
2	1	5	2.89E-07
2	2	0	3.77E-06
2	2	1	1.73E-06
2	2	2	8.30E-07
2	2	3	5.51E-07
2	2	4	3.72E-07
2	2	5	2.59E-07
2	3	0	7.52E-07
2	3	1	6.90E-07
2	3	2	5.51E-07
2	3	3	4.11E-07
2	3	4	3.00E-07
2	3	5	2.22E-07
2	4	0	4.57E-07
2	4	1	4.32E-07
2	4	2	3.72E-07
2	4	3	3.00E-07
2	4	4	2.36E-07
2	4	5	1.84E-07
2	5	0	3.00E-07
2	5	1	2.89E-07
2	5	2	2.59E-07
2	5	3	2.22E-07
2	5	4	1.84E-07
2	5	5	1.51E-07
3	0	0	1.19E-06
3	0	1	1.03E-06
3	0	2	7.52E-07
3	0	3	5.15E-07
3	0	4	3.55E-07
3	0	5	2.51E-07
3	1	0	1.03E-06
3	1	1	9.19E-07
3	1	2	6.90E-07
3	1	3	4.84E-07
3	1	4	3.39E-07
3	1	5	2.43E-07
3	2	0	7.52E-07
3	2	1	6.90E-07
3	2	2	5.51E-07
3	2	3	4.11E-07
3	2	4	3.00E-07
3	2	5	2.22E-07
3	3	0	5.15E-07
3	3	1	4.84E-07
3	3	2	4.11E-07
3	3	3	3.25E-07
3	3	4	2.52E-07
3	3	5	1.94E-07
3	4	0	3.55E-07
3	4	1	3.39E-07
3	4	2	3.00E-07
3	4	3	2.52E-07
3	4	4	2.05E-07
3	4	5	1.63E-07
3	5	0	2.51E-07
3	5	1	2.43E-07
3	5	2	2.22E-07
3	5	3	1.94E-07
3	5	4	1.63E-07
3	5	5	1.36E-07
4	0	0	5.92E-07
4	0	1	5.50E-07
4	0	2	4.57E-07
4	0	3	3.55E-07
4	0	4	2.69E-07
4	0	5	2.04E-07
4	1	0	5.50E-07
4	1	1	5.15E-07
4	1	2	4.32E-07
4	1	3	3.39E-07
4	1	4	2.60E-07
4	1	5	1.98E-07
4	2	0	4.57E-07
4	2	1	4.32E-07
4	2	2	3.72E-07
4	2	3	3.00E-07
4	2	4	2.36E-07
4	2	5	1.84E-07
4	3	0	3.55E-07
4	3	1	3.39E-07
4	3	2	3.00E-07
4	3	3	2.52E-07
4	3	4	2.05E-07
4	3	5	1.63E-07
4	4	0	2.69E-07
4	4	1	2.60E-07
4	4	2	2.36E-07
4	4	3	2.05E-07
4	4	4	1.71E-07
4	4	5	1.42E-07
4	5	0	2.04E-07
4	5	1	1.98E-07
4	5	2	1.84E-07
4	5	3	1.63E-07
4	5	4	1.42E-07
4	5	5	1.21E-07
5	0	0	3.53E-07
5	0	1	3.40E-07
5	0	2	3.00E-07
5	0	3	2.51E-07
5	0	4	2.04E-07
5	0	5	1.65E-07
5	1	0	3.40E-07
5	1	1	3.25E-07
5	1	2	2.89E-07
5	1	3	2.43E-07
5	1	4	1.98E-07
5	1	5	1.61E-07
5	2	0	3.00E-07
5	2	1	2.89E-07
5	2	2	2.59E-07
5	2	3	2.22E-07
5	2	4	1.84E-07
5	2	5	1.51E-07
5	3	0	2.51E-07
5	3	1	2.43E-07
5	3	2	2.22E-07
5	3	3	1.94E-07
5	3	4	1.63E-07
5	3	5	1.36E-07
5	4	0	2.04E-07
5	4	1	1.98E-07
5	4	2	1.84E-07
5	4	3	1.63E-07
5	4	4	1.42E-07
5	4	5	1.21E-07
5	5	0	1.65E-07
5	5	1	1.61E-07
5	5	2	1.51E-07
5	5	3	1.36E-07
5	5	4	1.21E-07
5	5	5	1.06E-07
