Y90 - 9.28mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	7.92E-02
0	0	1	3.26E-03
0	0	2	9.80E-07
0	0	3	3.70E-07
0	0	4	1.86E-07
0	0	5	1.08E-07
0	1	0	3.26E-03
0	1	1	1.85E-04
0	1	2	7.51E-07
0	1	3	3.27E-07
0	1	4	1.74E-07
0	1	5	1.03E-07
0	2	0	9.80E-07
0	2	1	7.51E-07
0	2	2	4.27E-07
0	2	3	2.39E-07
0	2	4	1.42E-07
0	2	5	9.00E-08
0	3	0	3.70E-07
0	3	1	3.27E-07
0	3	2	2.39E-07
0	3	3	1.62E-07
0	3	4	1.08E-07
0	3	5	7.35E-08
0	4	0	1.86E-07
0	4	1	1.74E-07
0	4	2	1.42E-07
0	4	3	1.08E-07
0	4	4	7.95E-08
0	4	5	5.78E-08
0	5	0	1.08E-07
0	5	1	1.03E-07
0	5	2	9.00E-08
0	5	3	7.35E-08
0	5	4	5.78E-08
0	5	5	4.44E-08
1	0	0	3.26E-03
1	0	1	1.85E-04
1	0	2	7.51E-07
1	0	3	3.27E-07
1	0	4	1.74E-07
1	0	5	1.03E-07
1	1	0	1.85E-04
1	1	1	1.28E-05
1	1	2	6.03E-07
1	1	3	2.92E-07
1	1	4	1.62E-07
1	1	5	9.84E-08
1	2	0	7.51E-07
1	2	1	6.03E-07
1	2	2	3.71E-07
1	2	3	2.19E-07
1	2	4	1.34E-07
1	2	5	8.62E-08
1	3	0	3.27E-07
1	3	1	2.92E-07
1	3	2	2.19E-07
1	3	3	1.52E-07
1	3	4	1.03E-07
1	3	5	7.09E-08
1	4	0	1.74E-07
1	4	1	1.62E-07
1	4	2	1.34E-07
1	4	3	1.03E-07
1	4	4	7.65E-08
1	4	5	5.60E-08
1	5	0	1.03E-07
1	5	1	9.84E-08
1	5	2	8.62E-08
1	5	3	7.09E-08
1	5	4	5.60E-08
1	5	5	4.34E-08
2	0	0	9.80E-07
2	0	1	7.51E-07
2	0	2	4.27E-07
2	0	3	2.39E-07
2	0	4	1.42E-07
2	0	5	9.00E-08
2	1	0	7.51E-07
2	1	1	6.03E-07
2	1	2	3.71E-07
2	1	3	2.19E-07
2	1	4	1.34E-07
2	1	5	8.62E-08
2	2	0	4.27E-07
2	2	1	3.71E-07
2	2	2	2.63E-07
2	2	3	1.74E-07
2	2	4	1.14E-07
2	2	5	7.65E-08
2	3	0	2.39E-07
2	3	1	2.19E-07
2	3	2	1.74E-07
2	3	3	1.27E-07
2	3	4	9.01E-08
2	3	5	6.38E-08
2	4	0	1.42E-07
2	4	1	1.34E-07
2	4	2	1.14E-07
2	4	3	9.01E-08
2	4	4	6.84E-08
2	4	5	5.12E-08
2	5	0	9.00E-08
2	5	1	8.62E-08
2	5	2	7.65E-08
2	5	3	6.38E-08
2	5	4	5.12E-08
2	5	5	4.01E-08
3	0	0	3.70E-07
3	0	1	3.27E-07
3	0	2	2.39E-07
3	0	3	1.62E-07
3	0	4	1.08E-07
3	0	5	7.35E-08
3	1	0	3.27E-07
3	1	1	2.92E-07
