I131 - 2.33mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.16E+00
0	0	1	2.99E-02
0	0	2	7.79E-04
0	0	3	3.36E-04
0	0	4	1.86E-04
0	0	5	1.18E-04
0	1	0	2.99E-02
0	1	1	2.64E-03
0	1	2	6.21E-04
0	1	3	3.03E-04
0	1	4	1.76E-04
0	1	5	1.15E-04
0	2	0	7.79E-04
0	2	1	6.21E-04
0	2	2	3.84E-04
0	2	3	2.32E-04
0	2	4	1.49E-04
0	2	5	1.03E-04
0	3	0	3.36E-04
0	3	1	3.03E-04
0	3	2	2.32E-04
0	3	3	1.68E-04
0	3	4	1.19E-04
0	3	5	8.72E-05
0	4	0	1.86E-04
0	4	1	1.76E-04
0	4	2	1.49E-04
0	4	3	1.19E-04
0	4	4	9.28E-05
0	4	5	7.28E-05
0	5	0	1.18E-04
0	5	1	1.15E-04
0	5	2	1.03E-04
0	5	3	8.72E-05
0	5	4	7.28E-05
0	5	5	5.93E-05
1	0	0	2.99E-02
1	0	1	2.64E-03
1	0	2	6.21E-04
1	0	3	3.03E-04
1	0	4	1.76E-04
1	0	5	1.15E-04
1	1	0	2.64E-03
1	1	1	1.13E-03
1	1	2	5.15E-04
1	1	3	2.75E-04
1	1	4	1.66E-04
1	1	5	1.10E-04
1	2	0	6.21E-04
1	2	1	5.15E-04
1	2	2	3.40E-04
1	2	3	2.15E-04
1	2	4	1.43E-04
1	2	5	9.90E-05
1	3	0	3.03E-04
1	3	1	2.75E-04
1	3	2	2.15E-04
1	3	3	1.58E-04
1	3	4	1.15E-04
1	3	5	8.51E-05
1	4	0	1.76E-04
1	4	1	1.66E-04
1	4	2	1.43E-04
1	4	3	1.15E-04
1	4	4	8.99E-05
1	4	5	7.10E-05
1	5	0	1.15E-04
1	5	1	1.10E-04
1	5	2	9.90E-05
1	5	3	8.51E-05
1	5	4	7.10E-05
1	5	5	5.81E-05
2	0	0	7.79E-04
2	0	1	6.21E-04
2	0	2	3.84E-04
2	0	3	2.32E-04
2	0	4	1.49E-04
2	0	5	1.03E-04
2	1	0	6.21E-04
2	1	1	5.15E-04
2	1	2	3.40E-04
2	1	3	2.15E-04
2	1	4	1.43E-04
2	1	5	9.90E-05
2	2	0	3.84E-04
2	2	1	3.40E-04
2	2	2	2.53E-04
2	2	3	1.76E-04
2	2	4	1.24E-04
2	2	5	9.02E-05
2	3	0	2.32E-04
2	3	1	2.15E-04
2	3	2	1.76E-04
2	3	3	1.36E-04
2	3	4	1.02E-04
2	3	5	7.83E-05
2	4	0	1.49E-04
2	4	1	1.43E-04
2	4	2	1.24E-04
2	4	3	1.02E-04
2	4	4	8.26E-05
2	4	5	6.61E-05
2	5	0	1.03E-04
2	5	1	9.90E-05
2	5	2	9.02E-05
2	5	3	7.83E-05
2	5	4	6.61E-05
2	5	5	5.50E-05
3	0	0	3.36E-04
3	0	1	3.03E-04
3	0	2	2.32E-04
3	0	3	1.68E-04
3	0	4	1.19E-04
3	0	5	8.72E-05
3	1	0	3.03E-04
3	1	1	2.75E-04
3	1	2	2.15E-04
3	1	3	1.58E-04
3	1	4	1.15E-04
3	1	5	8.51E-05
3	2	0	2.32E-04
3	2	1	2.15E-04
3	2	2	1.76E-04
3	2	3	1.36E-04
3	2	4	1.02E-04
3	2	5	7.83E-05
3	3	0	1.68E-04
3	3	1	1.58E-04
3	3	2	1.36E-04
3	3	3	1.10E-04
3	3	4	8.76E-05
3	3	5	6.93E-05
3	4	0	1.19E-04
3	4	1	1.15E-04
3	4	2	1.02E-04
3	4	3	8.76E-05
3	4	4	7.19E-05
3	4	5	5.93E-05
3	5	0	8.72E-05
3	5	1	8.51E-05
3	5	2	7.83E-05
3	5	3	6.93E-05
3	5	4	5.93E-05
3	5	5	5.01E-05
4	0	0	1.86E-04
4	0	1	1.76E-04
4	0	2	1.49E-04
4	0	3	1.19E-04
4	0	4	9.28E-05
4	0	5	7.28E-05
4	1	0	1.76E-04
4	1	1	1.66E-04
4	1	2	1.43E-04
4	1	3	1.15E-04
4	1	4	8.99E-05
4	1	5	7.10E-05
4	2	0	1.49E-04
4	2	1	1.43E-04
4	2	2	1.24E-04
4	2	3	1.02E-04
4	2	4	8.26E-05
4	2	5	6.61E-05
4	3	0	1.19E-04
4	3	1	1.15E-04
4	3	2	1.02E-04
4	3	3	8.76E-05
4	3	4	7.19E-05
4	3	5	5.93E-05
4	4	0	9.28E-05
4	4	1	8.99E-05
4	4	2	8.26E-05
4	4	3	7.19E-05
4	4	4	6.14E-05
4	4	5	5.24E-05
4	5	0	7.28E-05
4	5	1	7.10E-05
4	5	2	6.61E-05
4	5	3	5.93E-05
4	5	4	5.24E-05
4	5	5	4.46E-05
5	0	0	1.18E-04
5	0	1	1.15E-04
5	0	2	1.03E-04
5	0	3	8.72E-05
5	0	4	7.28E-05
5	0	5	5.93E-05
5	1	0	1.15E-04
5	1	1	1.10E-04
5	1	2	9.90E-05
5	1	3	8.51E-05
5	1	4	7.10E-05
5	1	5	5.81E-05
5	2	0	1.03E-04
5	2	1	9.90E-05
5	2	2	9.02E-05
5	2	3	7.83E-05
5	2	4	6.61E-05
5	2	5	5.50E-05
5	3	0	8.72E-05
5	3	1	8.51E-05
5	3	2	7.83E-05
5	3	3	6.93E-05
