I131 - 4.42mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	3.00E-01
0	0	1	7.33E-03
0	0	2	2.15E-04
0	0	3	9.45E-05
0	0	4	5.19E-05
0	0	5	3.36E-05
0	1	0	7.33E-03
0	1	1	6.73E-04
0	1	2	1.71E-04
0	1	3	8.40E-05
0	1	4	4.92E-05
0	1	5	3.20E-05
0	2	0	2.15E-04
0	2	1	1.71E-04
0	2	2	1.06E-04
0	2	3	6.43E-05
0	2	4	4.17E-05
0	2	5	2.88E-05
0	3	0	9.45E-05
0	3	1	8.40E-05
0	3	2	6.43E-05
0	3	3	4.62E-05
0	3	4	3.33E-05
0	3	5	2.44E-05
0	4	0	5.19E-05
0	4	1	4.92E-05
0	4	2	4.17E-05
0	4	3	3.33E-05
0	4	4	2.62E-05
0	4	5	2.02E-05
0	5	0	3.36E-05
0	5	1	3.20E-05
0	5	2	2.88E-05
0	5	3	2.44E-05
0	5	4	2.02E-05
0	5	5	1.66E-05
1	0	0	7.33E-03
1	0	1	6.73E-04
1	0	2	1.71E-04
1	0	3	8.40E-05
1	0	4	4.92E-05
1	0	5	3.20E-05
1	1	0	6.73E-04
1	1	1	3.05E-04
1	1	2	1.42E-04
1	1	3	7.65E-05
1	1	4	4.66E-05
1	1	5	3.09E-05
1	2	0	1.71E-04
1	2	1	1.42E-04
1	2	2	9.37E-05
1	2	3	5.98E-05
1	2	4	3.96E-05
1	2	5	2.78E-05
1	3	0	8.40E-05
1	3	1	7.65E-05
1	3	2	5.98E-05
1	3	3	4.38E-05
1	3	4	3.20E-05
1	3	5	2.38E-05
1	4	0	4.92E-05
1	4	1	4.66E-05
1	4	2	3.96E-05
1	4	3	3.20E-05
1	4	4	2.52E-05
1	4	5	1.97E-05
1	5	0	3.20E-05
1	5	1	3.09E-05
1	5	2	2.78E-05
1	5	3	2.38E-05
1	5	4	1.97E-05
1	5	5	1.62E-05
2	0	0	2.15E-04
2	0	1	1.71E-04
2	0	2	1.06E-04
2	0	3	6.43E-05
2	0	4	4.17E-05
2	0	5	2.88E-05
2	1	0	1.71E-04
2	1	1	1.42E-04
2	1	2	9.37E-05
2	1	3	5.98E-05
2	1	4	3.96E-05
2	1	5	2.78E-05
2	2	0	1.06E-04
2	2	1	9.37E-05
2	2	2	6.96E-05
2	2	3	4.92E-05
2	2	4	3.47E-05
2	2	5	2.53E-05
2	3	0	6.43E-05
2	3	1	5.98E-05
2	3	2	4.92E-05
2	3	3	3.79E-05
2	3	4	2.88E-05
2	3	5	2.18E-05
2	4	0	4.17E-05
2	4	1	3.96E-05
2	4	2	3.47E-05
2	4	3	2.88E-05
2	4	4	2.31E-05
2	4	5	1.85E-05
2	5	0	2.88E-05
2	5	1	2.78E-05
2	5	2	2.53E-05
2	5	3	2.18E-05
2	5	4	1.85E-05
2	5	5	1.53E-05
3	0	0	9.45E-05
3	0	1	8.40E-05
3	0	2	6.43E-05
3	0	3	4.62E-05
3	0	4	3.33E-05
3	0	5	2.44E-05
3	1	0	8.40E-05
3	1	1	7.65E-05
3	1	2	5.98E-05
3	1	3	4.38E-05
3	1	4	3.20E-05
3	1	5	2.38E-05
3	2	0	6.43E-05
3	2	1	5.98E-05
3	2	2	4.92E-05
3	2	3	3.79E-05
3	2	4	2.88E-05
3	2	5	2.18E-05
3	3	0	4.62E-05
3	3	1	4.38E-05
3	3	2	3.79E-05
3	3	3	3.08E-05
3	3	4	2.45E-05
3	3	5	1.93E-05
3	4	0	3.33E-05
3	4	1	3.20E-05
3	4	2	2.88E-05
3	4	3	2.45E-05
3	4	4	2.02E-05
3	4	5	1.66E-05
3	5	0	2.44E-05
3	5	1	2.38E-05
3	5	2	2.18E-05
3	5	3	1.93E-05
3	5	4	1.66E-05
3	5	5	1.39E-05
4	0	0	5.19E-05
4	0	1	4.92E-05
4	0	2	4.17E-05
4	0	3	3.33E-05
4	0	4	2.62E-05
4	0	5	2.02E-05
4	1	0	4.92E-05
4	1	1	4.66E-05
4	1	2	3.96E-05
4	1	3	3.20E-05
4	1	4	2.52E-05
4	1	5	1.97E-05
4	2	0	4.17E-05
4	2	1	3.96E-05
4	2	2	3.47E-05
4	2	3	2.88E-05
4	2	4	2.31E-05
4	2	5	1.85E-05
4	3	0	3.33E-05
4	3	1	3.20E-05
4	3	2	2.88E-05
4	3	3	2.45E-05
4	3	4	2.02E-05
4	3	5	1.66E-05
4	4	0	2.62E-05
4	4	1	2.52E-05
4	4	2	2.31E-05
4	4	3	2.02E-05
4	4	4	1.71E-05
4	4	5	1.45E-05
4	5	0	2.02E-05
4	5	1	1.97E-05
4	5	2	1.85E-05
4	5	3	1.66E-05
4	5	4	1.45E-05
4	5	5	1.25E-05
5	0	0	3.36E-05
5	0	1	3.20E-05
5	0	2	2.88E-05
5	0	3	2.44E-05
5	0	4	2.02E-05
5	0	5	1.66E-05
5	1	0	3.20E-05
5	1	1	3.09E-05
5	1	2	2.78E-05
5	1	3	2.38E-05
5	1	4	1.97E-05
5	1	5	1.62E-05
5	2	0	2.88E-05
5	2	1	2.78E-05
5	2	2	2.53E-05
5	2	3	2.18E-05
5	2	4	1.85E-05
5	2	5	1.53E-05
5	3	0	2.44E-05
5	3	1	2.38E-05
5	3	2	2.18E-05
5	3	3	1.93E-05
5	3	4	1.66E-05
5	3	5	1.39E-05
5	4	0	2.02E-05
5	4	1	1.97E-05
5	4	2	1.85E-05
