I131 - 4.8mm - Bone compact			
i	j	k	
0	0	0	1.42E-01
0	0	1	2.40E-03
0	0	2	1.82E-04
0	0	3	7.92E-05
0	0	4	4.43E-05
0	0	5	2.84E-05
0	1	0	2.40E-03
0	1	1	4.24E-04
0	1	2	1.45E-04
0	1	3	7.12E-05
0	1	4	4.17E-05
0	1	5	2.72E-05
0	2	0	1.82E-04
0	2	1	1.45E-04
0	2	2	8.95E-05
0	2	3	5.47E-05
0	2	4	3.54E-05
0	2	5	2.43E-05
0	3	0	7.92E-05
0	3	1	7.12E-05
0	3	2	5.47E-05
0	3	3	3.93E-05
0	3	4	2.84E-05
0	3	5	2.08E-05
0	4	0	4.43E-05
0	4	1	4.17E-05
0	4	2	3.54E-05
0	4	3	2.84E-05
0	4	4	2.21E-05
0	4	5	1.72E-05
0	5	0	2.84E-05
0	5	1	2.72E-05
0	5	2	2.43E-05
0	5	3	2.08E-05
0	5	4	1.72E-05
0	5	5	1.41E-05
1	0	0	2.40E-03
1	0	1	4.24E-04
1	0	2	1.45E-04
1	0	3	7.12E-05
1	0	4	4.17E-05
1	0	5	2.72E-05
1	1	0	4.24E-04
1	1	1	2.53E-04
1	1	2	1.20E-04
1	1	3	6.47E-05
1	1	4	3.93E-05
1	1	5	2.61E-05
1	2	0	1.45E-04
1	2	1	1.20E-04
1	2	2	7.94E-05
1	2	3	5.07E-05
1	2	4	3.36E-05
1	2	5	2.35E-05
1	3	0	7.12E-05
1	3	1	6.47E-05
1	3	2	5.07E-05
1	3	3	3.72E-05
1	3	4	2.71E-05
1	3	5	2.02E-05
1	4	0	4.17E-05
1	4	1	3.93E-05
1	4	2	3.36E-05
1	4	3	2.71E-05
1	4	4	2.14E-05
1	4	5	1.68E-05
1	5	0	2.72E-05
1	5	1	2.61E-05
1	5	2	2.35E-05
1	5	3	2.02E-05
1	5	4	1.68E-05
1	5	5	1.37E-05
2	0	0	1.82E-04
2	0	1	1.45E-04
2	0	2	8.95E-05
2	0	3	5.47E-05
2	0	4	3.54E-05
2	0	5	2.43E-05
2	1	0	1.45E-04
2	1	1	1.20E-04
2	1	2	7.94E-05
2	1	3	5.07E-05
2	1	4	3.36E-05
2	1	5	2.35E-05
2	2	0	8.95E-05
2	2	1	7.94E-05
2	2	2	5.90E-05
2	2	3	4.15E-05
2	2	4	2.95E-05
2	2	5	2.13E-05
2	3	0	5.47E-05
2	3	1	5.07E-05
2	3	2	4.15E-05
2	3	3	3.21E-05
2	3	4	2.43E-05
2	3	5	1.85E-05
2	4	0	3.54E-05
2	4	1	3.36E-05
2	4	2	2.95E-05
2	4	3	2.43E-05
2	4	4	1.95E-05
2	4	5	1.56E-05
2	5	0	2.43E-05
2	5	1	2.35E-05
2	5	2	2.13E-05
2	5	3	1.85E-05
2	5	4	1.56E-05
2	5	5	1.30E-05
3	0	0	7.92E-05
3	0	1	7.12E-05
3	0	2	5.47E-05
3	0	3	3.93E-05
3	0	4	2.84E-05
3	0	5	2.08E-05
3	1	0	7.12E-05
3	1	1	6.47E-05
3	1	2	5.07E-05
3	1	3	3.72E-05
3	1	4	2.71E-05
3	1	5	2.02E-05
3	2	0	5.47E-05
3	2	1	5.07E-05
3	2	2	4.15E-05
3	2	3	3.21E-05
3	2	4	2.43E-05
3	2	5	1.85E-05
3	3	0	3.93E-05
3	3	1	3.72E-05
3	3	2	3.21E-05
3	3	3	2.61E-05
3	3	4	2.08E-05
3	3	5	1.63E-05
3	4	0	2.84E-05
3	4	1	2.71E-05
3	4	2	2.43E-05
3	4	3	2.08E-05
3	4	4	1.71E-05
3	4	5	1.40E-05
3	5	0	2.08E-05
3	5	1	2.02E-05
3	5	2	1.85E-05
3	5	3	1.63E-05
3	5	4	1.40E-05
3	5	5	1.19E-05
4	0	0	4.43E-05
4	0	1	4.17E-05
4	0	2	3.54E-05
4	0	3	2.84E-05
4	0	4	2.21E-05
4	0	5	1.72E-05
4	1	0	4.17E-05
4	1	1	3.93E-05
4	1	2	3.36E-05
4	1	3	2.71E-05
4	1	4	2.14E-05
4	1	5	1.68E-05
4	2	0	3.54E-05
4	2	1	3.36E-05
4	2	2	2.95E-05
4	2	3	2.43E-05
4	2	4	1.95E-05
4	2	5	1.56E-05
4	3	0	2.84E-05
4	3	1	2.71E-05
4	3	2	2.43E-05
4	3	3	2.08E-05
4	3	4	1.71E-05
4	3	5	1.40E-05
4	4	0	2.21E-05
4	4	1	2.14E-05
4	4	2	1.95E-05
4	4	3	1.71E-05
4	4	4	1.47E-05
4	4	5	1.23E-05
4	5	0	1.72E-05
4	5	1	1.68E-05
4	5	2	1.56E-05
4	5	3	1.40E-05
4	5	4	1.23E-05
4	5	5	1.06E-05
5	0	0	2.84E-05
5	0	1	2.72E-05
5	0	2	2.43E-05
5	0	3	2.08E-05
5	0	4	1.72E-05
5	0	5	1.41E-05
5	1	0	2.72E-05
5	1	1	2.61E-05
