I131 - 5mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	1.26E-01
0	0	1	2.10E-03
0	0	2	1.68E-04
0	0	3	7.28E-05
0	0	4	4.06E-05
0	0	5	2.61E-05
0	1	0	2.10E-03
0	1	1	3.87E-04
0	1	2	1.34E-04
0	1	3	6.57E-05
0	1	4	3.85E-05
0	1	5	2.51E-05
0	2	0	1.68E-04
0	2	1	1.34E-04
0	2	2	8.22E-05
0	2	3	5.03E-05
0	2	4	3.26E-05
0	2	5	2.24E-05
0	3	0	7.28E-05
0	3	1	6.57E-05
0	3	2	5.03E-05
0	3	3	3.62E-05
0	3	4	2.61E-05
0	3	5	1.91E-05
0	4	0	4.06E-05
0	4	1	3.85E-05
0	4	2	3.26E-05
0	4	3	2.61E-05
0	4	4	2.02E-05
0	4	5	1.58E-05
0	5	0	2.61E-05
0	5	1	2.51E-05
0	5	2	2.24E-05
0	5	3	1.91E-05
0	5	4	1.58E-05
0	5	5	1.28E-05
1	0	0	2.10E-03
1	0	1	3.87E-04
1	0	2	1.34E-04
1	0	3	6.57E-05
1	0	4	3.85E-05
1	0	5	2.51E-05
1	1	0	3.87E-04
1	1	1	2.33E-04
1	1	2	1.11E-04
1	1	3	5.97E-05
1	1	4	3.62E-05
1	1	5	2.41E-05
1	2	0	1.34E-04
1	2	1	1.11E-04
1	2	2	7.33E-05
1	2	3	4.67E-05
1	2	4	3.11E-05
1	2	5	2.17E-05
1	3	0	6.57E-05
1	3	1	5.97E-05
1	3	2	4.67E-05
1	3	3	3.44E-05
1	3	4	2.50E-05
1	3	5	1.85E-05
1	4	0	3.85E-05
1	4	1	3.62E-05
1	4	2	3.11E-05
1	4	3	2.50E-05
1	4	4	1.96E-05
1	4	5	1.54E-05
1	5	0	2.51E-05
1	5	1	2.41E-05
1	5	2	2.17E-05
1	5	3	1.85E-05
1	5	4	1.54E-05
1	5	5	1.26E-05
2	0	0	1.68E-04
2	0	1	1.34E-04
2	0	2	8.22E-05
2	0	3	5.03E-05
2	0	4	3.26E-05
2	0	5	2.24E-05
2	1	0	1.34E-04
2	1	1	1.11E-04
2	1	2	7.33E-05
2	1	3	4.67E-05
2	1	4	3.11E-05
2	1	5	2.17E-05
2	2	0	8.22E-05
2	2	1	7.33E-05
2	2	2	5.46E-05
2	2	3	3.84E-05
2	2	4	2.71E-05
2	2	5	1.97E-05
2	3	0	5.03E-05
2	3	1	4.67E-05
2	3	2	3.84E-05
2	3	3	2.96E-05
2	3	4	2.24E-05
2	3	5	1.71E-05
2	4	0	3.26E-05
2	4	1	3.11E-05
2	4	2	2.71E-05
2	4	3	2.24E-05
2	4	4	1.81E-05
2	4	5	1.44E-05
2	5	0	2.24E-05
2	5	1	2.17E-05
2	5	2	1.97E-05
2	5	3	1.71E-05
2	5	4	1.44E-05
2	5	5	1.19E-05
3	0	0	7.28E-05
3	0	1	6.57E-05
3	0	2	5.03E-05
3	0	3	3.62E-05
3	0	4	2.61E-05
3	0	5	1.91E-05
3	1	0	6.57E-05
3	1	1	5.97E-05
3	1	2	4.67E-05
3	1	3	3.44E-05
3	1	4	2.50E-05
3	1	5	1.85E-05
3	2	0	5.03E-05
3	2	1	4.67E-05
3	2	2	3.84E-05
3	2	3	2.96E-05
3	2	4	2.24E-05
