I131 - 6mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.25E-01
0	0	1	2.47E-03
0	0	2	1.17E-04
0	0	3	5.12E-05
0	0	4	2.85E-05
0	0	5	1.83E-05
0	1	0	2.47E-03
0	1	1	2.98E-04
0	1	2	9.31E-05
0	1	3	4.57E-05
0	1	4	2.67E-05
0	1	5	1.74E-05
0	2	0	1.17E-04
0	2	1	9.31E-05
0	2	2	5.75E-05
0	2	3	3.51E-05
0	2	4	2.27E-05
0	2	5	1.56E-05
0	3	0	5.12E-05
0	3	1	4.57E-05
0	3	2	3.51E-05
0	3	3	2.53E-05
0	3	4	1.82E-05
0	3	5	1.33E-05
0	4	0	2.85E-05
0	4	1	2.67E-05
0	4	2	2.27E-05
0	4	3	1.82E-05
0	4	4	1.41E-05
0	4	5	1.10E-05
0	5	0	1.83E-05
0	5	1	1.74E-05
0	5	2	1.56E-05
0	5	3	1.33E-05
0	5	4	1.10E-05
0	5	5	8.92E-06
1	0	0	2.47E-03
1	0	1	2.98E-04
1	0	2	9.31E-05
1	0	3	4.57E-05
1	0	4	2.67E-05
1	0	5	1.74E-05
1	1	0	2.98E-04
1	1	1	1.63E-04
1	1	2	7.72E-05
1	1	3	4.15E-05
1	1	4	2.52E-05
1	1	5	1.68E-05
1	2	0	9.31E-05
1	2	1	7.72E-05
1	2	2	5.11E-05
1	2	3	3.26E-05
1	2	4	2.17E-05
1	2	5	1.51E-05
1	3	0	4.57E-05
1	3	1	4.15E-05
1	3	2	3.26E-05
1	3	3	2.38E-05
1	3	4	1.74E-05
1	3	5	1.29E-05
1	4	0	2.67E-05
1	4	1	2.52E-05
1	4	2	2.17E-05
1	4	3	1.74E-05
1	4	4	1.37E-05
1	4	5	1.08E-05
1	5	0	1.74E-05
1	5	1	1.68E-05
1	5	2	1.51E-05
1	5	3	1.29E-05
1	5	4	1.08E-05
1	5	5	8.84E-06
2	0	0	1.17E-04
2	0	1	9.31E-05
2	0	2	5.75E-05
2	0	3	3.51E-05
2	0	4	2.27E-05
2	0	5	1.56E-05
2	1	0	9.31E-05
2	1	1	7.72E-05
2	1	2	5.11E-05
2	1	3	3.26E-05
2	1	4	2.17E-05
2	1	5	1.51E-05
2	2	0	5.75E-05
2	2	1	5.11E-05
2	2	2	3.82E-05
2	2	3	2.67E-05
2	2	4	1.90E-05
2	2	5	1.38E-05
2	3	0	3.51E-05
2	3	1	3.26E-05
2	3	2	2.67E-05
2	3	3	2.07E-05
2	3	4	1.56E-05
2	3	5	1.19E-05
2	4	0	2.27E-05
2	4	1	2.17E-05
2	4	2	1.90E-05
2	4	3	1.56E-05
2	4	4	1.25E-05
2	4	5	1.00E-05
2	5	0	1.56E-05
2	5	1	1.51E-05
2	5	2	1.38E-05
2	5	3	1.19E-05
2	5	4	1.00E-05
2	5	5	8.31E-06
3	0	0	5.12E-05
3	0	1	4.57E-05
3	0	2	3.51E-05
3	0	3	2.53E-05
3	0	4	1.82E-05
3	0	5	1.33E-05
3	1	0	4.57E-05
3	1	1	4.15E-05
3	1	2	3.26E-05
3	1	3	2.38E-05
3	1	4	1.74E-05
3	1	5	1.29E-05
3	2	0	3.51E-05
3	2	1	3.26E-05
3	2	2	2.67E-05
3	2	3	2.07E-05
3	2	4	1.56E-05
3	2	5	1.19E-05
3	3	0	2.53E-05
3	3	1	2.38E-05
3	3	2	2.07E-05
3	3	3	1.68E-05
3	3	4	1.33E-05
3	3	5	1.05E-05
3	4	0	1.82E-05
3	4	1	1.74E-05
3	4	2	1.56E-05
3	4	3	1.33E-05
3	4	4	1.10E-05
3	4	5	8.94E-06
3	5	0	1.33E-05
3	5	1	1.29E-05
3	5	2	1.19E-05
3	5	3	1.05E-05
3	5	4	8.94E-06
3	5	5	7.58E-06
4	0	0	2.85E-05
4	0	1	2.67E-05
4	0	2	2.27E-05
4	0	3	1.82E-05
4	0	4	1.41E-05
4	0	5	1.10E-05
4	1	0	2.67E-05
4	1	1	2.52E-05
4	1	2	2.17E-05
4	1	3	1.74E-05
4	1	4	1.37E-05
4	1	5	1.08E-05
4	2	0	2.27E-05
4	2	1	2.17E-05
4	2	2	1.90E-05
4	2	3	1.56E-05
4	2	4	1.25E-05
4	2	5	1.00E-05
4	3	0	1.82E-05
