I131 - 9.28mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	2.08E-02
0	0	1	3.40E-04
0	0	2	4.87E-05
0	0	3	2.12E-05
0	0	4	1.18E-05
0	0	5	7.38E-06
0	1	0	3.40E-04
0	1	1	1.07E-04
0	1	2	3.88E-05
0	1	3	1.91E-05
0	1	4	1.11E-05
0	1	5	7.07E-06
0	2	0	4.87E-05
0	2	1	3.88E-05
0	2	2	2.40E-05
0	2	3	1.46E-05
0	2	4	9.32E-06
0	2	5	6.28E-06
0	3	0	2.12E-05
0	3	1	1.91E-05
0	3	2	1.46E-05
0	3	3	1.04E-05
0	3	4	7.37E-06
0	3	5	5.30E-06
0	4	0	1.18E-05
0	4	1	1.11E-05
0	4	2	9.32E-06
0	4	3	7.37E-06
0	4	4	5.63E-06
0	4	5	4.30E-06
0	5	0	7.38E-06
0	5	1	7.07E-06
0	5	2	6.28E-06
0	5	3	5.30E-06
0	5	4	4.30E-06
0	5	5	3.44E-06
1	0	0	3.40E-04
1	0	1	1.07E-04
1	0	2	3.88E-05
1	0	3	1.91E-05
1	0	4	1.11E-05
1	0	5	7.07E-06
1	1	0	1.07E-04
1	1	1	6.75E-05
1	1	2	3.23E-05
1	1	3	1.73E-05
1	1	4	1.04E-05
1	1	5	6.79E-06
1	2	0	3.88E-05
1	2	1	3.23E-05
1	2	2	2.13E-05
1	2	3	1.35E-05
1	2	4	8.88E-06
1	2	5	6.07E-06
1	3	0	1.91E-05
1	3	1	1.73E-05
1	3	2	1.35E-05
1	3	3	9.85E-06
1	3	4	7.06E-06
1	3	5	5.13E-06
1	4	0	1.11E-05
1	4	1	1.04E-05
1	4	2	8.88E-06
1	4	3	7.06E-06
1	4	4	5.48E-06
1	4	5	4.18E-06
1	5	0	7.07E-06
1	5	1	6.79E-06
1	5	2	6.07E-06
1	5	3	5.13E-06
1	5	4	4.18E-06
1	5	5	3.36E-06
2	0	0	4.87E-05
2	0	1	3.88E-05
2	0	2	2.40E-05
2	0	3	1.46E-05
2	0	4	9.32E-06
2	0	5	6.28E-06
2	1	0	3.88E-05
2	1	1	3.23E-05
2	1	2	2.13E-05
2	1	3	1.35E-05
2	1	4	8.88E-06
2	1	5	6.07E-06
2	2	0	2.40E-05
2	2	1	2.13E-05
2	2	2	1.58E-05
2	2	3	1.10E-05
2	2	4	7.71E-06
2	2	5	5.47E-06
2	3	0	1.46E-05
2	3	1	1.35E-05
2	3	2	1.10E-05
2	3	3	8.44E-06
2	3	4	6.28E-06
2	3	5	4.68E-06
2	4	0	9.32E-06
2	4	1	8.88E-06
2	4	2	7.71E-06
2	4	3	6.28E-06
2	4	4	4.98E-06
2	4	5	3.87E-06
2	5	0	6.28E-06
2	5	1	6.07E-06
2	5	2	5.47E-06
2	5	3	4.68E-06
2	5	4	3.87E-06
2	5	5	3.14E-06
3	0	0	2.12E-05
3	0	1	1.91E-05
3	0	2	1.46E-05
3	0	3	1.04E-05
3	0	4	7.37E-06
3	0	5	5.30E-06
3	1	0	1.91E-05
3	1	1	1.73E-05
3	1	2	1.35E-05
3	1	3	9.85E-06
3	1	4	7.06E-06
3	1	5	5.13E-06
3	2	0	1.46E-05
3	2	1	1.35E-05
3	2	2	1.10E-05
3	2	3	8.44E-06
3	2	4	6.28E-06
3	2	5	4.68E-06
3	3	0	1.04E-05
3	3	1	9.85E-06
3	3	2	8.44E-06
3	3	3	6.80E-06
3	3	4	5.28E-06
3	3	5	4.08E-06
3	4	0	7.37E-06
3	4	1	7.06E-06
3	4	2	6.28E-06
3	4	3	5.28E-06
3	4	4	4.31E-06
3	4	5	3.43E-06
3	5	0	5.30E-06
3	5	1	5.13E-06
3	5	2	4.68E-06
3	5	3	4.08E-06
3	5	4	3.43E-06
3	5	5	2.83E-06
4	0	0	1.18E-05
4	0	1	1.11E-05
4	0	2	9.32E-06
4	0	3	7.37E-06
4	0	4	5.63E-06
4	0	5	4.30E-06
4	1	0	1.11E-05
4	1	1	1.04E-05
4	1	2	8.88E-06
4	1	3	7.06E-06
4	1	4	5.48E-06
4	1	5	4.18E-06
4	2	0	9.32E-06
4	2	1	8.88E-06
4	2	2	7.71E-06
4	2	3	6.28E-06
4	2	4	4.98E-06
4	2	5	3.87E-06
4	3	0	7.37E-06
4	3	1	7.06E-06
4	3	2	6.28E-06
4	3	3	5.28E-06
4	3	4	4.31E-06
4	3	5	3.43E-06
4	4	0	5.63E-06
4	4	1	5.48E-06
4	4	2	4.98E-06
4	4	3	4.31E-06
4	4	4	3.60E-06
4	4	5	2.95E-06
4	5	0	4.30E-06
4	5	1	4.18E-06
4	5	2	3.87E-06
4	5	3	3.43E-06
4	5	4	2.95E-06
4	5	5	2.48E-06
5	0	0	7.38E-06
5	0	1	7.07E-06
5	0	2	6.28E-06
5	0	3	5.30E-06
5	0	4	4.30E-06
5	0	5	3.44E-06
5	1	0	7.07E-06
5	1	1	6.79E-06
5	1	2	6.07E-06
5	1	3	5.13E-06
5	1	4	4.18E-06
5	1	5	3.36E-06
5	2	0	6.28E-06
5	2	1	6.07E-06
5	2	2	5.47E-06
5	2	3	4.68E-06
5	2	4	3.87E-06
5	2	5	3.14E-06
5	3	0	5.30E-06
5	3	1	5.13E-06
5	3	2	4.68E-06
5	3	3	4.08E-06
5	3	4	3.43E-06
5	3	5	2.83E-06
5	4	0	4.30E-06
5	4	1	4.18E-06
5	4	2	3.87E-06
5	4	3	3.43E-06
5	4	4	2.95E-06
5	4	5	2.48E-06
5	5	0	3.44E-06
5	5	1	3.36E-06
5	5	2	3.14E-06
5	5	3	2.83E-06
5	5	4	2.48E-06
5	5	5	2.12E-06
