Sm153 - 2.33mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.35E+00
0	0	1	4.26E-02
0	0	2	4.98E-04
0	0	3	2.04E-04
0	0	4	1.06E-04
0	0	5	6.26E-05
0	1	0	4.26E-02
0	1	1	2.99E-03
0	1	2	3.92E-04
0	1	3	1.81E-04
0	1	4	9.89E-05
0	1	5	5.97E-05
0	2	0	4.98E-04
0	2	1	3.92E-04
0	2	2	2.33E-04
0	2	3	1.35E-04
0	2	4	8.18E-05
0	2	5	5.22E-05
0	3	0	2.04E-04
0	3	1	1.81E-04
0	3	2	1.35E-04
0	3	3	9.24E-05
0	3	4	6.25E-05
0	3	5	4.29E-05
0	4	0	1.06E-04
0	4	1	9.89E-05
0	4	2	8.18E-05
0	4	3	6.25E-05
0	4	4	4.62E-05
0	4	5	3.38E-05
0	5	0	6.26E-05
0	5	1	5.97E-05
0	5	2	5.22E-05
0	5	3	4.29E-05
0	5	4	3.38E-05
0	5	5	2.64E-05
1	0	0	4.26E-02
1	0	1	2.99E-03
1	0	2	3.92E-04
1	0	3	1.81E-04
1	0	4	9.89E-05
1	0	5	5.97E-05
1	1	0	2.99E-03
1	1	1	8.02E-04
1	1	2	3.21E-04
1	1	3	1.63E-04
1	1	4	9.26E-05
1	1	5	5.71E-05
1	2	0	3.92E-04
1	2	1	3.21E-04
1	2	2	2.04E-04
1	2	3	1.24E-04
1	2	4	7.70E-05
1	2	5	5.01E-05
1	3	0	1.81E-04
1	3	1	1.63E-04
1	3	2	1.24E-04
1	3	3	8.68E-05
1	3	4	5.96E-05
1	3	5	4.14E-05
1	4	0	9.89E-05
1	4	1	9.26E-05
1	4	2	7.70E-05
1	4	3	5.96E-05
1	4	4	4.45E-05
1	4	5	3.30E-05
1	5	0	5.97E-05
1	5	1	5.71E-05
1	5	2	5.01E-05
1	5	3	4.14E-05
1	5	4	3.30E-05
1	5	5	2.57E-05
2	0	0	4.98E-04
2	0	1	3.92E-04
2	0	2	2.33E-04
2	0	3	1.35E-04
2	0	4	8.18E-05
2	0	5	5.22E-05
2	1	0	3.92E-04
2	1	1	3.21E-04
2	1	2	2.04E-04
2	1	3	1.24E-04
2	1	4	7.70E-05
2	1	5	5.01E-05
2	2	0	2.33E-04
2	2	1	2.04E-04
2	2	2	1.47E-04
2	2	3	9.87E-05
2	2	4	6.56E-05
2	2	5	4.46E-05
2	3	0	1.35E-04
2	3	1	1.24E-04
2	3	2	9.87E-05
2	3	3	7.28E-05
2	3	4	5.22E-05
2	3	5	3.74E-05
2	4	0	8.18E-05
2	4	1	7.70E-05
2	4	2	6.56E-05
2	4	3	5.22E-05
2	4	4	4.01E-05
2	4	5	3.01E-05
2	5	0	5.22E-05
2	5	1	5.01E-05
2	5	2	4.46E-05
2	5	3	3.74E-05
2	5	4	3.01E-05
2	5	5	2.39E-05
3	0	0	2.04E-04
3	0	1	1.81E-04
3	0	2	1.35E-04
3	0	3	9.24E-05
3	0	4	6.25E-05
3	0	5	4.29E-05
3	1	0	1.81E-04
3	1	1	1.63E-04
3	1	2	1.24E-04
3	1	3	8.68E-05
3	1	4	5.96E-05
3	1	5	4.14E-05
3	2	0	1.35E-04
3	2	1	1.24E-04
3	2	2	9.87E-05
3	2	3	7.28E-05
3	2	4	5.22E-05
3	2	5	3.74E-05
3	3	0	9.24E-05
3	3	1	8.68E-05
3	3	2	7.28E-05
3	3	3	5.71E-05
3	3	4	4.30E-05
3	3	5	3.19E-05
3	4	0	6.25E-05
3	4	1	5.96E-05
3	4	2	5.22E-05
3	4	3	4.30E-05
3	4	4	3.40E-05
3	4	5	2.63E-05
3	5	0	4.29E-05
3	5	1	4.14E-05
3	5	2	3.74E-05
3	5	3	3.19E-05
3	5	4	2.63E-05
3	5	5	2.13E-05
4	0	0	1.06E-04
4	0	1	9.89E-05
4	0	2	8.18E-05
4	0	3	6.25E-05
4	0	4	4.62E-05
4	0	5	3.38E-05
4	1	0	9.89E-05
4	1	1	9.26E-05
4	1	2	7.70E-05
4	1	3	5.96E-05
4	1	4	4.45E-05
4	1	5	3.30E-05
4	2	0	8.18E-05
4	2	1	7.70E-05
4	2	2	6.56E-05
4	2	3	5.22E-05
4	2	4	4.01E-05
4	2	5	3.01E-05
4	3	0	6.25E-05
4	3	1	5.96E-05
4	3	2	5.22E-05
4	3	3	4.30E-05
4	3	4	3.40E-05
4	3	5	2.63E-05
4	4	0	4.62E-05
4	4	1	4.45E-05
4	4	2	4.01E-05
4	4	3	3.40E-05
4	4	4	2.78E-05
4	4	5	2.22E-05
4	5	0	3.38E-05
4	5	1	3.30E-05
4	5	2	3.01E-05
4	5	3	2.63E-05
4	5	4	2.22E-05
4	5	5	1.84E-05
5	0	0	6.26E-05
5	0	1	5.97E-05
5	0	2	5.22E-05
5	0	3	4.29E-05
5	0	4	3.38E-05
5	0	5	2.64E-05
5	1	0	5.97E-05
5	1	1	5.71E-05
5	1	2	5.01E-05
5	1	3	4.14E-05
5	1	4	3.30E-05
5	1	5	2.57E-05
5	2	0	5.22E-05
5	2	1	5.01E-05
5	2	2	4.46E-05
5	2	3	3.74E-05
5	2	4	3.01E-05
5	2	5	2.39E-05
5	3	0	4.29E-05
5	3	1	4.14E-05
5	3	2	3.74E-05
5	3	3	3.19E-05
5	3	4	2.63E-05
5	3	5	2.13E-05
5	4	0	3.38E-05
5	4	1	3.30E-05
5	4	2	3.01E-05
5	4	3	2.63E-05
5	4	4	2.22E-05
5	4	5	1.84E-05
5	5	0	2.64E-05
5	5	1	2.57E-05
5	5	2	2.39E-05
5	5	3	2.13E-05
5	5	4	1.84E-05
5	5	5	1.54E-05
