Sm153 - 3.59mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	6.28E-01
0	0	1	2.20E-02
0	0	2	7.29E-05
0	0	3	3.35E-05
0	0	4	1.95E-05
0	0	5	1.28E-05
0	1	0	2.20E-02
0	1	1	1.33E-03
0	1	2	5.88E-05
0	1	3	3.03E-05
0	1	4	1.84E-05
0	1	5	1.24E-05
0	2	0	7.29E-05
0	2	1	5.88E-05
0	2	2	3.74E-05
0	2	3	2.36E-05
0	2	4	1.58E-05
0	2	5	1.12E-05
0	3	0	3.35E-05
0	3	1	3.03E-05
0	3	2	2.36E-05
0	3	3	1.75E-05
0	3	4	1.28E-05
0	3	5	9.64E-06
0	4	0	1.95E-05
0	4	1	1.84E-05
0	4	2	1.58E-05
0	4	3	1.28E-05
0	4	4	1.02E-05
0	4	5	8.11E-06
0	5	0	1.28E-05
0	5	1	1.24E-05
0	5	2	1.12E-05
0	5	3	9.64E-06
0	5	4	8.11E-06
0	5	5	6.67E-06
1	0	0	2.20E-02
1	0	1	1.33E-03
1	0	2	5.88E-05
1	0	3	3.03E-05
1	0	4	1.84E-05
1	0	5	1.24E-05
1	1	0	1.33E-03
1	1	1	1.75E-04
1	1	2	4.93E-05
1	1	3	2.76E-05
1	1	4	1.74E-05
1	1	5	1.19E-05
1	2	0	5.88E-05
1	2	1	4.93E-05
1	2	2	3.35E-05
1	2	3	2.21E-05
1	2	4	1.51E-05
1	2	5	1.08E-05
1	3	0	3.03E-05
1	3	1	2.76E-05
1	3	2	2.21E-05
1	3	3	1.66E-05
1	3	4	1.24E-05
1	3	5	9.36E-06
1	4	0	1.84E-05
1	4	1	1.74E-05
1	4	2	1.51E-05
1	4	3	1.24E-05
1	4	4	9.90E-06
1	4	5	7.89E-06
1	5	0	1.24E-05
1	5	1	1.19E-05
1	5	2	1.08E-05
1	5	3	9.36E-06
1	5	4	7.89E-06
1	5	5	6.55E-06
2	0	0	7.29E-05
2	0	1	5.88E-05
2	0	2	3.74E-05
2	0	3	2.36E-05
2	0	4	1.58E-05
2	0	5	1.12E-05
2	1	0	5.88E-05
2	1	1	4.93E-05
2	1	2	3.35E-05
2	1	3	2.21E-05
2	1	4	1.51E-05
2	1	5	1.08E-05
2	2	0	3.74E-05
2	2	1	3.35E-05
2	2	2	2.56E-05
2	2	3	1.84E-05
2	2	4	1.33E-05
2	2	5	9.90E-06
2	3	0	2.36E-05
2	3	1	2.21E-05
2	3	2	1.84E-05
2	3	3	1.44E-05
2	3	4	1.12E-05
2	3	5	8.64E-06
2	4	0	1.58E-05
2	4	1	1.51E-05
2	4	2	1.33E-05
2	4	3	1.12E-05
2	4	4	9.13E-06
2	4	5	7.39E-06
2	5	0	1.12E-05
2	5	1	1.08E-05
2	5	2	9.90E-06
2	5	3	8.64E-06
2	5	4	7.39E-06
2	5	5	6.22E-06
3	0	0	3.35E-05
3	0	1	3.03E-05
3	0	2	2.36E-05
3	0	3	1.75E-05
3	0	4	1.28E-05
3	0	5	9.64E-06
3	1	0	3.03E-05
3	1	1	2.76E-05
3	1	2	2.21E-05
3	1	3	1.66E-05
3	1	4	1.24E-05
3	1	5	9.36E-06
3	2	0	2.36E-05
3	2	1	2.21E-05
3	2	2	1.84E-05
3	2	3	1.44E-05
3	2	4	1.12E-05
3	2	5	8.64E-06
3	3	0	1.75E-05
3	3	1	1.66E-05
3	3	2	1.44E-05
3	3	3	1.20E-05
3	3	4	9.64E-06
3	3	5	7.69E-06
3	4	0	1.28E-05
3	4	1	1.24E-05
3	4	2	1.12E-05
3	4	3	9.64E-06
3	4	4	8.06E-06
3	4	5	6.68E-06
3	5	0	9.64E-06
3	5	1	9.36E-06
3	5	2	8.64E-06
3	5	3	7.69E-06
3	5	4	6.68E-06
3	5	5	5.71E-06
4	0	0	1.95E-05
4	0	1	1.84E-05
4	0	2	1.58E-05
4	0	3	1.28E-05
4	0	4	1.02E-05
4	0	5	8.11E-06
4	1	0	1.84E-05
4	1	1	1.74E-05
4	1	2	1.51E-05
4	1	3	1.24E-05
4	1	4	9.90E-06
4	1	5	7.89E-06
4	2	0	1.58E-05
4	2	1	1.51E-05
4	2	2	1.33E-05
4	2	3	1.12E-05
4	2	4	9.13E-06
4	2	5	7.39E-06
4	3	0	1.28E-05
4	3	1	1.24E-05
4	3	2	1.12E-05
4	3	3	9.64E-06
4	3	4	8.06E-06
4	3	5	6.68E-06
4	4	0	1.02E-05
4	4	1	9.90E-06
4	4	2	9.13E-06
4	4	3	8.06E-06
4	4	4	6.94E-06
4	4	5	5.89E-06
4	5	0	8.11E-06
4	5	1	7.89E-06
4	5	2	7.39E-06
4	5	3	6.68E-06
4	5	4	5.89E-06
4	5	5	5.13E-06
5	0	0	1.28E-05
5	0	1	1.24E-05
5	0	2	1.12E-05
5	0	3	9.64E-06
5	0	4	8.11E-06
5	0	5	6.67E-06
5	1	0	1.24E-05
5	1	1	1.19E-05
5	1	2	1.08E-05
5	1	3	9.36E-06
5	1	4	7.89E-06
5	1	5	6.55E-06
5	2	0	1.12E-05
5	2	1	1.08E-05
5	2	2	9.90E-06
5	2	3	8.64E-06
5	2	4	7.39E-06
5	2	5	6.22E-06
5	3	0	9.64E-06
5	3	1	9.36E-06
5	3	2	8.64E-06
5	3	3	7.69E-06
5	3	4	6.68E-06
5	3	5	5.71E-06
5	4	0	8.11E-06
5	4	1	7.89E-06
5	4	2	7.39E-06
5	4	3	6.68E-06
5	4	4	5.89E-06
5	4	5	5.13E-06
5	5	0	6.67E-06
5	5	1	6.55E-06
5	5	2	6.22E-06
5	5	3	5.71E-06
5	5	4	5.13E-06
5	5	5	4.55E-06
