Sm153 - 3mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	6.51E-01
0	0	1	1.66E-02
0	0	2	2.91E-04
0	0	3	1.16E-04
0	0	4	5.87E-05
0	0	5	3.36E-05
0	1	0	1.66E-02
0	1	1	1.20E-03
0	1	2	2.28E-04
0	1	3	1.03E-04
0	1	4	5.45E-05
0	1	5	3.20E-05
0	2	0	2.91E-04
0	2	1	2.28E-04
0	2	2	1.33E-04
0	2	3	7.53E-05
0	2	4	4.45E-05
0	2	5	2.79E-05
0	3	0	1.16E-04
0	3	1	1.03E-04
0	3	2	7.53E-05
0	3	3	5.07E-05
0	3	4	3.36E-05
0	3	5	2.26E-05
0	4	0	5.87E-05
0	4	1	5.45E-05
0	4	2	4.45E-05
0	4	3	3.36E-05
0	4	4	2.46E-05
0	4	5	1.76E-05
0	5	0	3.36E-05
0	5	1	3.20E-05
0	5	2	2.79E-05
0	5	3	2.26E-05
0	5	4	1.76E-05
0	5	5	1.35E-05
1	0	0	1.66E-02
1	0	1	1.20E-03
1	0	2	2.28E-04
1	0	3	1.03E-04
1	0	4	5.45E-05
1	0	5	3.20E-05
1	1	0	1.20E-03
1	1	1	4.34E-04
1	1	2	1.85E-04
1	1	3	9.17E-05
1	1	4	5.08E-05
1	1	5	3.05E-05
1	2	0	2.28E-04
1	2	1	1.85E-04
1	2	2	1.16E-04
1	2	3	6.89E-05
1	2	4	4.19E-05
1	2	5	2.67E-05
1	3	0	1.03E-04
1	3	1	9.17E-05
1	3	2	6.89E-05
1	3	3	4.75E-05
1	3	4	3.20E-05
1	3	5	2.18E-05
1	4	0	5.45E-05
1	4	1	5.08E-05
1	4	2	4.19E-05
1	4	3	3.20E-05
1	4	4	2.35E-05
1	4	5	1.71E-05
1	5	0	3.20E-05
1	5	1	3.05E-05
1	5	2	2.67E-05
1	5	3	2.18E-05
1	5	4	1.71E-05
1	5	5	1.32E-05
2	0	0	2.91E-04
2	0	1	2.28E-04
2	0	2	1.33E-04
2	0	3	7.53E-05
2	0	4	4.45E-05
2	0	5	2.79E-05
2	1	0	2.28E-04
2	1	1	1.85E-04
2	1	2	1.16E-04
2	1	3	6.89E-05
2	1	4	4.19E-05
2	1	5	2.67E-05
2	2	0	1.33E-04
2	2	1	1.16E-04
2	2	2	8.29E-05
2	2	3	5.44E-05
2	2	4	3.55E-05
2	2	5	2.36E-05
2	3	0	7.53E-05
2	3	1	6.89E-05
2	3	2	5.44E-05
2	3	3	3.96E-05
2	3	4	2.78E-05
2	3	5	1.96E-05
2	4	0	4.45E-05
2	4	1	4.19E-05
2	4	2	3.55E-05
2	4	3	2.78E-05
2	4	4	2.10E-05
2	4	5	1.56E-05
2	5	0	2.79E-05
2	5	1	2.67E-05
2	5	2	2.36E-05
2	5	3	1.96E-05
2	5	4	1.56E-05
2	5	5	1.22E-05
3	0	0	1.16E-04
3	0	1	1.03E-04
3	0	2	7.53E-05
3	0	3	5.07E-05
3	0	4	3.36E-05
3	0	5	2.26E-05
3	1	0	1.03E-04
3	1	1	9.17E-05
3	1	2	6.89E-05
3	1	3	4.75E-05
3	1	4	3.20E-05
3	1	5	2.18E-05
3	2	0	7.53E-05
3	2	1	6.89E-05
3	2	2	5.44E-05
3	2	3	3.96E-05
3	2	4	2.78E-05
3	2	5	1.96E-05
3	3	0	5.07E-05
3	3	1	4.75E-05
3	3	2	3.96E-05
3	3	3	3.06E-05
3	3	4	2.27E-05
3	3	5	1.66E-05
3	4	0	3.36E-05
3	4	1	3.20E-05
3	4	2	2.78E-05
3	4	3	2.27E-05
3	4	4	1.78E-05
3	4	5	1.35E-05
3	5	0	2.26E-05
3	5	1	2.18E-05
3	5	2	1.96E-05
3	5	3	1.66E-05
3	5	4	1.35E-05
3	5	5	1.08E-05
4	0	0	5.87E-05
4	0	1	5.45E-05
4	0	2	4.45E-05
4	0	3	3.36E-05
