Sm153 - 4.42mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	2.14E-01
0	0	1	4.01E-03
0	0	2	1.24E-04
0	0	3	4.64E-05
0	0	4	2.22E-05
0	0	5	1.22E-05
0	1	0	4.01E-03
0	1	1	3.71E-04
0	1	2	9.56E-05
0	1	3	4.08E-05
0	1	4	2.06E-05
0	1	5	1.16E-05
0	2	0	1.24E-04
0	2	1	9.56E-05
0	2	2	5.40E-05
0	2	3	2.92E-05
0	2	4	1.65E-05
0	2	5	9.93E-06
0	3	0	4.64E-05
0	3	1	4.08E-05
0	3	2	2.92E-05
0	3	3	1.91E-05
0	3	4	1.22E-05
0	3	5	7.95E-06
0	4	0	2.22E-05
0	4	1	2.06E-05
0	4	2	1.65E-05
0	4	3	1.22E-05
0	4	4	8.64E-06
0	4	5	6.08E-06
0	5	0	1.22E-05
0	5	1	1.16E-05
0	5	2	9.93E-06
0	5	3	7.95E-06
0	5	4	6.08E-06
0	5	5	4.55E-06
1	0	0	4.01E-03
1	0	1	3.71E-04
1	0	2	9.56E-05
1	0	3	4.08E-05
1	0	4	2.06E-05
1	0	5	1.16E-05
1	1	0	3.71E-04
1	1	1	1.81E-04
1	1	2	7.68E-05
1	1	3	3.62E-05
1	1	4	1.91E-05
1	1	5	1.10E-05
1	2	0	9.56E-05
1	2	1	7.68E-05
1	2	2	4.66E-05
1	2	3	2.65E-05
1	2	4	1.55E-05
1	2	5	9.46E-06
1	3	0	4.08E-05
1	3	1	3.62E-05
1	3	2	2.65E-05
1	3	3	1.77E-05
1	3	4	1.16E-05
1	3	5	7.63E-06
1	4	0	2.06E-05
1	4	1	1.91E-05
1	4	2	1.55E-05
1	4	3	1.16E-05
1	4	4	8.30E-06
1	4	5	5.88E-06
1	5	0	1.16E-05
1	5	1	1.10E-05
1	5	2	9.46E-06
1	5	3	7.63E-06
1	5	4	5.88E-06
1	5	5	4.43E-06
2	0	0	1.24E-04
2	0	1	9.56E-05
2	0	2	5.40E-05
2	0	3	2.92E-05
2	0	4	1.65E-05
2	0	5	9.93E-06
2	1	0	9.56E-05
2	1	1	7.68E-05
2	1	2	4.66E-05
2	1	3	2.65E-05
2	1	4	1.55E-05
2	1	5	9.46E-06
2	2	0	5.40E-05
2	2	1	4.66E-05
2	2	2	3.24E-05
2	2	3	2.06E-05
2	2	4	1.29E-05
2	2	5	8.29E-06
2	3	0	2.92E-05
2	3	1	2.65E-05
2	3	2	2.06E-05
2	3	3	1.45E-05
2	3	4	9.96E-06
2	3	5	6.79E-06
2	4	0	1.65E-05
2	4	1	1.55E-05
2	4	2	1.29E-05
2	4	3	9.96E-06
2	4	4	7.33E-06
2	4	5	5.33E-06
2	5	0	9.93E-06
2	5	1	9.46E-06
2	5	2	8.29E-06
2	5	3	6.79E-06
2	5	4	5.33E-06
2	5	5	4.08E-06
3	0	0	4.64E-05
3	0	1	4.08E-05
3	0	2	2.92E-05
3	0	3	1.91E-05
3	0	4	1.22E-05
3	0	5	7.95E-06
3	1	0	4.08E-05
3	1	1	3.62E-05
3	1	2	2.65E-05
3	1	3	1.77E-05
3	1	4	1.16E-05
3	1	5	7.63E-06
3	2	0	2.92E-05
3	2	1	2.65E-05
3	2	2	2.06E-05
3	2	3	1.45E-05
3	2	4	9.96E-06
3	2	5	6.79E-06
3	3	0	1.91E-05
3	3	1	1.77E-05
3	3	2	1.45E-05
3	3	3	1.10E-05
3	3	4	7.94E-06
3	3	5	5.67E-06
3	4	0	1.22E-05
3	4	1	1.16E-05
3	4	2	9.96E-06
3	4	3	7.94E-06
3	4	4	6.09E-06
3	4	5	4.56E-06
3	5	0	7.95E-06
3	5	1	7.63E-06
3	5	2	6.79E-06
3	5	3	5.67E-06
3	5	4	4.56E-06
3	5	5	3.58E-06
4	0	0	2.22E-05
4	0	1	2.06E-05
4	0	2	1.65E-05
4	0	3	1.22E-05
4	0	4	8.64E-06
4	0	5	6.08E-06
4	1	0	2.06E-05
4	1	1	1.91E-05
4	1	2	1.55E-05
4	1	3	1.16E-05
4	1	4	8.30E-06
4	1	5	5.88E-06
4	2	0	1.65E-05
4	2	1	1.55E-05
4	2	2	1.29E-05
4	2	3	9.96E-06
4	2	4	7.33E-06
4	2	5	5.33E-06
4	3	0	1.22E-05
4	3	1	1.16E-05
4	3	2	9.96E-06
4	3	3	7.94E-06
4	3	4	6.09E-06
4	3	5	4.56E-06
4	4	0	8.64E-06
4	4	1	8.30E-06
4	4	2	7.33E-06
4	4	3	6.09E-06
4	4	4	4.87E-06
4	4	5	3.77E-06
4	5	0	6.08E-06
4	5	1	5.88E-06
4	5	2	5.33E-06
4	5	3	4.56E-06
4	5	4	3.77E-06
4	5	5	3.03E-06
5	0	0	1.22E-05
5	0	1	1.16E-05
5	0	2	9.93E-06
5	0	3	7.95E-06
5	0	4	6.08E-06
5	0	5	4.55E-06
5	1	0	1.16E-05
5	1	1	1.10E-05
5	1	2	9.46E-06
5	1	3	7.63E-06
5	1	4	5.88E-06
5	1	5	4.43E-06
5	2	0	9.93E-06
5	2	1	9.46E-06
5	2	2	8.29E-06
5	2	3	6.79E-06
5	2	4	5.33E-06
5	2	5	4.08E-06
5	3	0	7.95E-06
5	3	1	7.63E-06
5	3	2	6.79E-06
5	3	3	5.67E-06
5	3	4	4.56E-06
5	3	5	3.58E-06
5	4	0	6.08E-06
5	4	1	5.88E-06
5	4	2	5.33E-06
5	4	3	4.56E-06
5	4	4	3.77E-06
5	4	5	3.03E-06
5	5	0	4.55E-06
5	5	1	4.43E-06
5	5	2	4.08E-06
5	5	3	3.58E-06
5	5	4	3.03E-06
5	5	5	2.49E-06
