Sm153 - 4mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	4.64E-01
0	0	1	1.46E-02
0	0	2	5.92E-05
0	0	3	2.74E-05
0	0	4	1.60E-05
0	0	5	1.04E-05
0	1	0	1.46E-02
0	1	1	8.18E-04
0	1	2	4.79E-05
0	1	3	2.48E-05
0	1	4	1.51E-05
0	1	5	1.01E-05
0	2	0	5.92E-05
0	2	1	4.79E-05
0	2	2	3.06E-05
0	2	3	1.94E-05
0	2	4	1.29E-05
0	2	5	9.14E-06
0	3	0	2.74E-05
0	3	1	2.48E-05
0	3	2	1.94E-05
0	3	3	1.43E-05
0	3	4	1.05E-05
0	3	5	7.87E-06
0	4	0	1.60E-05
0	4	1	1.51E-05
0	4	2	1.29E-05
0	4	3	1.05E-05
0	4	4	8.35E-06
0	4	5	6.60E-06
0	5	0	1.04E-05
0	5	1	1.01E-05
0	5	2	9.14E-06
0	5	3	7.87E-06
0	5	4	6.60E-06
0	5	5	5.44E-06
1	0	0	1.46E-02
1	0	1	8.18E-04
1	0	2	4.79E-05
1	0	3	2.48E-05
1	0	4	1.51E-05
1	0	5	1.01E-05
1	1	0	8.18E-04
1	1	1	1.20E-04
1	1	2	4.03E-05
1	1	3	2.26E-05
1	1	4	1.43E-05
1	1	5	9.76E-06
1	2	0	4.79E-05
1	2	1	4.03E-05
1	2	2	2.74E-05
1	2	3	1.81E-05
1	2	4	1.24E-05
1	2	5	8.84E-06
1	3	0	2.48E-05
1	3	1	2.26E-05
1	3	2	1.81E-05
1	3	3	1.36E-05
1	3	4	1.01E-05
1	3	5	7.67E-06
1	4	0	1.51E-05
1	4	1	1.43E-05
1	4	2	1.24E-05
1	4	3	1.01E-05
1	4	4	8.09E-06
1	4	5	6.44E-06
1	5	0	1.01E-05
1	5	1	9.76E-06
1	5	2	8.84E-06
1	5	3	7.67E-06
1	5	4	6.44E-06
1	5	5	5.33E-06
2	0	0	5.92E-05
2	0	1	4.79E-05
2	0	2	3.06E-05
2	0	3	1.94E-05
2	0	4	1.29E-05
2	0	5	9.14E-06
2	1	0	4.79E-05
2	1	1	4.03E-05
2	1	2	2.74E-05
2	1	3	1.81E-05
2	1	4	1.24E-05
2	1	5	8.84E-06
2	2	0	3.06E-05
2	2	1	2.74E-05
2	2	2	2.08E-05
2	2	3	1.51E-05
2	2	4	1.09E-05
2	2	5	8.07E-06
2	3	0	1.94E-05
2	3	1	1.81E-05
2	3	2	1.51E-05
2	3	3	1.18E-05
2	3	4	9.14E-06
2	3	5	7.09E-06
2	4	0	1.29E-05
2	4	1	1.24E-05
2	4	2	1.09E-05
2	4	3	9.14E-06
2	4	4	7.47E-06
2	4	5	6.02E-06
2	5	0	9.14E-06
2	5	1	8.84E-06
2	5	2	8.07E-06
2	5	3	7.09E-06
2	5	4	6.02E-06
2	5	5	5.05E-06
3	0	0	2.74E-05
3	0	1	2.48E-05
3	0	2	1.94E-05
3	0	3	1.43E-05
3	0	4	1.05E-05
3	0	5	7.87E-06
3	1	0	2.48E-05
3	1	1	2.26E-05
3	1	2	1.81E-05
3	1	3	1.36E-05
3	1	4	1.01E-05
3	1	5	7.67E-06
3	2	0	1.94E-05
3	2	1	1.81E-05
3	2	2	1.51E-05
3	2	3	1.18E-05
3	2	4	9.14E-06
3	2	5	7.09E-06
3	3	0	1.43E-05
3	3	1	1.36E-05
3	3	2	1.18E-05
3	3	3	9.80E-06
3	3	4	7.86E-06
3	3	5	6.29E-06
3	4	0	1.05E-05
3	4	1	1.01E-05
3	4	2	9.14E-06
3	4	3	7.86E-06
3	4	4	6.58E-06
3	4	5	5.45E-06
3	5	0	7.87E-06
3	5	1	7.67E-06
3	5	2	7.09E-06
3	5	3	6.29E-06
3	5	4	5.45E-06
3	5	5	4.65E-06
4	0	0	1.60E-05
4	0	1	1.51E-05
4	0	2	1.29E-05
4	0	3	1.05E-05
4	0	4	8.35E-06
4	0	5	6.60E-06
4	1	0	1.51E-05
4	1	1	1.43E-05
4	1	2	1.24E-05
4	1	3	1.01E-05
4	1	4	8.09E-06
4	1	5	6.44E-06
4	2	0	1.29E-05
4	2	1	1.24E-05
4	2	2	1.09E-05
4	2	3	9.14E-06
4	2	4	7.47E-06
4	2	5	6.02E-06
4	3	0	1.05E-05
4	3	1	1.01E-05
4	3	2	9.14E-06
4	3	3	7.86E-06
