Sm153 - 6mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	8.82E-02
0	0	1	1.36E-03
0	0	2	6.11E-05
0	0	3	2.15E-05
0	0	4	9.82E-06
0	0	5	5.18E-06
0	1	0	1.36E-03
0	1	1	1.67E-04
0	1	2	4.64E-05
0	1	3	1.87E-05
0	1	4	9.01E-06
0	1	5	4.89E-06
0	2	0	6.11E-05
0	2	1	4.64E-05
0	2	2	2.52E-05
0	2	3	1.31E-05
0	2	4	7.17E-06
0	2	5	4.18E-06
0	3	0	2.15E-05
0	3	1	1.87E-05
0	3	2	1.31E-05
0	3	3	8.29E-06
0	3	4	5.19E-06
0	3	5	3.29E-06
0	4	0	9.82E-06
0	4	1	9.01E-06
0	4	2	7.17E-06
0	4	3	5.19E-06
0	4	4	3.60E-06
0	4	5	2.50E-06
0	5	0	5.18E-06
0	5	1	4.89E-06
0	5	2	4.18E-06
0	5	3	3.29E-06
0	5	4	2.50E-06
0	5	5	1.85E-06
1	0	0	1.36E-03
1	0	1	1.67E-04
1	0	2	4.64E-05
1	0	3	1.87E-05
1	0	4	9.01E-06
1	0	5	4.89E-06
1	1	0	1.67E-04
1	1	1	9.01E-05
1	1	2	3.68E-05
1	1	3	1.65E-05
1	1	4	8.30E-06
1	1	5	4.62E-06
1	2	0	4.64E-05
1	2	1	3.68E-05
1	2	2	2.16E-05
1	2	3	1.18E-05
1	2	4	6.67E-06
1	2	5	3.97E-06
1	3	0	1.87E-05
1	3	1	1.65E-05
1	3	2	1.18E-05
1	3	3	7.69E-06
1	3	4	4.90E-06
1	3	5	3.16E-06
1	4	0	9.01E-06
1	4	1	8.30E-06
1	4	2	6.67E-06
1	4	3	4.90E-06
1	4	4	3.45E-06
1	4	5	2.41E-06
1	5	0	4.89E-06
1	5	1	4.62E-06
1	5	2	3.97E-06
1	5	3	3.16E-06
1	5	4	2.41E-06
1	5	5	1.79E-06
2	0	0	6.11E-05
2	0	1	4.64E-05
2	0	2	2.52E-05
2	0	3	1.31E-05
2	0	4	7.17E-06
2	0	5	4.18E-06
2	1	0	4.64E-05
2	1	1	3.68E-05
2	1	2	2.16E-05
2	1	3	1.18E-05
2	1	4	6.67E-06
2	1	5	3.97E-06
2	2	0	2.52E-05
2	2	1	2.16E-05
2	2	2	1.47E-05
2	2	3	9.01E-06
2	2	4	5.50E-06
2	2	5	3.45E-06
2	3	0	1.31E-05
2	3	1	1.18E-05
2	3	2	9.01E-06
2	3	3	6.24E-06
2	3	4	4.17E-06
2	3	5	2.80E-06
2	4	0	7.17E-06
2	4	1	6.67E-06
2	4	2	5.50E-06
2	4	3	4.17E-06
2	4	4	3.03E-06
2	4	5	2.16E-06
2	5	0	4.18E-06
2	5	1	3.97E-06
2	5	2	3.45E-06
2	5	3	2.80E-06
2	5	4	2.16E-06
2	5	5	1.64E-06
3	0	0	2.15E-05
3	0	1	1.87E-05
3	0	2	1.31E-05
3	0	3	8.29E-06
3	0	4	5.19E-06
3	0	5	3.29E-06
3	1	0	1.87E-05
3	1	1	1.65E-05
3	1	2	1.18E-05
3	1	3	7.69E-06
3	1	4	4.90E-06
3	1	5	3.16E-06
3	2	0	1.31E-05
3	2	1	1.18E-05
3	2	2	9.01E-06
3	2	3	6.24E-06
3	2	4	4.17E-06
3	2	5	2.80E-06
3	3	0	8.29E-06
3	3	1	7.69E-06
3	3	2	6.24E-06
3	3	3	4.63E-06
3	3	4	3.30E-06
3	3	5	2.32E-06
3	4	0	5.19E-06
3	4	1	4.90E-06
3	4	2	4.17E-06
3	4	3	3.30E-06
3	4	4	2.50E-06
3	4	5	1.84E-06
3	5	0	3.29E-06
3	5	1	3.16E-06
3	5	2	2.80E-06
3	5	3	2.32E-06
3	5	4	1.84E-06
3	5	5	1.43E-06
4	0	0	9.82E-06
4	0	1	9.01E-06
4	0	2	7.17E-06
4	0	3	5.19E-06
4	0	4	3.60E-06
4	0	5	2.50E-06
4	1	0	9.01E-06
4	1	1	8.30E-06
4	1	2	6.67E-06
4	1	3	4.90E-06
4	1	4	3.45E-06
4	1	5	2.41E-06
4	2	0	7.17E-06
4	2	1	6.67E-06
4	2	2	5.50E-06
4	2	3	4.17E-06
4	2	4	3.03E-06
4	2	5	2.16E-06
4	3	0	5.19E-06
4	3	1	4.90E-06
4	3	2	4.17E-06
4	3	3	3.30E-06
4	3	4	2.50E-06
4	3	5	1.84E-06
4	4	0	3.60E-06
4	4	1	3.45E-06
4	4	2	3.03E-06
4	4	3	2.50E-06
4	4	4	1.95E-06
4	4	5	1.51E-06
4	5	0	2.50E-06
4	5	1	2.41E-06
4	5	2	2.16E-06
4	5	3	1.84E-06
4	5	4	1.51E-06
4	5	5	1.20E-06
5	0	0	5.18E-06
5	0	1	4.89E-06
5	0	2	4.18E-06
5	0	3	3.29E-06
5	0	4	2.50E-06
5	0	5	1.85E-06
5	1	0	4.89E-06
5	1	1	4.62E-06
5	1	2	3.97E-06
5	1	3	3.16E-06
5	1	4	2.41E-06
5	1	5	1.79E-06
5	2	0	4.18E-06
5	2	1	3.97E-06
5	2	2	3.45E-06
5	2	3	2.80E-06
5	2	4	2.16E-06
5	2	5	1.64E-06
5	3	0	3.29E-06
5	3	1	3.16E-06
5	3	2	2.80E-06
5	3	3	2.32E-06
5	3	4	1.84E-06
5	3	5	1.43E-06
5	4	0	2.50E-06
5	4	1	2.41E-06
5	4	2	2.16E-06
5	4	3	1.84E-06
5	4	4	1.51E-06
5	4	5	1.20E-06
5	5	0	1.85E-06
5	5	1	1.79E-06
5	5	2	1.64E-06
5	5	3	1.43E-06
5	5	4	1.20E-06
5	5	5	9.88E-07
