Lu177 - 2.21mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.00E+00
0	0	1	1.71E-02
0	0	2	1.03E-04
0	0	3	4.59E-05
0	0	4	2.60E-05
0	0	5	1.67E-05
0	1	0	1.71E-02
0	1	1	6.63E-04
0	1	2	8.22E-05
0	1	3	4.12E-05
0	1	4	2.46E-05
0	1	5	1.62E-05
0	2	0	1.03E-04
0	2	1	8.22E-05
0	2	2	5.15E-05
0	2	3	3.19E-05
0	2	4	2.09E-05
0	2	5	1.45E-05
0	3	0	4.59E-05
0	3	1	4.12E-05
0	3	2	3.19E-05
0	3	3	2.31E-05
0	3	4	1.68E-05
0	3	5	1.25E-05
0	4	0	2.60E-05
0	4	1	2.46E-05
0	4	2	2.09E-05
0	4	3	1.68E-05
0	4	4	1.32E-05
0	4	5	1.04E-05
0	5	0	1.67E-05
0	5	1	1.62E-05
0	5	2	1.45E-05
0	5	3	1.25E-05
0	5	4	1.04E-05
0	5	5	8.44E-06
1	0	0	1.71E-02
1	0	1	6.63E-04
1	0	2	8.22E-05
1	0	3	4.12E-05
1	0	4	2.46E-05
1	0	5	1.62E-05
1	1	0	6.63E-04
1	1	1	1.55E-04
1	1	2	6.87E-05
1	1	3	3.76E-05
1	1	4	2.32E-05
1	1	5	1.56E-05
1	2	0	8.22E-05
1	2	1	6.87E-05
1	2	2	4.58E-05
1	2	3	2.97E-05
1	2	4	2.00E-05
1	2	5	1.41E-05
1	3	0	4.12E-05
1	3	1	3.76E-05
1	3	2	2.97E-05
1	3	3	2.20E-05
1	3	4	1.62E-05
1	3	5	1.21E-05
1	4	0	2.46E-05
1	4	1	2.32E-05
1	4	2	2.00E-05
1	4	3	1.62E-05
1	4	4	1.28E-05
1	4	5	1.01E-05
1	5	0	1.62E-05
1	5	1	1.56E-05
1	5	2	1.41E-05
1	5	3	1.21E-05
1	5	4	1.01E-05
1	5	5	8.33E-06
2	0	0	1.03E-04
2	0	1	8.22E-05
2	0	2	5.15E-05
2	0	3	3.19E-05
2	0	4	2.09E-05
2	0	5	1.45E-05
2	1	0	8.22E-05
2	1	1	6.87E-05
2	1	2	4.58E-05
2	1	3	2.97E-05
2	1	4	2.00E-05
2	1	5	1.41E-05
2	2	0	5.15E-05
2	2	1	4.58E-05
2	2	2	3.46E-05
2	2	3	2.45E-05
2	2	4	1.76E-05
2	2	5	1.28E-05
2	3	0	3.19E-05
2	3	1	2.97E-05
2	3	2	2.45E-05
2	3	3	1.91E-05
2	3	4	1.45E-05
2	3	5	1.12E-05
2	4	0	2.09E-05
2	4	1	2.00E-05
2	4	2	1.76E-05
2	4	3	1.45E-05
2	4	4	1.18E-05
2	4	5	9.43E-06
2	5	0	1.45E-05
2	5	1	1.41E-05
2	5	2	1.28E-05
2	5	3	1.12E-05
2	5	4	9.43E-06
2	5	5	7.82E-06
3	0	0	4.59E-05
3	0	1	4.12E-05
3	0	2	3.19E-05
3	0	3	2.31E-05
3	0	4	1.68E-05
3	0	5	1.25E-05
3	1	0	4.12E-05
3	1	1	3.76E-05
3	1	2	2.97E-05
3	1	3	2.20E-05
3	1	4	1.62E-05
3	1	5	1.21E-05
3	2	0	3.19E-05
3	2	1	2.97E-05
3	2	2	2.45E-05
3	2	3	1.91E-05
3	2	4	1.45E-05
3	2	5	1.12E-05
3	3	0	2.31E-05
3	3	1	2.20E-05
3	3	2	1.91E-05
3	3	3	1.55E-05
3	3	4	1.24E-05
3	3	5	9.83E-06
3	4	0	1.68E-05
3	4	1	1.62E-05
3	4	2	1.45E-05
3	4	3	1.24E-05
3	4	4	1.03E-05
3	4	5	8.47E-06
3	5	0	1.25E-05
3	5	1	1.21E-05
3	5	2	1.12E-05
3	5	3	9.83E-06
3	5	4	8.47E-06
3	5	5	7.19E-06
4	0	0	2.60E-05
4	0	1	2.46E-05
4	0	2	2.09E-05
4	0	3	1.68E-05
4	0	4	1.32E-05
4	0	5	1.04E-05
4	1	0	2.46E-05
4	1	1	2.32E-05
4	1	2	2.00E-05
4	1	3	1.62E-05
4	1	4	1.28E-05
4	1	5	1.01E-05
4	2	0	2.09E-05
4	2	1	2.00E-05
4	2	2	1.76E-05
4	2	3	1.45E-05
4	2	4	1.18E-05
4	2	5	9.43E-06
4	3	0	1.68E-05
4	3	1	1.62E-05
4	3	2	1.45E-05
4	3	3	1.24E-05
4	3	4	1.03E-05
4	3	5	8.47E-06
4	4	0	1.32E-05
4	4	1	1.28E-05
4	4	2	1.18E-05
4	4	3	1.03E-05
4	4	4	8.83E-06
4	4	5	7.47E-06
4	5	0	1.04E-05
4	5	1	1.01E-05
4	5	2	9.43E-06
4	5	3	8.47E-06
4	5	4	7.47E-06
4	5	5	6.44E-06
5	0	0	1.67E-05
5	0	1	1.62E-05
5	0	2	1.45E-05
5	0	3	1.25E-05
5	0	4	1.04E-05
5	0	5	8.44E-06
5	1	0	1.62E-05
5	1	1	1.56E-05
5	1	2	1.41E-05
5	1	3	1.21E-05
5	1	4	1.01E-05
