Lu177 - 4.42mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	1.32E-01
0	0	1	1.21E-03
0	0	2	2.67E-05
0	0	3	1.19E-05
0	0	4	6.70E-06
0	0	5	4.26E-06
0	1	0	1.21E-03
0	1	1	7.07E-05
0	1	2	2.15E-05
0	1	3	1.07E-05
0	1	4	6.32E-06
0	1	5	4.10E-06
0	2	0	2.67E-05
0	2	1	2.15E-05
0	2	2	1.34E-05
0	2	3	8.27E-06
0	2	4	5.35E-06
0	2	5	3.66E-06
0	3	0	1.19E-05
0	3	1	1.07E-05
0	3	2	8.27E-06
0	3	3	5.96E-06
0	3	4	4.28E-06
0	3	5	3.11E-06
0	4	0	6.70E-06
0	4	1	6.32E-06
0	4	2	5.35E-06
0	4	3	4.28E-06
0	4	4	3.31E-06
0	4	5	2.55E-06
0	5	0	4.26E-06
0	5	1	4.10E-06
0	5	2	3.66E-06
0	5	3	3.11E-06
0	5	4	2.55E-06
0	5	5	2.08E-06
1	0	0	1.21E-03
1	0	1	7.07E-05
1	0	2	2.15E-05
1	0	3	1.07E-05
1	0	4	6.32E-06
1	0	5	4.10E-06
1	1	0	7.07E-05
1	1	1	3.68E-05
1	1	2	1.79E-05
1	1	3	9.77E-06
1	1	4	5.96E-06
1	1	5	3.94E-06
1	2	0	2.15E-05
1	2	1	1.79E-05
1	2	2	1.19E-05
1	2	3	7.68E-06
1	2	4	5.10E-06
1	2	5	3.54E-06
1	3	0	1.07E-05
1	3	1	9.77E-06
1	3	2	7.68E-06
1	3	3	5.64E-06
1	3	4	4.10E-06
1	3	5	3.02E-06
1	4	0	6.32E-06
1	4	1	5.96E-06
1	4	2	5.10E-06
1	4	3	4.10E-06
1	4	4	3.21E-06
1	4	5	2.49E-06
1	5	0	4.10E-06
1	5	1	3.94E-06
1	5	2	3.54E-06
1	5	3	3.02E-06
1	5	4	2.49E-06
1	5	5	2.03E-06
2	0	0	2.67E-05
2	0	1	2.15E-05
2	0	2	1.34E-05
2	0	3	8.27E-06
2	0	4	5.35E-06
2	0	5	3.66E-06
2	1	0	2.15E-05
2	1	1	1.79E-05
2	1	2	1.19E-05
2	1	3	7.68E-06
2	1	4	5.10E-06
2	1	5	3.54E-06
2	2	0	1.34E-05
2	2	1	1.19E-05
2	2	2	8.96E-06
2	2	3	6.33E-06
2	2	4	4.45E-06
2	2	5	3.20E-06
2	3	0	8.27E-06
2	3	1	7.68E-06
2	3	2	6.33E-06
2	3	3	4.87E-06
2	3	4	3.67E-06
2	3	5	2.77E-06
2	4	0	5.35E-06
2	4	1	5.10E-06
2	4	2	4.45E-06
2	4	3	3.67E-06
2	4	4	2.93E-06
2	4	5	2.32E-06
2	5	0	3.66E-06
2	5	1	3.54E-06
2	5	2	3.20E-06
2	5	3	2.77E-06
2	5	4	2.32E-06
2	5	5	1.90E-06
3	0	0	1.19E-05
3	0	1	1.07E-05
