Lu177 - 4.8mm - Bone compact			
i	j	k	
0	0	0	1.04E-01
0	0	1	8.90E-04
0	0	2	2.28E-05
0	0	3	1.02E-05
0	0	4	5.70E-06
0	0	5	3.59E-06
0	1	0	8.90E-04
0	1	1	5.75E-05
0	1	2	1.83E-05
0	1	3	9.14E-06
0	1	4	5.35E-06
0	1	5	3.46E-06
0	2	0	2.28E-05
0	2	1	1.83E-05
0	2	2	1.14E-05
0	2	3	7.03E-06
0	2	4	4.53E-06
0	2	5	3.09E-06
0	3	0	1.02E-05
0	3	1	9.14E-06
0	3	2	7.03E-06
0	3	3	5.07E-06
0	3	4	3.62E-06
0	3	5	2.62E-06
0	4	0	5.70E-06
0	4	1	5.35E-06
0	4	2	4.53E-06
0	4	3	3.62E-06
0	4	4	2.79E-06
0	4	5	2.14E-06
0	5	0	3.59E-06
0	5	1	3.46E-06
0	5	2	3.09E-06
0	5	3	2.62E-06
0	5	4	2.14E-06
0	5	5	1.74E-06
1	0	0	8.90E-04
1	0	1	5.75E-05
1	0	2	1.83E-05
1	0	3	9.14E-06
1	0	4	5.35E-06
1	0	5	3.46E-06
1	1	0	5.75E-05
1	1	1	3.13E-05
1	1	2	1.53E-05
1	1	3	8.32E-06
1	1	4	5.05E-06
1	1	5	3.33E-06
1	2	0	1.83E-05
1	2	1	1.53E-05
1	2	2	1.02E-05
1	2	3	6.52E-06
1	2	4	4.32E-06
1	2	5	2.99E-06
1	3	0	9.14E-06
1	3	1	8.32E-06
1	3	2	6.52E-06
1	3	3	4.78E-06
1	3	4	3.46E-06
1	3	5	2.54E-06
1	4	0	5.35E-06
1	4	1	5.05E-06
1	4	2	4.32E-06
1	4	3	3.46E-06
1	4	4	2.70E-06
1	4	5	2.09E-06
1	5	0	3.46E-06
1	5	1	3.33E-06
1	5	2	2.99E-06
1	5	3	2.54E-06
1	5	4	2.09E-06
1	5	5	1.70E-06
2	0	0	2.28E-05
2	0	1	1.83E-05
2	0	2	1.14E-05
2	0	3	7.03E-06
2	0	4	4.53E-06
2	0	5	3.09E-06
2	1	0	1.83E-05
2	1	1	1.53E-05
2	1	2	1.02E-05
2	1	3	6.52E-06
2	1	4	4.32E-06
2	1	5	2.99E-06
2	2	0	1.14E-05
2	2	1	1.02E-05
2	2	2	7.62E-06
2	2	3	5.36E-06
2	2	4	3.76E-06
2	2	5	2.70E-06
2	3	0	7.03E-06
2	3	1	6.52E-06
2	3	2	5.36E-06
2	3	3	4.12E-06
2	3	4	3.09E-06
2	3	5	2.33E-06
2	4	0	4.53E-06
2	4	1	4.32E-06
2	4	2	3.76E-06
2	4	3	3.09E-06
2	4	4	2.47E-06
2	4	5	1.94E-06
2	5	0	3.09E-06
2	5	1	2.99E-06
2	5	2	2.70E-06
2	5	3	2.33E-06
2	5	4	1.94E-06
2	5	5	1.59E-06
3	0	0	1.02E-05
3	0	1	9.14E-06
3	0	2	7.03E-06
3	0	3	5.07E-06
3	0	4	3.62E-06
3	0	5	2.62E-06
3	1	0	9.14E-06
3	1	1	8.32E-06
3	1	2	6.52E-06
3	1	3	4.78E-06
3	1	4	3.46E-06
3	1	5	2.54E-06
3	2	0	7.03E-06
3	2	1	6.52E-06
3	2	2	5.36E-06
3	2	3	4.12E-06
3	2	4	3.09E-06
3	2	5	2.33E-06
3	3	0	5.07E-06
3	3	1	4.78E-06
3	3	2	4.12E-06
3	3	3	3.34E-06
3	3	4	2.62E-06
3	3	5	2.04E-06
3	4	0	3.62E-06
3	4	1	3.46E-06
3	4	2	3.09E-06
3	4	3	2.62E-06
3	4	4	2.15E-06
3	4	5	1.74E-06
3	5	0	2.62E-06
3	5	1	2.54E-06
3	5	2	2.33E-06
3	5	3	2.04E-06
3	5	4	1.74E-06
3	5	5	1.44E-06
4	0	0	5.70E-06
4	0	1	5.35E-06
4	0	2	4.53E-06
4	0	3	3.62E-06
4	0	4	2.79E-06
4	0	5	2.14E-06
4	1	0	5.35E-06
4	1	1	5.05E-06
4	1	2	4.32E-06
4	1	3	3.46E-06
4	1	4	2.70E-06
4	1	5	2.09E-06
4	2	0	4.53E-06
4	2	1	4.32E-06
4	2	2	3.76E-06
4	2	3	3.09E-06
4	2	4	2.47E-06
4	2	5	1.94E-06
4	3	0	3.62E-06
4	3	1	3.46E-06
4	3	2	3.09E-06
4	3	3	2.62E-06
4	3	4	2.15E-06
4	3	5	1.74E-06
4	4	0	2.79E-06
4	4	1	2.70E-06
4	4	2	2.47E-06
4	4	3	2.15E-06
4	4	4	1.82E-06
4	4	5	1.51E-06
4	5	0	2.14E-06
4	5	1	2.09E-06
4	5	2	1.94E-06
4	5	3	1.74E-06
4	5	4	1.51E-06
4	5	5	1.27E-06
5	0	0	3.59E-06
5	0	1	3.46E-06
5	0	2	3.09E-06
5	0	3	2.62E-06
5	0	4	2.14E-06
5	0	5	1.74E-06
5	1	0	3.46E-06
5	1	1	3.33E-06
5	1	2	2.99E-06
5	1	3	2.54E-06
5	1	4	2.09E-06
5	1	5	1.70E-06
5	2	0	3.09E-06
5	2	1	2.99E-06
5	2	2	2.70E-06
5	2	3	2.33E-06
5	2	4	1.94E-06
5	2	5	1.59E-06
5	3	0	2.62E-06
5	3	1	2.54E-06
5	3	2	2.33E-06
5	3	3	2.04E-06
5	3	4	1.74E-06
5	3	5	1.44E-06
5	4	0	2.14E-06
5	4	1	2.09E-06
5	4	2	1.94E-06
5	4	3	1.74E-06
5	4	4	1.51E-06
5	4	5	1.27E-06
5	5	0	1.74E-06
5	5	1	1.70E-06
5	5	2	1.59E-06
5	5	3	1.44E-06
5	5	4	1.27E-06
5	5	5	1.10E-06
