Lu177 - 5mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.58E-01
0	0	1	2.11E-03
0	0	2	1.48E-05
0	0	3	6.65E-06
0	0	4	3.84E-06
0	0	5	2.50E-06
0	1	0	2.11E-03
0	1	1	7.43E-05
0	1	2	1.19E-05
0	1	3	6.02E-06
0	1	4	3.61E-06
0	1	5	2.40E-06
0	2	0	1.48E-05
0	2	1	1.19E-05
0	2	2	7.50E-06
0	2	3	4.67E-06
0	2	4	3.09E-06
0	2	5	2.17E-06
0	3	0	6.65E-06
0	3	1	6.02E-06
0	3	2	4.67E-06
0	3	3	3.41E-06
0	3	4	2.50E-06
0	3	5	1.87E-06
0	4	0	3.84E-06
0	4	1	3.61E-06
0	4	2	3.09E-06
0	4	3	2.50E-06
0	4	4	1.98E-06
0	4	5	1.56E-06
0	5	0	2.50E-06
0	5	1	2.40E-06
0	5	2	2.17E-06
0	5	3	1.87E-06
0	5	4	1.56E-06
0	5	5	1.29E-06
1	0	0	2.11E-03
1	0	1	7.43E-05
1	0	2	1.19E-05
1	0	3	6.02E-06
1	0	4	3.61E-06
1	0	5	2.40E-06
1	1	0	7.43E-05
1	1	1	2.15E-05
1	1	2	9.94E-06
1	1	3	5.48E-06
1	1	4	3.41E-06
1	1	5	2.32E-06
1	2	0	1.19E-05
1	2	1	9.94E-06
1	2	2	6.66E-06
1	2	3	4.35E-06
1	2	4	2.96E-06
1	2	5	2.10E-06
1	3	0	6.02E-06
1	3	1	5.48E-06
1	3	2	4.35E-06
1	3	3	3.25E-06
1	3	4	2.41E-06
1	3	5	1.82E-06
1	4	0	3.61E-06
1	4	1	3.41E-06
1	4	2	2.96E-06
1	4	3	2.41E-06
1	4	4	1.93E-06
1	4	5	1.53E-06
1	5	0	2.40E-06
1	5	1	2.32E-06
1	5	2	2.10E-06
1	5	3	1.82E-06
1	5	4	1.53E-06
1	5	5	1.27E-06
2	0	0	1.48E-05
2	0	1	1.19E-05
