Lu177 - 6mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	5.37E-02
0	0	1	3.91E-04
0	0	2	1.48E-05
0	0	3	6.52E-06
0	0	4	3.63E-06
0	0	5	2.27E-06
0	1	0	3.91E-04
0	1	1	3.42E-05
0	1	2	1.18E-05
0	1	3	5.87E-06
0	1	4	3.40E-06
0	1	5	2.17E-06
0	2	0	1.48E-05
0	2	1	1.18E-05
0	2	2	7.35E-06
0	2	3	4.49E-06
0	2	4	2.87E-06
0	2	5	1.93E-06
0	3	0	6.52E-06
0	3	1	5.87E-06
0	3	2	4.49E-06
0	3	3	3.20E-06
0	3	4	2.27E-06
0	3	5	1.63E-06
0	4	0	3.63E-06
0	4	1	3.40E-06
0	4	2	2.87E-06
0	4	3	2.27E-06
0	4	4	1.74E-06
0	4	5	1.33E-06
0	5	0	2.27E-06
0	5	1	2.17E-06
0	5	2	1.93E-06
0	5	3	1.63E-06
0	5	4	1.33E-06
0	5	5	1.06E-06
1	0	0	3.91E-04
1	0	1	3.42E-05
1	0	2	1.18E-05
1	0	3	5.87E-06
1	0	4	3.40E-06
1	0	5	2.17E-06
1	1	0	3.42E-05
1	1	1	2.02E-05
1	1	2	9.86E-06
1	1	3	5.32E-06
1	1	4	3.20E-06
1	1	5	2.09E-06
1	2	0	1.18E-05
1	2	1	9.86E-06
1	2	2	6.53E-06
1	2	3	4.16E-06
1	2	4	2.73E-06
1	2	5	1.87E-06
1	3	0	5.87E-06
1	3	1	5.32E-06
1	3	2	4.16E-06
1	3	3	3.03E-06
1	3	4	2.17E-06
1	3	5	1.57E-06
1	4	0	3.40E-06
1	4	1	3.20E-06
1	4	2	2.73E-06
1	4	3	2.17E-06
1	4	4	1.68E-06
1	4	5	1.29E-06
1	5	0	2.17E-06
1	5	1	2.09E-06
1	5	2	1.87E-06
1	5	3	1.57E-06
1	5	4	1.29E-06
1	5	5	1.03E-06
2	0	0	1.48E-05
2	0	1	1.18E-05
2	0	2	7.35E-06
2	0	3	4.49E-06
2	0	4	2.87E-06
2	0	5	1.93E-06
2	1	0	1.18E-05
2	1	1	9.86E-06
2	1	2	6.53E-06
2	1	3	4.16E-06
2	1	4	2.73E-06
2	1	5	1.87E-06
2	2	0	7.35E-06
2	2	1	6.53E-06
2	2	2	4.88E-06
2	2	3	3.40E-06
2	2	4	2.37E-06
2	2	5	1.68E-06
2	3	0	4.49E-06
2	3	1	4.16E-06
2	3	2	3.40E-06
2	3	3	2.60E-06
2	3	4	1.93E-06
2	3	5	1.44E-06
2	4	0	2.87E-06
2	4	1	2.73E-06
2	4	2	2.37E-06
2	4	3	1.93E-06
2	4	4	1.53E-06
2	4	5	1.19E-06
2	5	0	1.93E-06
2	5	1	1.87E-06
2	5	2	1.68E-06
2	5	3	1.44E-06
2	5	4	1.19E-06
2	5	5	9.65E-07
3	0	0	6.52E-06
3	0	1	5.87E-06
3	0	2	4.49E-06
3	0	3	3.20E-06
3	0	4	2.27E-06
3	0	5	1.63E-06
3	1	0	5.87E-06
3	1	1	5.32E-06
3	1	2	4.16E-06
3	1	3	3.03E-06
3	1	4	2.17E-06
3	1	5	1.57E-06
3	2	0	4.49E-06
3	2	1	4.16E-06
3	2	2	3.40E-06
3	2	3	2.60E-06
3	2	4	1.93E-06
3	2	5	1.44E-06
3	3	0	3.20E-06
3	3	1	3.03E-06
3	3	2	2.60E-06
3	3	3	2.08E-06
3	3	4	1.63E-06
3	3	5	1.26E-06
3	4	0	2.27E-06
3	4	1	2.17E-06
3	4	2	1.93E-06
3	4	3	1.63E-06
3	4	4	1.33E-06
3	4	5	1.06E-06
3	5	0	1.63E-06
3	5	1	1.57E-06
3	5	2	1.44E-06
3	5	3	1.26E-06
3	5	4	1.06E-06
3	5	5	8.72E-07
4	0	0	3.63E-06
4	0	1	3.40E-06
4	0	2	2.87E-06
4	0	3	2.27E-06
4	0	4	1.74E-06
4	0	5	1.33E-06
4	1	0	3.40E-06
4	1	1	3.20E-06
4	1	2	2.73E-06
4	1	3	2.17E-06
4	1	4	1.68E-06
4	1	5	1.29E-06
4	2	0	2.87E-06
4	2	1	2.73E-06
4	2	2	2.37E-06
4	2	3	1.93E-06
4	2	4	1.53E-06
4	2	5	1.19E-06
4	3	0	2.27E-06
4	3	1	2.17E-06
4	3	2	1.93E-06
