Lu177 - 9.28mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.56E-02
0	0	1	1.98E-04
0	0	2	4.53E-06
0	0	3	2.07E-06
0	0	4	1.20E-06
0	0	5	7.79E-07
0	1	0	1.98E-04
0	1	1	1.14E-05
0	1	2	3.65E-06
0	1	3	1.87E-06
0	1	4	1.13E-06
0	1	5	7.51E-07
0	2	0	4.53E-06
0	2	1	3.65E-06
0	2	2	2.32E-06
0	2	3	1.46E-06
0	2	4	9.65E-07
0	2	5	6.76E-07
0	3	0	2.07E-06
0	3	1	1.87E-06
0	3	2	1.46E-06
0	3	3	1.07E-06
0	3	4	7.80E-07
0	3	5	5.81E-07
0	4	0	1.20E-06
0	4	1	1.13E-06
0	4	2	9.65E-07
0	4	3	7.80E-07
0	4	4	6.15E-07
0	4	5	4.82E-07
0	5	0	7.79E-07
0	5	1	7.51E-07
0	5	2	6.76E-07
0	5	3	5.81E-07
0	5	4	4.82E-07
0	5	5	3.96E-07
1	0	0	1.98E-04
1	0	1	1.14E-05
1	0	2	3.65E-06
1	0	3	1.87E-06
1	0	4	1.13E-06
1	0	5	7.51E-07
1	1	0	1.14E-05
1	1	1	6.19E-06
1	1	2	3.06E-06
1	1	3	1.71E-06
1	1	4	1.07E-06
1	1	5	7.23E-07
1	2	0	3.65E-06
1	2	1	3.06E-06
1	2	2	2.07E-06
1	2	3	1.36E-06
1	2	4	9.21E-07
1	2	5	6.54E-07
1	3	0	1.87E-06
1	3	1	1.71E-06
1	3	2	1.36E-06
1	3	3	1.01E-06
1	3	4	7.51E-07
1	3	5	5.62E-07
1	4	0	1.13E-06
1	4	1	1.07E-06
1	4	2	9.21E-07
1	4	3	7.51E-07
1	4	4	5.95E-07
1	4	5	4.71E-07
1	5	0	7.51E-07
1	5	1	7.23E-07
1	5	2	6.54E-07
1	5	3	5.62E-07
1	5	4	4.71E-07
1	5	5	3.87E-07
2	0	0	4.53E-06
2	0	1	3.65E-06
2	0	2	2.32E-06
2	0	3	1.46E-06
2	0	4	9.65E-07
2	0	5	6.76E-07
2	1	0	3.65E-06
2	1	1	3.06E-06
2	1	2	2.07E-06
2	1	3	1.36E-06
2	1	4	9.21E-07
2	1	5	6.54E-07
2	2	0	2.32E-06
2	2	1	2.07E-06
2	2	2	1.57E-06
2	2	3	1.13E-06
2	2	4	8.11E-07
2	2	5	5.96E-07
2	3	0	1.46E-06
2	3	1	1.36E-06
2	3	2	1.13E-06
2	3	3	8.81E-07
2	3	4	6.76E-07
2	3	5	5.19E-07
2	4	0	9.65E-07
2	4	1	9.21E-07
2	4	2	8.11E-07
2	4	3	6.76E-07
2	4	4	5.49E-07
2	4	5	4.39E-07
2	5	0	6.76E-07
2	5	1	6.54E-07
2	5	2	5.96E-07
2	5	3	5.19E-07
2	5	4	4.39E-07
2	5	5	3.66E-07
3	0	0	2.07E-06
3	0	1	1.87E-06
3	0	2	1.46E-06
3	0	3	1.07E-06
3	0	4	7.80E-07
3	0	5	5.81E-07
3	1	0	1.87E-06
3	1	1	1.71E-06
3	1	2	1.36E-06
3	1	3	1.01E-06
3	1	4	7.51E-07
3	1	5	5.62E-07
3	2	0	1.46E-06
3	2	1	1.36E-06
3	2	2	1.13E-06
3	2	3	8.81E-07
3	2	4	6.76E-07
3	2	5	5.19E-07
3	3	0	1.07E-06
3	3	1	1.01E-06
3	3	2	8.81E-07
3	3	3	7.22E-07
3	3	4	5.78E-07
3	3	5	4.59E-07
3	4	0	7.80E-07
3	4	1	7.51E-07
3	4	2	6.76E-07
3	4	3	5.78E-07
3	4	4	4.82E-07
3	4	5	3.94E-07
3	5	0	5.81E-07
3	5	1	5.62E-07
3	5	2	5.19E-07
3	5	3	4.59E-07
3	5	4	3.94E-07
3	5	5	3.35E-07
4	0	0	1.20E-06
4	0	1	1.13E-06
4	0	2	9.65E-07
4	0	3	7.80E-07
4	0	4	6.15E-07
4	0	5	4.82E-07
4	1	0	1.13E-06
4	1	1	1.07E-06
4	1	2	9.21E-07
4	1	3	7.51E-07
4	1	4	5.95E-07
4	1	5	4.71E-07
4	2	0	9.65E-07
4	2	1	9.21E-07
4	2	2	8.11E-07
4	2	3	6.76E-07
4	2	4	5.49E-07
4	2	5	4.39E-07
4	3	0	7.80E-07
4	3	1	7.51E-07
4	3	2	6.76E-07
4	3	3	5.78E-07
4	3	4	4.82E-07
4	3	5	3.94E-07
4	4	0	6.15E-07
4	4	1	5.95E-07
4	4	2	5.49E-07
4	4	3	4.82E-07
4	4	4	4.10E-07
4	4	5	3.46E-07
4	5	0	4.82E-07
4	5	1	4.71E-07
4	5	2	4.39E-07
4	5	3	3.94E-07
4	5	4	3.46E-07
4	5	5	2.98E-07
5	0	0	7.79E-07
5	0	1	7.51E-07
5	0	2	6.76E-07
5	0	3	5.81E-07
5	0	4	4.82E-07
5	0	5	3.96E-07
5	1	0	7.51E-07
5	1	1	7.23E-07
5	1	2	6.54E-07
5	1	3	5.62E-07
5	1	4	4.71E-07
5	1	5	3.87E-07
5	2	0	6.76E-07
5	2	1	6.54E-07
5	2	2	5.96E-07
5	2	3	5.19E-07
5	2	4	4.39E-07
5	2	5	3.66E-07
5	3	0	5.81E-07
5	3	1	5.62E-07
5	3	2	5.19E-07
5	3	3	4.59E-07
5	3	4	3.94E-07
5	3	5	3.35E-07
5	4	0	4.82E-07
5	4	1	4.71E-07
5	4	2	4.39E-07
5	4	3	3.94E-07
5	4	4	3.46E-07
5	4	5	2.98E-07
5	5	0	3.96E-07
5	5	1	3.87E-07
5	5	2	3.66E-07
5	5	3	3.35E-07
5	5	4	2.98E-07
5	5	5	2.62E-07
