Re186 - 4.42mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	2.78E-01
0	0	1	7.80E-03
0	0	2	2.19E-05
0	0	3	9.62E-06
0	0	4	5.33E-06
0	0	5	3.30E-06
0	1	0	7.80E-03
0	1	1	3.58E-04
0	1	2	1.75E-05
0	1	3	8.64E-06
0	1	4	4.99E-06
0	1	5	3.18E-06
0	2	0	2.19E-05
0	2	1	1.75E-05
0	2	2	1.09E-05
0	2	3	6.61E-06
0	2	4	4.21E-06
0	2	5	2.82E-06
0	3	0	9.62E-06
0	3	1	8.64E-06
0	3	2	6.61E-06
0	3	3	4.71E-06
0	3	4	3.31E-06
0	3	5	2.37E-06
0	4	0	5.33E-06
0	4	1	4.99E-06
0	4	2	4.21E-06
0	4	3	3.31E-06
0	4	4	2.53E-06
0	4	5	1.91E-06
0	5	0	3.30E-06
0	5	1	3.18E-06
0	5	2	2.82E-06
0	5	3	2.37E-06
0	5	4	1.91E-06
0	5	5	1.52E-06
1	0	0	7.80E-03
1	0	1	3.58E-04
1	0	2	1.75E-05
1	0	3	8.64E-06
1	0	4	4.99E-06
1	0	5	3.18E-06
1	1	0	3.58E-04
1	1	1	4.47E-05
1	1	2	1.46E-05
1	1	3	7.84E-06
1	1	4	4.70E-06
1	1	5	3.05E-06
1	2	0	1.75E-05
1	2	1	1.46E-05
1	2	2	9.64E-06
1	2	3	6.12E-06
1	2	4	4.00E-06
1	2	5	2.72E-06
1	3	0	8.64E-06
1	3	1	7.84E-06
1	3	2	6.12E-06
1	3	3	4.45E-06
1	3	4	3.18E-06
1	3	5	2.29E-06
1	4	0	4.99E-06
1	4	1	4.70E-06
1	4	2	4.00E-06
1	4	3	3.18E-06
1	4	4	2.44E-06
1	4	5	1.86E-06
1	5	0	3.18E-06
1	5	1	3.05E-06
1	5	2	2.72E-06
1	5	3	2.29E-06
1	5	4	1.86E-06
1	5	5	1.50E-06
2	0	0	2.19E-05
2	0	1	1.75E-05
2	0	2	1.09E-05
2	0	3	6.61E-06
2	0	4	4.21E-06
2	0	5	2.82E-06
2	1	0	1.75E-05
2	1	1	1.46E-05
2	1	2	9.64E-06
2	1	3	6.12E-06
2	1	4	4.00E-06
2	1	5	2.72E-06
2	2	0	1.09E-05
2	2	1	9.64E-06
2	2	2	7.16E-06
2	2	3	4.99E-06
2	2	4	3.47E-06
2	2	5	2.45E-06
2	3	0	6.61E-06
2	3	1	6.12E-06
2	3	2	4.99E-06
2	3	3	3.80E-06
2	3	4	2.83E-06
2	3	5	2.09E-06
2	4	0	4.21E-06
2	4	1	4.00E-06
2	4	2	3.47E-06
2	4	3	2.83E-06
2	4	4	2.22E-06
2	4	5	1.73E-06
2	5	0	2.82E-06
2	5	1	2.72E-06
2	5	2	2.45E-06
2	5	3	2.09E-06
2	5	4	1.73E-06
2	5	5	1.39E-06
3	0	0	9.62E-06
3	0	1	8.64E-06
3	0	2	6.61E-06
3	0	3	4.71E-06
3	0	4	3.31E-06
3	0	5	2.37E-06
3	1	0	8.64E-06
3	1	1	7.84E-06
3	1	2	6.12E-06
3	1	3	4.45E-06
3	1	4	3.18E-06
3	1	5	2.29E-06
3	2	0	6.61E-06
3	2	1	6.12E-06
3	2	2	4.99E-06
3	2	3	3.80E-06
3	2	4	2.83E-06
3	2	5	2.09E-06
3	3	0	4.71E-06
3	3	1	4.45E-06
3	3	2	3.80E-06
3	3	3	3.06E-06
3	3	4	2.36E-06
3	3	5	1.82E-06
3	4	0	3.31E-06
3	4	1	3.18E-06
3	4	2	2.83E-06
3	4	3	2.36E-06
3	4	4	1.92E-06
3	4	5	1.53E-06
3	5	0	2.37E-06
3	5	1	2.29E-06
3	5	2	2.09E-06
3	5	3	1.82E-06
3	5	4	1.53E-06
3	5	5	1.26E-06
4	0	0	5.33E-06
4	0	1	4.99E-06
4	0	2	4.21E-06
4	0	3	3.31E-06
4	0	4	2.53E-06
4	0	5	1.91E-06
4	1	0	4.99E-06
4	1	1	4.70E-06
4	1	2	4.00E-06
4	1	3	3.18E-06
4	1	4	2.44E-06
4	1	5	1.86E-06
4	2	0	4.21E-06
4	2	1	4.00E-06
4	2	2	3.47E-06
4	2	3	2.83E-06
4	2	4	2.22E-06
4	2	5	1.73E-06
4	3	0	3.31E-06
4	3	1	3.18E-06
4	3	2	2.83E-06
4	3	3	2.36E-06
4	3	4	1.92E-06
4	3	5	1.53E-06
4	4	0	2.53E-06
4	4	1	2.44E-06
4	4	2	2.22E-06
4	4	3	1.92E-06
4	4	4	1.59E-06
4	4	5	1.31E-06
4	5	0	1.91E-06
4	5	1	1.86E-06
4	5	2	1.73E-06
4	5	3	1.53E-06
4	5	4	1.31E-06
4	5	5	1.09E-06
5	0	0	3.30E-06
5	0	1	3.18E-06
5	0	2	2.82E-06
5	0	3	2.37E-06
5	0	4	1.91E-06
5	0	5	1.52E-06
5	1	0	3.18E-06
5	1	1	3.05E-06
5	1	2	2.72E-06
5	1	3	2.29E-06
5	1	4	1.86E-06
5	1	5	1.50E-06
5	2	0	2.82E-06
5	2	1	2.72E-06
5	2	2	2.45E-06
5	2	3	2.09E-06
5	2	4	1.73E-06
5	2	5	1.39E-06
5	3	0	2.37E-06
5	3	1	2.29E-06
5	3	2	2.09E-06
5	3	3	1.82E-06
5	3	4	1.53E-06
5	3	5	1.26E-06
5	4	0	1.91E-06
5	4	1	1.86E-06
5	4	2	1.73E-06
5	4	3	1.53E-06
5	4	4	1.31E-06
5	4	5	1.09E-06
5	5	0	1.52E-06
5	5	1	1.50E-06
5	5	2	1.39E-06
5	5	3	1.26E-06
5	5	4	1.09E-06
5	5	5	9.33E-07
