Re186 - 6.8mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.33E-01
0	0	1	4.23E-03
0	0	2	5.15E-06
0	0	3	2.37E-06
0	0	4	1.39E-06
0	0	5	9.21E-07
0	1	0	4.23E-03
0	1	1	2.09E-04
0	1	2	4.15E-06
0	1	3	2.15E-06
0	1	4	1.31E-06
0	1	5	8.85E-07
0	2	0	5.15E-06
0	2	1	4.15E-06
0	2	2	2.66E-06
0	2	3	1.68E-06
0	2	4	1.13E-06
0	2	5	8.01E-07
0	3	0	2.37E-06
0	3	1	2.15E-06
0	3	2	1.68E-06
0	3	3	1.25E-06
0	3	4	9.18E-07
0	3	5	6.91E-07
0	4	0	1.39E-06
0	4	1	1.31E-06
0	4	2	1.13E-06
0	4	3	9.18E-07
0	4	4	7.30E-07
0	4	5	5.80E-07
0	5	0	9.21E-07
0	5	1	8.85E-07
0	5	2	8.01E-07
0	5	3	6.91E-07
0	5	4	5.80E-07
0	5	5	4.81E-07
1	0	0	4.23E-03
1	0	1	2.09E-04
1	0	2	4.15E-06
1	0	3	2.15E-06
1	0	4	1.31E-06
1	0	5	8.85E-07
1	1	0	2.09E-04
1	1	1	1.78E-05
1	1	2	3.49E-06
1	1	3	1.96E-06
1	1	4	1.24E-06
1	1	5	8.56E-07
1	2	0	4.15E-06
1	2	1	3.49E-06
1	2	2	2.37E-06
1	2	3	1.57E-06
1	2	4	1.08E-06
1	2	5	7.77E-07
1	3	0	2.15E-06
1	3	1	1.96E-06
1	3	2	1.57E-06
1	3	3	1.18E-06
1	3	4	8.85E-07
1	3	5	6.72E-07
1	4	0	1.31E-06
1	4	1	1.24E-06
1	4	2	1.08E-06
1	4	3	8.85E-07
1	4	4	7.12E-07
1	4	5	5.66E-07
1	5	0	8.85E-07
1	5	1	8.56E-07
1	5	2	7.77E-07
1	5	3	6.72E-07
1	5	4	5.66E-07
1	5	5	4.71E-07
2	0	0	5.15E-06
2	0	1	4.15E-06
2	0	2	2.66E-06
2	0	3	1.68E-06
2	0	4	1.13E-06
2	0	5	8.01E-07
2	1	0	4.15E-06
2	1	1	3.49E-06
2	1	2	2.37E-06
2	1	3	1.57E-06
2	1	4	1.08E-06
2	1	5	7.77E-07
2	2	0	2.66E-06
2	2	1	2.37E-06
2	2	2	1.81E-06
2	2	3	1.31E-06
2	2	4	9.56E-07
2	2	5	7.10E-07
2	3	0	1.68E-06
2	3	1	1.57E-06
2	3	2	1.31E-06
2	3	3	1.03E-06
2	3	4	8.00E-07
2	3	5	6.23E-07
2	4	0	1.13E-06
2	4	1	1.08E-06
2	4	2	9.56E-07
2	4	3	8.00E-07
2	4	4	6.57E-07
2	4	5	5.31E-07
2	5	0	8.01E-07
2	5	1	7.77E-07
2	5	2	7.10E-07
2	5	3	6.23E-07
2	5	4	5.31E-07
2	5	5	4.47E-07
3	0	0	2.37E-06
3	0	1	2.15E-06
3	0	2	1.68E-06
3	0	3	1.25E-06
3	0	4	9.18E-07
3	0	5	6.91E-07
3	1	0	2.15E-06
3	1	1	1.96E-06
3	1	2	1.57E-06
3	1	3	1.18E-06
3	1	4	8.85E-07
3	1	5	6.72E-07
3	2	0	1.68E-06
3	2	1	1.57E-06
3	2	2	1.31E-06
3	2	3	1.03E-06
3	2	4	8.00E-07
3	2	5	6.23E-07
3	3	0	1.25E-06
3	3	1	1.18E-06
3	3	2	1.03E-06
3	3	3	8.56E-07
3	3	4	6.92E-07
3	3	5	5.54E-07
3	4	0	9.18E-07
3	4	1	8.85E-07
3	4	2	8.00E-07
3	4	3	6.92E-07
3	4	4	5.80E-07
3	4	5	4.82E-07
3	5	0	6.91E-07
3	5	1	6.72E-07
3	5	2	6.23E-07
3	5	3	5.54E-07
3	5	4	4.82E-07
3	5	5	4.12E-07
4	0	0	1.39E-06
4	0	1	1.31E-06
4	0	2	1.13E-06
4	0	3	9.18E-07
4	0	4	7.30E-07
4	0	5	5.80E-07
4	1	0	1.31E-06
4	1	1	1.24E-06
4	1	2	1.08E-06
4	1	3	8.85E-07
4	1	4	7.12E-07
4	1	5	5.66E-07
4	2	0	1.13E-06
4	2	1	1.08E-06
4	2	2	9.56E-07
4	2	3	8.00E-07
4	2	4	6.57E-07
4	2	5	5.31E-07
4	3	0	9.18E-07
4	3	1	8.85E-07
4	3	2	8.00E-07
4	3	3	6.92E-07
4	3	4	5.80E-07
4	3	5	4.82E-07
4	4	0	7.30E-07
4	4	1	7.12E-07
4	4	2	6.57E-07
4	4	3	5.80E-07
4	4	4	5.01E-07
4	4	5	4.25E-07
4	5	0	5.80E-07
4	5	1	5.66E-07
4	5	2	5.31E-07
4	5	3	4.82E-07
4	5	4	4.25E-07
4	5	5	3.69E-07
5	0	0	9.21E-07
5	0	1	8.85E-07
5	0	2	8.01E-07
5	0	3	6.91E-07
5	0	4	5.80E-07
5	0	5	4.81E-07
5	1	0	8.85E-07
5	1	1	8.56E-07
5	1	2	7.77E-07
5	1	3	6.72E-07
5	1	4	5.66E-07
5	1	5	4.71E-07
5	2	0	8.01E-07
5	2	1	7.77E-07
5	2	2	7.10E-07
5	2	3	6.23E-07
5	2	4	5.31E-07
5	2	5	4.47E-07
5	3	0	6.91E-07
5	3	1	6.72E-07
5	3	2	6.23E-07
5	3	3	5.54E-07
5	3	4	4.82E-07
5	3	5	4.12E-07
5	4	0	5.80E-07
5	4	1	5.66E-07
5	4	2	5.31E-07
5	4	3	4.82E-07
5	4	4	4.25E-07
5	4	5	3.69E-07
5	5	0	4.81E-07
5	5	1	4.71E-07
5	5	2	4.47E-07
5	5	3	4.12E-07
5	5	4	3.69E-07
5	5	5	3.25E-07
