Re188 - 3.59mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	8.57E-01
0	0	1	7.43E-02
0	0	2	9.93E-05
0	0	3	2.60E-05
0	0	4	1.45E-05
0	0	5	9.30E-06
0	1	0	7.43E-02
0	1	1	1.01E-02
0	1	2	5.41E-05
0	1	3	2.33E-05
0	1	4	1.37E-05
0	1	5	8.89E-06
0	2	0	9.93E-05
0	2	1	5.41E-05
0	2	2	2.92E-05
0	2	3	1.79E-05
0	2	4	1.16E-05
0	2	5	7.98E-06
0	3	0	2.60E-05
0	3	1	2.33E-05
0	3	2	1.79E-05
0	3	3	1.29E-05
0	3	4	9.25E-06
0	3	5	6.79E-06
0	4	0	1.45E-05
0	4	1	1.37E-05
0	4	2	1.16E-05
0	4	3	9.25E-06
0	4	4	7.24E-06
0	4	5	5.61E-06
0	5	0	9.30E-06
0	5	1	8.89E-06
0	5	2	7.98E-06
0	5	3	6.79E-06
0	5	4	5.61E-06
0	5	5	4.57E-06
1	0	0	7.43E-02
1	0	1	1.01E-02
1	0	2	5.41E-05
1	0	3	2.33E-05
1	0	4	1.37E-05
1	0	5	8.89E-06
1	1	0	1.01E-02
1	1	1	1.68E-03
1	1	2	4.03E-05
1	1	3	2.11E-05
1	1	4	1.29E-05
1	1	5	8.56E-06
1	2	0	5.41E-05
1	2	1	4.03E-05
1	2	2	2.59E-05
1	2	3	1.66E-05
1	2	4	1.10E-05
1	2	5	7.71E-06
1	3	0	2.33E-05
1	3	1	2.11E-05
1	3	2	1.66E-05
1	3	3	1.22E-05
1	3	4	8.92E-06
1	3	5	6.60E-06
1	4	0	1.37E-05
1	4	1	1.29E-05
1	4	2	1.10E-05
1	4	3	8.92E-06
1	4	4	7.02E-06
1	4	5	5.49E-06
1	5	0	8.89E-06
1	5	1	8.56E-06
1	5	2	7.71E-06
1	5	3	6.60E-06
1	5	4	5.49E-06
1	5	5	4.52E-06
2	0	0	9.93E-05
2	0	1	5.41E-05
2	0	2	2.92E-05
2	0	3	1.79E-05
2	0	4	1.16E-05
2	0	5	7.98E-06
2	1	0	5.41E-05
2	1	1	4.03E-05
2	1	2	2.59E-05
2	1	3	1.66E-05
2	1	4	1.10E-05
2	1	5	7.71E-06
2	2	0	2.92E-05
2	2	1	2.59E-05
2	2	2	1.94E-05
2	2	3	1.37E-05
2	2	4	9.66E-06
2	2	5	7.03E-06
2	3	0	1.79E-05
2	3	1	1.66E-05
2	3	2	1.37E-05
2	3	3	1.05E-05
2	3	4	7.98E-06
2	3	5	6.07E-06
2	4	0	1.16E-05
2	4	1	1.10E-05
2	4	2	9.66E-06
2	4	3	7.98E-06
2	4	4	6.41E-06
2	4	5	5.12E-06
2	5	0	7.98E-06
2	5	1	7.71E-06
2	5	2	7.03E-06
2	5	3	6.07E-06
2	5	4	5.12E-06
2	5	5	4.24E-06
3	0	0	2.60E-05
3	0	1	2.33E-05
3	0	2	1.79E-05
3	0	3	1.29E-05
3	0	4	9.25E-06
3	0	5	6.79E-06
3	1	0	2.33E-05
3	1	1	2.11E-05
3	1	2	1.66E-05
3	1	3	1.22E-05
3	1	4	8.92E-06
3	1	5	6.60E-06
3	2	0	1.79E-05
3	2	1	1.66E-05
3	2	2	1.37E-05
3	2	3	1.05E-05
3	2	4	7.98E-06
3	2	5	6.07E-06
3	3	0	1.29E-05
3	3	1	1.22E-05
3	3	2	1.05E-05
3	3	3	8.59E-06
3	3	4	6.81E-06
3	3	5	5.34E-06
3	4	0	9.25E-06
3	4	1	8.92E-06
3	4	2	7.98E-06
3	4	3	6.81E-06
3	4	4	5.62E-06
3	4	5	4.60E-06
3	5	0	6.79E-06
3	5	1	6.60E-06
3	5	2	6.07E-06
3	5	3	5.34E-06
3	5	4	4.60E-06
3	5	5	3.88E-06
4	0	0	1.45E-05
4	0	1	1.37E-05
4	0	2	1.16E-05
