Re188 - 3mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.33E+00
0	0	1	1.36E-01
0	0	2	4.71E-04
0	0	3	3.72E-05
0	0	4	2.07E-05
0	0	5	1.32E-05
0	1	0	1.36E-01
0	1	1	2.30E-02
0	1	2	1.54E-04
0	1	3	3.32E-05
0	1	4	1.95E-05
0	1	5	1.27E-05
0	2	0	4.71E-04
0	2	1	1.54E-04
0	2	2	4.20E-05
0	2	3	2.56E-05
0	2	4	1.65E-05
0	2	5	1.14E-05
0	3	0	3.72E-05
0	3	1	3.32E-05
0	3	2	2.56E-05
0	3	3	1.84E-05
0	3	4	1.33E-05
0	3	5	9.75E-06
0	4	0	2.07E-05
0	4	1	1.95E-05
0	4	2	1.65E-05
0	4	3	1.33E-05
0	4	4	1.04E-05
0	4	5	8.08E-06
0	5	0	1.32E-05
0	5	1	1.27E-05
0	5	2	1.14E-05
0	5	3	9.75E-06
0	5	4	8.08E-06
0	5	5	6.59E-06
1	0	0	1.36E-01
1	0	1	2.30E-02
1	0	2	1.54E-04
1	0	3	3.32E-05
1	0	4	1.95E-05
1	0	5	1.27E-05
1	1	0	2.30E-02
1	1	1	4.70E-03
1	1	2	7.52E-05
1	1	3	3.02E-05
1	1	4	1.84E-05
1	1	5	1.23E-05
1	2	0	1.54E-04
1	2	1	7.52E-05
1	2	2	3.71E-05
1	2	3	2.37E-05
1	2	4	1.58E-05
1	2	5	1.10E-05
1	3	0	3.32E-05
1	3	1	3.02E-05
1	3	2	2.37E-05
1	3	3	1.74E-05
1	3	4	1.27E-05
1	3	5	9.43E-06
1	4	0	1.95E-05
1	4	1	1.84E-05
1	4	2	1.58E-05
1	4	3	1.27E-05
1	4	4	1.00E-05
1	4	5	7.87E-06
1	5	0	1.27E-05
1	5	1	1.23E-05
1	5	2	1.10E-05
1	5	3	9.43E-06
1	5	4	7.87E-06
1	5	5	6.48E-06
2	0	0	4.71E-04
2	0	1	1.54E-04
2	0	2	4.20E-05
2	0	3	2.56E-05
2	0	4	1.65E-05
2	0	5	1.14E-05
2	1	0	1.54E-04
2	1	1	7.52E-05
2	1	2	3.71E-05
2	1	3	2.37E-05
2	1	4	1.58E-05
2	1	5	1.10E-05
2	2	0	4.20E-05
