Re188 - 3mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.58E+00
0	0	1	2.42E-01
0	0	2	1.09E-02
0	0	3	2.19E-04
0	0	4	1.74E-05
0	0	5	1.10E-05
0	1	0	2.42E-01
0	1	1	7.22E-02
0	1	2	5.09E-03
0	1	3	1.12E-04
0	1	4	1.62E-05
0	1	5	1.05E-05
0	2	0	1.09E-02
0	2	1	5.09E-03
0	2	2	5.26E-04
0	2	3	2.73E-05
0	2	4	1.37E-05
0	2	5	9.42E-06
0	3	0	2.19E-04
0	3	1	1.12E-04
0	3	2	2.73E-05
0	3	3	1.52E-05
0	3	4	1.10E-05
0	3	5	8.03E-06
0	4	0	1.74E-05
0	4	1	1.62E-05
0	4	2	1.37E-05
0	4	3	1.10E-05
0	4	4	8.54E-06
0	4	5	6.67E-06
0	5	0	1.10E-05
0	5	1	1.05E-05
0	5	2	9.42E-06
0	5	3	8.03E-06
0	5	4	6.67E-06
0	5	5	5.49E-06
1	0	0	2.42E-01
1	0	1	7.22E-02
1	0	2	5.09E-03
1	0	3	1.12E-04
1	0	4	1.62E-05
1	0	5	1.05E-05
1	1	0	7.22E-02
1	1	1	2.79E-02
1	1	2	2.41E-03
1	1	3	6.20E-05
1	1	4	1.53E-05
1	1	5	1.01E-05
1	2	0	5.09E-03
1	2	1	2.41E-03
1	2	2	2.57E-04
1	2	3	2.22E-05
1	2	4	1.30E-05
1	2	5	9.13E-06
1	3	0	1.12E-04
1	3	1	6.20E-05
1	3	2	2.22E-05
1	3	3	1.44E-05
1	3	4	1.05E-05
1	3	5	7.82E-06
1	4	0	1.62E-05
1	4	1	1.53E-05
1	4	2	1.30E-05
1	4	3	1.05E-05
1	4	4	8.29E-06
1	4	5	6.52E-06
1	5	0	1.05E-05
1	5	1	1.01E-05
1	5	2	9.13E-06
1	5	3	7.82E-06
1	5	4	6.52E-06
1	5	5	5.37E-06
2	0	0	1.09E-02
2	0	1	5.09E-03
2	0	2	5.26E-04
2	0	3	2.73E-05
2	0	4	1.37E-05
2	0	5	9.42E-06
2	1	0	5.09E-03
2	1	1	2.41E-03
2	1	2	2.57E-04
2	1	3	2.22E-05
2	1	4	1.30E-05
2	1	5	9.13E-06
2	2	0	5.26E-04
2	2	1	2.57E-04
2	2	2	4.18E-05
2	2	3	1.63E-05
2	2	4	1.14E-05
2	2	5	8.29E-06
2	3	0	2.73E-05
2	3	1	2.22E-05
2	3	2	1.63E-05
2	3	3	1.24E-05
2	3	4	9.44E-06
2	3	5	7.19E-06
2	4	0	1.37E-05
2	4	1	1.30E-05
2	4	2	1.14E-05
2	4	3	9.44E-06
2	4	4	7.59E-06
2	4	5	6.09E-06
2	5	0	9.42E-06
2	5	1	9.13E-06
2	5	2	8.29E-06
2	5	3	7.19E-06
2	5	4	6.09E-06
2	5	5	5.05E-06
3	0	0	2.19E-04
