Re188 - 4.8mm - Bone compact			
i	j	k	
0	0	0	4.09E-01
0	0	1	2.66E-02
0	0	2	3.33E-05
0	0	3	1.45E-05
0	0	4	8.12E-06
0	0	5	5.16E-06
0	1	0	2.66E-02
0	1	1	2.61E-03
0	1	2	2.65E-05
0	1	3	1.31E-05
0	1	4	7.65E-06
0	1	5	4.97E-06
0	2	0	3.33E-05
0	2	1	2.65E-05
0	2	2	1.64E-05
0	2	3	1.00E-05
0	2	4	6.49E-06
0	2	5	4.44E-06
0	3	0	1.45E-05
0	3	1	1.31E-05
0	3	2	1.00E-05
0	3	3	7.22E-06
0	3	4	5.17E-06
0	3	5	3.77E-06
0	4	0	8.12E-06
0	4	1	7.65E-06
0	4	2	6.49E-06
0	4	3	5.17E-06
0	4	4	4.02E-06
0	4	5	3.09E-06
0	5	0	5.16E-06
0	5	1	4.97E-06
0	5	2	4.44E-06
0	5	3	3.77E-06
0	5	4	3.09E-06
0	5	5	2.51E-06
1	0	0	2.66E-02
1	0	1	2.61E-03
1	0	2	2.65E-05
1	0	3	1.31E-05
1	0	4	7.65E-06
1	0	5	4.97E-06
1	1	0	2.61E-03
1	1	1	3.26E-04
1	1	2	2.20E-05
1	1	3	1.19E-05
1	1	4	7.22E-06
1	1	5	4.78E-06
1	2	0	2.65E-05
1	2	1	2.20E-05
1	2	2	1.46E-05
1	2	3	9.32E-06
1	2	4	6.17E-06
1	2	5	4.29E-06
1	3	0	1.31E-05
1	3	1	1.19E-05
1	3	2	9.32E-06
1	3	3	6.83E-06
1	3	4	4.97E-06
1	3	5	3.66E-06
1	4	0	7.65E-06
1	4	1	7.22E-06
1	4	2	6.17E-06
1	4	3	4.97E-06
1	4	4	3.88E-06
1	4	5	3.02E-06
1	5	0	4.97E-06
1	5	1	4.78E-06
1	5	2	4.29E-06
1	5	3	3.66E-06
1	5	4	3.02E-06
1	5	5	2.46E-06
2	0	0	3.33E-05
2	0	1	2.65E-05
2	0	2	1.64E-05
2	0	3	1.00E-05
2	0	4	6.49E-06
2	0	5	4.44E-06
2	1	0	2.65E-05
2	1	1	2.20E-05
2	1	2	1.46E-05
2	1	3	9.32E-06
2	1	4	6.17E-06
2	1	5	4.29E-06
2	2	0	1.64E-05
2	2	1	1.46E-05
2	2	2	1.09E-05
2	2	3	7.64E-06
2	2	4	5.40E-06
2	2	5	3.89E-06
2	3	0	1.00E-05
2	3	1	9.32E-06
2	3	2	7.64E-06
2	3	3	5.90E-06
2	3	4	4.43E-06
2	3	5	3.35E-06
2	4	0	6.49E-06
2	4	1	6.17E-06
2	4	2	5.40E-06
2	4	3	4.43E-06
2	4	4	3.56E-06
2	4	5	2.81E-06
2	5	0	4.44E-06
2	5	1	4.29E-06
2	5	2	3.89E-06
2	5	3	3.35E-06
2	5	4	2.81E-06
2	5	5	2.31E-06
3	0	0	1.45E-05
3	0	1	1.31E-05
3	0	2	1.00E-05
3	0	3	7.22E-06
3	0	4	5.17E-06
3	0	5	3.77E-06
3	1	0	1.31E-05
3	1	1	1.19E-05
3	1	2	9.32E-06
3	1	3	6.83E-06
3	1	4	4.97E-06
3	1	5	3.66E-06
3	2	0	1.00E-05
3	2	1	9.32E-06
3	2	2	7.64E-06
3	2	3	5.90E-06
3	2	4	4.43E-06
3	2	5	3.35E-06
3	3	0	7.22E-06
3	3	1	6.83E-06
3	3	2	5.90E-06
3	3	3	4.78E-06
3	3	4	3.77E-06
3	3	5	2.95E-06
3	4	0	5.17E-06
3	4	1	4.97E-06
3	4	2	4.43E-06
3	4	3	3.77E-06
3	4	4	3.11E-06
3	4	5	2.51E-06
3	5	0	3.77E-06
3	5	1	3.66E-06
3	5	2	3.35E-06
3	5	3	2.95E-06
3	5	4	2.51E-06
3	5	5	2.10E-06
4	0	0	8.12E-06
4	0	1	7.65E-06
4	0	2	6.49E-06
4	0	3	5.17E-06
4	0	4	4.02E-06
4	0	5	3.09E-06
4	1	0	7.65E-06
4	1	1	7.22E-06
4	1	2	6.17E-06
4	1	3	4.97E-06
4	1	4	3.88E-06
4	1	5	3.02E-06
4	2	0	6.49E-06
4	2	1	6.17E-06
4	2	2	5.40E-06
4	2	3	4.43E-06
4	2	4	3.56E-06
4	2	5	2.81E-06
4	3	0	5.17E-06
4	3	1	4.97E-06
4	3	2	4.43E-06
4	3	3	3.77E-06
4	3	4	3.11E-06
4	3	5	2.51E-06
4	4	0	4.02E-06
4	4	1	3.88E-06
4	4	2	3.56E-06
4	4	3	3.11E-06
4	4	4	2.62E-06
4	4	5	2.19E-06
4	5	0	3.09E-06
4	5	1	3.02E-06
4	5	2	2.81E-06
4	5	3	2.51E-06
4	5	4	2.19E-06
4	5	5	1.86E-06
5	0	0	5.16E-06
5	0	1	4.97E-06
5	0	2	4.44E-06
5	0	3	3.77E-06
5	0	4	3.09E-06
5	0	5	2.51E-06
5	1	0	4.97E-06
5	1	1	4.78E-06
5	1	2	4.29E-06
5	1	3	3.66E-06
5	1	4	3.02E-06
5	1	5	2.46E-06
5	2	0	4.44E-06
5	2	1	4.29E-06
5	2	2	3.89E-06
5	2	3	3.35E-06
5	2	4	2.81E-06
5	2	5	2.31E-06
5	3	0	3.77E-06
5	3	1	3.66E-06
5	3	2	3.35E-06
5	3	3	2.95E-06
5	3	4	2.51E-06
5	3	5	2.10E-06
5	4	0	3.09E-06
5	4	1	3.02E-06
5	4	2	2.81E-06
5	4	3	2.51E-06
5	4	4	2.19E-06
5	4	5	1.86E-06
5	5	0	2.51E-06
5	5	1	2.46E-06
5	5	2	2.31E-06
5	5	3	2.10E-06
5	5	4	1.86E-06
5	5	5	1.62E-06
