Re188 - 6mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	2.26E-01
0	0	1	1.18E-02
0	0	2	2.13E-05
0	0	3	9.33E-06
0	0	4	5.20E-06
0	0	5	3.28E-06
0	1	0	1.18E-02
0	1	1	9.14E-04
0	1	2	1.70E-05
0	1	3	8.38E-06
0	1	4	4.88E-06
0	1	5	3.13E-06
0	2	0	2.13E-05
0	2	1	1.70E-05
0	2	2	1.05E-05
0	2	3	6.41E-06
0	2	4	4.12E-06
0	2	5	2.79E-06
0	3	0	9.33E-06
0	3	1	8.38E-06
0	3	2	6.41E-06
0	3	3	4.60E-06
0	3	4	3.27E-06
0	3	5	2.36E-06
0	4	0	5.20E-06
0	4	1	4.88E-06
0	4	2	4.12E-06
0	4	3	3.27E-06
0	4	4	2.52E-06
0	4	5	1.93E-06
0	5	0	3.28E-06
0	5	1	3.13E-06
0	5	2	2.79E-06
0	5	3	2.36E-06
0	5	4	1.93E-06
0	5	5	1.55E-06
1	0	0	1.18E-02
1	0	1	9.14E-04
1	0	2	1.70E-05
1	0	3	8.38E-06
1	0	4	4.88E-06
1	0	5	3.13E-06
1	1	0	9.14E-04
1	1	1	1.03E-04
1	1	2	1.41E-05
1	1	3	7.62E-06
1	1	4	4.60E-06
1	1	5	3.01E-06
1	2	0	1.70E-05
1	2	1	1.41E-05
1	2	2	9.33E-06
1	2	3	5.96E-06
1	2	4	3.92E-06
1	2	5	2.70E-06
1	3	0	8.38E-06
1	3	1	7.62E-06
1	3	2	5.96E-06
1	3	3	4.35E-06
1	3	4	3.14E-06
1	3	5	2.29E-06
1	4	0	4.88E-06
1	4	1	4.60E-06
1	4	2	3.92E-06
1	4	3	3.14E-06
1	4	4	2.44E-06
1	4	5	1.88E-06
1	5	0	3.13E-06
1	5	1	3.01E-06
1	5	2	2.70E-06
1	5	3	2.29E-06
1	5	4	1.88E-06
1	5	5	1.52E-06
2	0	0	2.13E-05
2	0	1	1.70E-05
2	0	2	1.05E-05
2	0	3	6.41E-06
2	0	4	4.12E-06
2	0	5	2.79E-06
2	1	0	1.70E-05
2	1	1	1.41E-05
2	1	2	9.33E-06
2	1	3	5.96E-06
2	1	4	3.92E-06
2	1	5	2.70E-06
2	2	0	1.05E-05
2	2	1	9.33E-06
2	2	2	6.97E-06
2	2	3	4.88E-06
2	2	4	3.41E-06
2	2	5	2.44E-06
2	3	0	6.41E-06
2	3	1	5.96E-06
2	3	2	4.88E-06
2	3	3	3.74E-06
2	3	4	2.80E-06
2	3	5	2.10E-06
2	4	0	4.12E-06
2	4	1	3.92E-06
2	4	2	3.41E-06
2	4	3	2.80E-06
2	4	4	2.22E-06
2	4	5	1.74E-06
2	5	0	2.79E-06
2	5	1	2.70E-06
2	5	2	2.44E-06
2	5	3	2.10E-06
2	5	4	1.74E-06
2	5	5	1.42E-06
3	0	0	9.33E-06
3	0	1	8.38E-06
3	0	2	6.41E-06
3	0	3	4.60E-06
3	0	4	3.27E-06
3	0	5	2.36E-06
3	1	0	8.38E-06
3	1	1	7.62E-06
3	1	2	5.96E-06
3	1	3	4.35E-06
3	1	4	3.14E-06
3	1	5	2.29E-06
3	2	0	6.41E-06
3	2	1	5.96E-06
3	2	2	4.88E-06
3	2	3	3.74E-06
3	2	4	2.80E-06
3	2	5	2.10E-06
3	3	0	4.60E-06
3	3	1	4.35E-06
3	3	2	3.74E-06
3	3	3	3.01E-06
3	3	4	2.36E-06
3	3	5	1.83E-06
3	4	0	3.27E-06
3	4	1	3.14E-06
3	4	2	2.80E-06
3	4	3	2.36E-06
3	4	4	1.93E-06
3	4	5	1.55E-06
3	5	0	2.36E-06
3	5	1	2.29E-06
3	5	2	2.10E-06
3	5	3	1.83E-06
3	5	4	1.55E-06
3	5	5	1.29E-06
4	0	0	5.20E-06
4	0	1	4.88E-06
4	0	2	4.12E-06
4	0	3	3.27E-06
4	0	4	2.52E-06
4	0	5	1.93E-06
4	1	0	4.88E-06
4	1	1	4.60E-06
4	1	2	3.92E-06
4	1	3	3.14E-06
4	1	4	2.44E-06
4	1	5	1.88E-06
4	2	0	4.12E-06
4	2	1	3.92E-06
4	2	2	3.41E-06
4	2	3	2.80E-06
4	2	4	2.22E-06
4	2	5	1.74E-06
4	3	0	3.27E-06
4	3	1	3.14E-06
4	3	2	2.80E-06
4	3	3	2.36E-06
4	3	4	1.93E-06
4	3	5	1.55E-06
4	4	0	2.52E-06
4	4	1	2.44E-06
4	4	2	2.22E-06
4	4	3	1.93E-06
4	4	4	1.63E-06
4	4	5	1.34E-06
4	5	0	1.93E-06
4	5	1	1.88E-06
4	5	2	1.74E-06
4	5	3	1.55E-06
4	5	4	1.34E-06
4	5	5	1.13E-06
5	0	0	3.28E-06
5	0	1	3.13E-06
5	0	2	2.79E-06
5	0	3	2.36E-06
5	0	4	1.93E-06
5	0	5	1.55E-06
5	1	0	3.13E-06
5	1	1	3.01E-06
5	1	2	2.70E-06
5	1	3	2.29E-06
5	1	4	1.88E-06
5	1	5	1.52E-06
5	2	0	2.79E-06
5	2	1	2.70E-06
5	2	2	2.44E-06
5	2	3	2.10E-06
5	2	4	1.74E-06
5	2	5	1.42E-06
5	3	0	2.36E-06
5	3	1	2.29E-06
5	3	2	2.10E-06
5	3	3	1.83E-06
5	3	4	1.55E-06
5	3	5	1.29E-06
5	4	0	1.93E-06
5	4	1	1.88E-06
5	4	2	1.74E-06
5	4	3	1.55E-06
5	4	4	1.34E-06
5	4	5	1.13E-06
5	5	0	1.55E-06
5	5	1	1.52E-06
5	5	2	1.42E-06
5	5	3	1.29E-06
5	5	4	1.13E-06
5	5	5	9.75E-07
