Sr89 - 2.33mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.72E+00
0	0	1	3.99E-01
0	0	2	1.41E-02
0	0	3	9.40E-05
0	0	4	1.66E-06
0	0	5	9.43E-07
0	1	0	3.99E-01
0	1	1	1.13E-01
0	1	2	5.93E-03
0	1	3	3.51E-05
0	1	4	1.54E-06
0	1	5	8.99E-07
0	2	0	1.41E-02
0	2	1	5.93E-03
0	2	2	3.65E-04
0	2	3	3.07E-06
0	2	4	1.25E-06
0	2	5	7.91E-07
0	3	0	9.40E-05
0	3	1	3.51E-05
0	3	2	3.07E-06
0	3	3	1.43E-06
0	3	4	9.46E-07
0	3	5	6.47E-07
0	4	0	1.66E-06
0	4	1	1.54E-06
0	4	2	1.25E-06
0	4	3	9.46E-07
0	4	4	6.94E-07
0	4	5	5.19E-07
0	5	0	9.43E-07
0	5	1	8.99E-07
0	5	2	7.91E-07
0	5	3	6.47E-07
0	5	4	5.19E-07
0	5	5	4.05E-07
1	0	0	3.99E-01
1	0	1	1.13E-01
1	0	2	5.93E-03
1	0	3	3.51E-05
1	0	4	1.54E-06
1	0	5	8.99E-07
1	1	0	1.13E-01
1	1	1	4.07E-02
1	1	2	2.47E-03
1	1	3	1.37E-05
1	1	4	1.43E-06
1	1	5	8.61E-07
1	2	0	5.93E-03
1	2	1	2.47E-03
1	2	2	1.43E-04
1	2	3	2.25E-06
1	2	4	1.18E-06
1	2	5	7.54E-07
1	3	0	3.51E-05
1	3	1	1.37E-05
1	3	2	2.25E-06
1	3	3	1.33E-06
1	3	4	8.96E-07
1	3	5	6.26E-07
1	4	0	1.54E-06
1	4	1	1.43E-06
1	4	2	1.18E-06
1	4	3	8.96E-07
1	4	4	6.71E-07
1	4	5	5.01E-07
1	5	0	8.99E-07
1	5	1	8.61E-07
1	5	2	7.54E-07
1	5	3	6.26E-07
1	5	4	5.01E-07
1	5	5	3.96E-07
2	0	0	1.41E-02
2	0	1	5.93E-03
2	0	2	3.65E-04
2	0	3	3.07E-06
2	0	4	1.25E-06
2	0	5	7.91E-07
2	1	0	5.93E-03
2	1	1	2.47E-03
2	1	2	1.43E-04
2	1	3	2.25E-06
2	1	4	1.18E-06
2	1	5	7.54E-07
2	2	0	3.65E-04
2	2	1	1.43E-04
2	2	2	8.13E-06
2	2	3	1.54E-06
2	2	4	9.98E-07
2	2	5	6.70E-07
2	3	0	3.07E-06
2	3	1	2.25E-06
2	3	2	1.54E-06
2	3	3	1.11E-06
2	3	4	7.86E-07
2	3	5	5.65E-07
2	4	0	1.25E-06
2	4	1	1.18E-06
2	4	2	9.98E-07
2	4	3	7.86E-07
2	4	4	6.01E-07
2	4	5	4.60E-07
2	5	0	7.91E-07
2	5	1	7.54E-07
2	5	2	6.70E-07
2	5	3	5.65E-07
2	5	4	4.60E-07
2	5	5	3.69E-07
3	0	0	9.40E-05
3	0	1	3.51E-05
3	0	2	3.07E-06
3	0	3	1.43E-06
3	0	4	9.46E-07
3	0	5	6.47E-07
3	1	0	3.51E-05
3	1	1	1.37E-05
3	1	2	2.25E-06
3	1	3	1.33E-06
3	1	4	8.96E-07
3	1	5	6.26E-07
3	2	0	3.07E-06
3	2	1	2.25E-06
3	2	2	1.54E-06
3	2	3	1.11E-06
3	2	4	7.86E-07
3	2	5	5.65E-07
3	3	0	1.43E-06
3	3	1	1.33E-06
3	3	2	1.11E-06
3	3	3	8.49E-07
3	3	4	6.44E-07
3	3	5	4.86E-07
3	4	0	9.46E-07
3	4	1	8.96E-07
3	4	2	7.86E-07
3	4	3	6.44E-07
3	4	4	5.13E-07
3	4	5	4.07E-07
3	5	0	6.47E-07
3	5	1	6.26E-07
3	5	2	5.65E-07
3	5	3	4.86E-07
3	5	4	4.07E-07
3	5	5	3.35E-07
4	0	0	1.66E-06
4	0	1	1.54E-06
4	0	2	1.25E-06
4	0	3	9.46E-07
4	0	4	6.94E-07
4	0	5	5.19E-07
4	1	0	1.54E-06
4	1	1	1.43E-06
4	1	2	1.18E-06
4	1	3	8.96E-07
4	1	4	6.71E-07
4	1	5	5.01E-07
4	2	0	1.25E-06
4	2	1	1.18E-06
4	2	2	9.98E-07
4	2	3	7.86E-07
4	2	4	6.01E-07
4	2	5	4.60E-07
4	3	0	9.46E-07
4	3	1	8.96E-07
4	3	2	7.86E-07
4	3	3	6.44E-07
4	3	4	5.13E-07
4	3	5	4.07E-07
4	4	0	6.94E-07
4	4	1	6.71E-07
4	4	2	6.01E-07
4	4	3	5.13E-07
4	4	4	4.23E-07
4	4	5	3.47E-07
4	5	0	5.19E-07
4	5	1	5.01E-07
4	5	2	4.60E-07
4	5	3	4.07E-07
4	5	4	3.47E-07
4	5	5	2.91E-07
5	0	0	9.43E-07
5	0	1	8.99E-07
5	0	2	7.91E-07
5	0	3	6.47E-07
5	0	4	5.19E-07
5	0	5	4.05E-07
5	1	0	8.99E-07
5	1	1	8.61E-07
5	1	2	7.54E-07
5	1	3	6.26E-07
5	1	4	5.01E-07
5	1	5	3.96E-07
5	2	0	7.91E-07
5	2	1	7.54E-07
5	2	2	6.70E-07
5	2	3	5.65E-07
5	2	4	4.60E-07
5	2	5	3.69E-07
5	3	0	6.47E-07
5	3	1	6.26E-07
5	3	2	5.65E-07
5	3	3	4.86E-07
5	3	4	4.07E-07
5	3	5	3.35E-07
5	4	0	5.19E-07
5	4	1	5.01E-07
5	4	2	4.60E-07
5	4	3	4.07E-07
5	4	4	3.47E-07
5	4	5	2.91E-07
5	5	0	4.05E-07
5	5	1	3.96E-07
5	5	2	3.69E-07
5	5	3	3.35E-07
5	5	4	2.91E-07
5	5	5	2.52E-07
