Sr89 - 2.4mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.09E+00
0	0	1	1.94E-01
0	0	2	1.83E-04
0	0	3	4.27E-06
0	0	4	2.04E-06
0	0	5	1.17E-06
0	1	0	1.94E-01
0	1	1	2.86E-02
0	1	2	3.87E-05
0	1	3	3.72E-06
0	1	4	1.89E-06
0	1	5	1.11E-06
0	2	0	1.83E-04
0	2	1	3.87E-05
0	2	2	5.01E-06
0	2	3	2.66E-06
0	2	4	1.55E-06
0	2	5	9.69E-07
0	3	0	4.27E-06
0	3	1	3.72E-06
0	3	2	2.66E-06
0	3	3	1.76E-06
0	3	4	1.17E-06
0	3	5	8.05E-07
0	4	0	2.04E-06
0	4	1	1.89E-06
0	4	2	1.55E-06
0	4	3	1.17E-06
0	4	4	8.65E-07
0	4	5	6.40E-07
0	5	0	1.17E-06
0	5	1	1.11E-06
0	5	2	9.69E-07
0	5	3	8.05E-07
0	5	4	6.40E-07
0	5	5	5.03E-07
1	0	0	1.94E-01
1	0	1	2.86E-02
1	0	2	3.87E-05
1	0	3	3.72E-06
1	0	4	1.89E-06
1	0	5	1.11E-06
1	1	0	2.86E-02
1	1	1	4.94E-03
1	1	2	1.23E-05
1	1	3	3.29E-06
1	1	4	1.76E-06
1	1	5	1.06E-06
1	2	0	3.87E-05
1	2	1	1.23E-05
1	2	2	4.28E-06
1	2	3	2.42E-06
1	2	4	1.45E-06
1	2	5	9.36E-07
1	3	0	3.72E-06
1	3	1	3.29E-06
1	3	2	2.42E-06
1	3	3	1.64E-06
1	3	4	1.12E-06
1	3	5	7.74E-07
1	4	0	1.89E-06
1	4	1	1.76E-06
1	4	2	1.45E-06
1	4	3	1.12E-06
1	4	4	8.32E-07
1	4	5	6.24E-07
1	5	0	1.11E-06
1	5	1	1.06E-06
1	5	2	9.36E-07
1	5	3	7.74E-07
1	5	4	6.24E-07
1	5	5	4.90E-07
2	0	0	1.83E-04
2	0	1	3.87E-05
2	0	2	5.01E-06
2	0	3	2.66E-06
2	0	4	1.55E-06
2	0	5	9.69E-07
2	1	0	3.87E-05
2	1	1	1.23E-05
2	1	2	4.28E-06
2	1	3	2.42E-06
2	1	4	1.45E-06
2	1	5	9.36E-07
