Sr89 - 4.8mm - Bone compact			
i	j	k	
0	0	0	3.46E-01
0	0	1	1.61E-02
0	0	2	2.17E-06
0	0	3	7.70E-07
0	0	4	3.80E-07
0	0	5	2.19E-07
0	1	0	1.61E-02
0	1	1	1.06E-03
0	1	2	1.63E-06
0	1	3	6.74E-07
0	1	4	3.53E-07
0	1	5	2.11E-07
0	2	0	2.17E-06
0	2	1	1.63E-06
0	2	2	8.90E-07
0	2	3	4.88E-07
0	2	4	2.89E-07
0	2	5	1.84E-07
0	3	0	7.70E-07
0	3	1	6.74E-07
0	3	2	4.88E-07
0	3	3	3.29E-07
0	3	4	2.21E-07
0	3	5	1.53E-07
0	4	0	3.80E-07
0	4	1	3.53E-07
0	4	2	2.89E-07
0	4	3	2.21E-07
0	4	4	1.64E-07
0	4	5	1.22E-07
0	5	0	2.19E-07
0	5	1	2.11E-07
0	5	2	1.84E-07
0	5	3	1.53E-07
0	5	4	1.22E-07
0	5	5	9.53E-08
1	0	0	1.61E-02
1	0	1	1.06E-03
1	0	2	1.63E-06
1	0	3	6.74E-07
1	0	4	3.53E-07
1	0	5	2.11E-07
1	1	0	1.06E-03
1	1	1	8.07E-05
1	1	2	1.29E-06
1	1	3	6.02E-07
1	1	4	3.29E-07
1	1	5	2.02E-07
1	2	0	1.63E-06
1	2	1	1.29E-06
1	2	2	7.69E-07
1	2	3	4.46E-07
1	2	4	2.73E-07
1	2	5	1.78E-07
1	3	0	6.74E-07
1	3	1	6.02E-07
1	3	2	4.46E-07
1	3	3	3.07E-07
1	3	4	2.11E-07
1	3	5	1.48E-07
1	4	0	3.53E-07
1	4	1	3.29E-07
1	4	2	2.73E-07
1	4	3	2.11E-07
1	4	4	1.58E-07
1	4	5	1.18E-07
1	5	0	2.11E-07
1	5	1	2.02E-07
1	5	2	1.78E-07
1	5	3	1.48E-07
1	5	4	1.18E-07
1	5	5	9.32E-08
2	0	0	2.17E-06
2	0	1	1.63E-06
2	0	2	8.90E-07
2	0	3	4.88E-07
2	0	4	2.89E-07
2	0	5	1.84E-07
2	1	0	1.63E-06
2	1	1	1.29E-06
2	1	2	7.69E-07
2	1	3	4.46E-07
2	1	4	2.73E-07
2	1	5	1.78E-07
2	2	0	8.90E-07
2	2	1	7.69E-07
2	2	2	5.39E-07
2	2	3	3.52E-07
2	2	4	2.32E-07
2	2	5	1.58E-07
2	3	0	4.88E-07
2	3	1	4.46E-07
2	3	2	3.52E-07
2	3	3	2.58E-07
2	3	4	1.85E-07
2	3	5	1.33E-07
2	4	0	2.89E-07
2	4	1	2.73E-07
2	4	2	2.32E-07
2	4	3	1.85E-07
2	4	4	1.42E-07
2	4	5	1.09E-07
2	5	0	1.84E-07
2	5	1	1.78E-07
2	5	2	1.58E-07
2	5	3	1.33E-07
2	5	4	1.09E-07
2	5	5	8.66E-08
3	0	0	7.70E-07
3	0	1	6.74E-07
3	0	2	4.88E-07
3	0	3	3.29E-07
3	0	4	2.21E-07
3	0	5	1.53E-07
3	1	0	6.74E-07
3	1	1	6.02E-07
3	1	2	4.46E-07
3	1	3	3.07E-07
3	1	4	2.11E-07
3	1	5	1.48E-07
3	2	0	4.88E-07
3	2	1	4.46E-07
3	2	2	3.52E-07
3	2	3	2.58E-07
3	2	4	1.85E-07
3	2	5	1.33E-07
3	3	0	3.29E-07
3	3	1	3.07E-07
3	3	2	2.58E-07
3	3	3	2.02E-07
3	3	4	1.53E-07
3	3	5	1.14E-07
3	4	0	2.21E-07
3	4	1	2.11E-07
3	4	2	1.85E-07
3	4	3	1.53E-07
3	4	4	1.22E-07
3	4	5	9.54E-08
3	5	0	1.53E-07
3	5	1	1.48E-07
3	5	2	1.33E-07
3	5	3	1.14E-07
3	5	4	9.54E-08
3	5	5	7.79E-08
4	0	0	3.80E-07
4	0	1	3.53E-07
4	0	2	2.89E-07
4	0	3	2.21E-07
4	0	4	1.64E-07
4	0	5	1.22E-07
4	1	0	3.53E-07
4	1	1	3.29E-07
4	1	2	2.73E-07
4	1	3	2.11E-07
4	1	4	1.58E-07
4	1	5	1.18E-07
4	2	0	2.89E-07
4	2	1	2.73E-07
4	2	2	2.32E-07
4	2	3	1.85E-07
4	2	4	1.42E-07
4	2	5	1.09E-07
4	3	0	2.21E-07
4	3	1	2.11E-07
4	3	2	1.85E-07
4	3	3	1.53E-07
4	3	4	1.22E-07
4	3	5	9.54E-08
4	4	0	1.64E-07
4	4	1	1.58E-07
4	4	2	1.42E-07
4	4	3	1.22E-07
4	4	4	1.01E-07
4	4	5	8.09E-08
4	5	0	1.22E-07
4	5	1	1.18E-07
4	5	2	1.09E-07
4	5	3	9.54E-08
4	5	4	8.09E-08
4	5	5	6.72E-08
5	0	0	2.19E-07
5	0	1	2.11E-07
5	0	2	1.84E-07
5	0	3	1.53E-07
5	0	4	1.22E-07
5	0	5	9.53E-08
5	1	0	2.11E-07
5	1	1	2.02E-07
5	1	2	1.78E-07
5	1	3	1.48E-07
5	1	4	1.18E-07
5	1	5	9.32E-08
5	2	0	1.84E-07
5	2	1	1.78E-07
5	2	2	1.58E-07
5	2	3	1.33E-07
5	2	4	1.09E-07
5	2	5	8.66E-08
